"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"BE000006447","50.8","4.35","104.0","2020-01-01","2.1","5.5",
"BE000006447","50.8","4.35","104.0","2020-01-02","4.0",,"0.9"
"BE000006447","50.8","4.35","104.0","2020-01-03","8.0","9.6",
"BE000006447","50.8","4.35","104.0","2020-01-04","4.7","7.5",
"BE000006447","50.8","4.35","104.0","2020-01-05","6.1","7.1","5.5"
"BE000006447","50.8","4.35","104.0","2020-01-06","5.6","8.4",
"BE000006447","50.8","4.35","104.0","2020-01-07","6.7","8.0","4.4"
"BE000006447","50.8","4.35","104.0","2020-01-08","10.6","11.6","6.4"
"BE000006447","50.8","4.35","104.0","2020-01-09","11.4","12.4","10.6"
"BE000006447","50.8","4.35","104.0","2020-01-10","7.1",,
"BE000006447","50.8","4.35","104.0","2020-01-11","5.2","7.0",
"BE000006447","50.8","4.35","104.0","2020-01-12","6.8","9.1","4.5"
"BE000006447","50.8","4.35","104.0","2020-01-13","7.5",,
"BE000006447","50.8","4.35","104.0","2020-01-14","10.3","11.5","8.2"
"BE000006447","50.8","4.35","104.0","2020-01-15","9.6","11.5",
"BE000006447","50.8","4.35","104.0","2020-01-16","7.7","11.6","3.7"
"BE000006447","50.8","4.35","104.0","2020-01-17","8.5","10.3",
"BE000006447","50.8","4.35","104.0","2020-01-18","4.1","7.0",
"BE000006447","50.8","4.35","104.0","2020-01-19","3.3","7.1","-0.3"
"BE000006447","50.8","4.35","104.0","2020-01-20","3.2","4.9","0.9"
"BE000006447","50.8","4.35","104.0","2020-01-21","0.4","4.5",
"BE000006447","50.8","4.35","104.0","2020-01-22","1.3","4.1","-2.3"
"BE000006447","50.8","4.35","104.0","2020-01-23","2.4",,
"BE000006447","50.8","4.35","104.0","2020-01-24","0.8",,
"BE000006447","50.8","4.35","104.0","2020-01-25","1.4","3.1","-0.4"
"BE000006447","50.8","4.35","104.0","2020-01-26","6.4","10.9","0.6"
"BE000006447","50.8","4.35","104.0","2020-01-27","8.1","9.0","7.1"
"BE000006447","50.8","4.35","104.0","2020-01-28","4.9","6.6",
"BE000006447","50.8","4.35","104.0","2020-01-29","4.8","7.7","2.2"
"BE000006447","50.8","4.35","104.0","2020-01-30","7.9",,"4.6"
"BE000006447","50.8","4.35","104.0","2020-01-31","11.1",,
"BE000006447","50.8","4.35","104.0","2020-02-01","10.4",,
