"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"ALM00013615","41.415","19.721","38.4","2020-01-01","4.9","15.6","-3.6"
"ALM00013615","41.415","19.721","38.4","2020-01-02","2.7","14.4","-5.5"
"ALM00013615","41.415","19.721","38.4","2020-01-03","3.2","14.9","-4.7"
"ALM00013615","41.415","19.721","38.4","2020-01-04","5.2","15.1",
"ALM00013615","41.415","19.721","38.4","2020-01-05","6.6","13.2","1.5"
"ALM00013615","41.415","19.721","38.4","2020-01-06","4.8","9.1",
"ALM00013615","41.415","19.721","38.4","2020-01-07","2.7","11.3","-4.8"
"ALM00013615","41.415","19.721","38.4","2020-01-08","2.1","14.7","-6.2"
"ALM00013615","41.415","19.721","38.4","2020-01-09","2.5","13.3","-5.5"
"ALM00013615","41.415","19.721","38.4","2020-01-10","4.6","13.7","-3.9"
"ALM00013615","41.415","19.721","38.4","2020-01-11","3.8",,"-1.5"
"ALM00013615","41.415","19.721","38.4","2020-01-12","5.6",,
"ALM00013615","41.415","19.721","38.4","2020-01-13","7.1",,
"ALM00013615","41.415","19.721","38.4","2020-01-14","5.9","16.2","-1.1"
"ALM00013615","41.415","19.721","38.4","2020-01-15","5.1","15.1","-2.1"
"ALM00013615","41.415","19.721","38.4","2020-01-16","4.7",,
"ALM00013615","41.415","19.721","38.4","2020-01-17","4.9","16.4","-3.4"
"ALM00013615","41.415","19.721","38.4","2020-01-18","6.1",,"-1.3"
"ALM00013615","41.415","19.721","38.4","2020-01-19","7.6",,"2.9"
"ALM00013615","41.415","19.721","38.4","2020-01-20","4.9",,
"ALM00013615","41.415","19.721","38.4","2020-01-21","3.1","13.7","-4.1"
"ALM00013615","41.415","19.721","38.4","2020-01-22","3.7","13.6","-4.0"
"ALM00013615","41.415","19.721","38.4","2020-01-23","4.4","15.7","-2.6"
"ALM00013615","41.415","19.721","38.4","2020-01-24","6.0","17.0","-3.6"
"ALM00013615","41.415","19.721","38.4","2020-01-25","10.3","15.4","2.3"
"ALM00013615","41.415","19.721","38.4","2020-01-26","10.6",,"7.0"
"ALM00013615","41.415","19.721","38.4","2020-01-27","10.8","13.1","8.9"
"ALM00013615","41.415","19.721","38.4","2020-01-28","11.2","14.0","6.4"
"ALM00013615","41.415","19.721","38.4","2020-01-29","12.6","16.7",
"ALM00013615","41.415","19.721","38.4","2020-01-30","7.9",,"1.3"
"ALM00013615","41.415","19.721","38.4","2020-01-31","8.9","16.5","-0.4"
"ALM00013615","41.415","19.721","38.4","2020-02-01","11.9","18.1",
"ALM00013615","41.415","19.721","38.4","2020-02-02","11.9","19.1","6.9"
"ALM00013615","41.415","19.721","38.4","2020-02-03","11.8","18.3","5.6"
"ALM00013615","41.415","19.721","38.4","2020-02-04","12.4","18.6","6.0"
"ALM00013615","41.415","19.721","38.4","2020-02-05","8.0","16.5","5.9"
"ALM00013615","41.415","19.721","38.4","2020-02-06","5.2","9.0",
"ALM00013615","41.415","19.721","38.4","2020-02-07","5.2",,
"ALM00013615","41.415","19.721","38.4","2020-02-08","4.7","14.2","-3.1"
"ALM00013615","41.415","19.721","38.4","2020-02-09","6.2","15.4","-1.4"
"ALM00013615","41.415","19.721","38.4","2020-02-10","10.5","15.2","2.6"
"ALM00013615","41.415","19.721","38.4","2020-02-11","14.7","18.5",
"ALM00013615","41.415","19.721","38.4","2020-02-12","12.9",,
"ALM00013615","41.415","19.721","38.4","2020-02-13","9.7","19.2","2.2"
"ALM00013615","41.415","19.721","38.4","2020-02-14","9.3","12.2",
"ALM00013615","41.415","19.721","38.4","2020-02-15","8.9","18.2","0.4"
"ALM00013615","41.415","19.721","38.4","2020-02-16","7.6","17.4",
