"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"EZM00011518","50.101","14.26","380.1","2020-01-01","-0.2",,
"EZM00011518","50.101","14.26","380.1","2020-01-02","-4.9",,
"EZM00011518","50.101","14.26","380.1","2020-01-03","1.6",,"-7.2"
"EZM00011518","50.101","14.26","380.1","2020-01-04","3.1",,
"EZM00011518","50.101","14.26","380.1","2020-01-05","0.2",,
"EZM00011518","50.101","14.26","380.1","2020-01-06","0.0",,
"EZM00011518","50.101","14.26","380.1","2020-01-07","0.1",,"-4.2"
"EZM00011518","50.101","14.26","380.1","2020-01-08","2.6",,"-1.0"
"EZM00011518","50.101","14.26","380.1","2020-01-09","5.8",,"3.7"
"EZM00011518","50.101","14.26","380.1","2020-01-10","7.1",,"5.0"
"EZM00011518","50.101","14.26","380.1","2020-01-11","2.1",,
"EZM00011518","50.101","14.26","380.1","2020-01-12","0.9",,"-2.2"
"EZM00011518","50.101","14.26","380.1","2020-01-13","2.4",,"0.7"
"EZM00011518","50.101","14.26","380.1","2020-01-14","1.7",,"-2.5"
"EZM00011518","50.101","14.26","380.1","2020-01-15","0.2",,
"EZM00011518","50.101","14.26","380.1","2020-01-16","-0.6",,"-4.1"
"EZM00011518","50.101","14.26","380.1","2020-01-17","-0.9",,"-3.4"
"EZM00011518","50.101","14.26","380.1","2020-01-18","0.8",,"-3.5"
"EZM00011518","50.101","14.26","380.1","2020-01-19","0.9",,"-1.4"
"EZM00011518","50.101","14.26","380.1","2020-01-20","0.9",,
"EZM00011518","50.101","14.26","380.1","2020-01-21","-2.4",,"-5.3"
"EZM00011518","50.101","14.26","380.1","2020-01-22","-1.6",,"-4.4"
"EZM00011518","50.101","14.26","380.1","2020-01-23","0.4",,
"EZM00011518","50.101","14.26","380.1","2020-01-24","-2.0",,"-5.3"
"EZM00011518","50.101","14.26","380.1","2020-01-25","-1.4",,
"EZM00011518","50.101","14.26","380.1","2020-01-26","-0.6",,"-1.6"
"EZM00011518","50.101","14.26","380.1","2020-01-27","1.8",,"-1.3"
"EZM00011518","50.101","14.26","380.1","2020-01-28","4.2",,"-0.4"
"EZM00011518","50.101","14.26","380.1","2020-01-29","1.6",,"-0.5"
"EZM00011518","50.101","14.26","380.1","2020-01-30","3.2",,
"EZM00011518","50.101","14.26","380.1","2020-01-31","9.7",,"1.7"
"EZM00011518","50.101","14.26","380.1","2020-02-01","11.1",,
"EZM00011518","50.101","14.26","380.1","2020-02-02","7.9",,"4.8"
"EZM00011518","50.101","14.26","380.1","2020-02-03","8.4",,
"EZM00011518","50.101","14.26","380.1","2020-02-04","3.1",,
"EZM00011518","50.101","14.26","380.1","2020-02-05","0.8",,
"EZM00011518","50.101","14.26","380.1","2020-02-06","0.6",,"-2.2"
"EZM00011518","50.101","14.26","380.1","2020-02-07","2.8",,"1.0"
"EZM00011518","50.101","14.26","380.1","2020-02-08","1.6",,"-1.6"
"EZM00011518","50.101","14.26","380.1","2020-02-09","3.9",,
"EZM00011518","50.101","14.26","380.1","2020-02-10","7.8",,
"EZM00011518","50.101","14.26","380.1","2020-02-11","3.3","6.1",
"EZM00011518","50.101","14.26","380.1","2020-02-12","1.3",,
"EZM00011518","50.101","14.26","380.1","2020-02-13","2.4",,
"EZM00011518","50.101","14.26","380.1","2020-02-14","4.6",,
"EZM00011518","50.101","14.26","380.1","2020-02-15","3.8",,
"EZM00011518","50.101","14.26","380.1","2020-02-16","7.5",,"1.4"
"EZM00011518","50.101","14.26","380.1","2020-02-17","8.8",,
"EZM00011518","50.101","14.26","380.1","2020-02-18","5.6",,
"EZM00011518","50.101","14.26","380.1","2020-02-19","3.6","6.2",
"EZM00011518","50.101","14.26","380.1","2020-02-20","3.3",,"-1.1"
"EZM00011518","50.101","14.26","380.1","2020-02-21","4.1",,
"EZM00011518","50.101","14.26","380.1","2020-02-22","6.9",,"1.4"
"EZM00011518","50.101","14.26","380.1","2020-02-23","9.4",,
"EZM00011518","50.101","14.26","380.1","2020-02-24","4.3",,"1.6"
"EZM00011518","50.101","14.26","380.1","2020-02-25","7.9",,"3.1"
"EZM00011518","50.101","14.26","380.1","2020-02-26","3.4","5.4",
