"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"FIE00142080","60.3269","24.9603","51.0","2020-01-01","1.2","2.9","-2.5"
"FIE00142080","60.3269","24.9603","51.0","2020-01-02","3.1","4.2","1.0"
"FIE00142080","60.3269","24.9603","51.0","2020-01-03","4.1","5.4","3.8"
"FIE00142080","60.3269","24.9603","51.0","2020-01-04","1.0","4.4","-0.8"
"FIE00142080","60.3269","24.9603","51.0","2020-01-05","-2.4","1.8","-6.6"
"FIE00142080","60.3269","24.9603","51.0","2020-01-06","1.1","1.0","-4.7"
"FIE00142080","60.3269","24.9603","51.0","2020-01-07","4.2","5.3","0.8"
"FIE00142080","60.3269","24.9603","51.0","2020-01-08","5.4","7.1","3.9"
"FIE00142080","60.3269","24.9603","51.0","2020-01-09","1.3","7.1","0.0"
"FIE00142080","60.3269","24.9603","51.0","2020-01-10","-4.2","0.1","-4.6"
"FIE00142080","60.3269","24.9603","51.0","2020-01-11","-1.2","3.1","-6.7"
"FIE00142080","60.3269","24.9603","51.0","2020-01-12","4.9","5.9","2.1"
"FIE00142080","60.3269","24.9603","51.0","2020-01-13","0.7","5.1","-1.1"
"FIE00142080","60.3269","24.9603","51.0","2020-01-14","3.1","3.7","0.9"
"FIE00142080","60.3269","24.9603","51.0","2020-01-15","5.9","7.6","2.3"
"FIE00142080","60.3269","24.9603","51.0","2020-01-16","4.5","6.9","3.5"
"FIE00142080","60.3269","24.9603","51.0","2020-01-17","3.7","5.2","1.4"
"FIE00142080","60.3269","24.9603","51.0","2020-01-18","3.3","4.8","1.2"
"FIE00142080","60.3269","24.9603","51.0","2020-01-19","3.5","5.1","1.9"
"FIE00142080","60.3269","24.9603","51.0","2020-01-20","2.8","3.7","0.4"
"FIE00142080","60.3269","24.9603","51.0","2020-01-21","4.9","7.6","2.4"
"FIE00142080","60.3269","24.9603","51.0","2020-01-22","0.6","3.7","-1.1"
"FIE00142080","60.3269","24.9603","51.0","2020-01-23","-0.5","2.7","-4.1"
