"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"FRM00007149","48.7167","2.3842","89.0","2020-01-01","1.8","4.0",
"FRM00007149","48.7167","2.3842","89.0","2020-01-02","7.1",,"3.8"
"FRM00007149","48.7167","2.3842","89.0","2020-01-03","9.6",,
"FRM00007149","48.7167","2.3842","89.0","2020-01-04","6.4","10.5","2.8"
"FRM00007149","48.7167","2.3842","89.0","2020-01-05","7.0",,
"FRM00007149","48.7167","2.3842","89.0","2020-01-06","3.5","8.3","-0.3"
"FRM00007149","48.7167","2.3842","89.0","2020-01-07","7.6",,"5.0"
"FRM00007149","48.7167","2.3842","89.0","2020-01-08","11.4",,"8.4"
"FRM00007149","48.7167","2.3842","89.0","2020-01-09","11.1",,
"FRM00007149","48.7167","2.3842","89.0","2020-01-10","8.2","10.7",
"FRM00007149","48.7167","2.3842","89.0","2020-01-11","5.2","9.0","1.8"
"FRM00007149","48.7167","2.3842","89.0","2020-01-12","6.2","8.4","2.5"
"FRM00007149","48.7167","2.3842","89.0","2020-01-13","8.5",,"6.5"
"FRM00007149","48.7167","2.3842","89.0","2020-01-14","10.3","12.3","8.9"
"FRM00007149","48.7167","2.3842","89.0","2020-01-15","10.2","13.2",
"FRM00007149","48.7167","2.3842","89.0","2020-01-16","9.0","14.3",
"FRM00007149","48.7167","2.3842","89.0","2020-01-17","9.0","12.2",
"FRM00007149","48.7167","2.3842","89.0","2020-01-18","5.0",,"1.6"
"FRM00007149","48.7167","2.3842","89.0","2020-01-19","4.2",,"0.3"
"FRM00007149","48.7167","2.3842","89.0","2020-01-20","3.2",,
"FRM00007149","48.7167","2.3842","89.0","2020-01-21","1.9","5.5","-1.0"
"FRM00007149","48.7167","2.3842","89.0","2020-01-22","0.3","4.4","-2.6"
"FRM00007149","48.7167","2.3842","89.0","2020-01-23","0.8",,"-1.0"
"FRM00007149","48.7167","2.3842","89.0","2020-01-24","0.4","5.0",
"FRM00007149","48.7167","2.3842","89.0","2020-01-25","1.8","6.1","-2.2"
"FRM00007149","48.7167","2.3842","89.0","2020-01-26","5.2",,"1.3"
"FRM00007149","48.7167","2.3842","89.0","2020-01-27","8.7","9.0","7.4"
"FRM00007149","48.7167","2.3842","89.0","2020-01-28","6.8","9.1",
"FRM00007149","48.7167","2.3842","89.0","2020-01-29","6.7",,
"FRM00007149","48.7167","2.3842","89.0","2020-01-30","8.1","13.3","2.6"
"FRM00007149","48.7167","2.3842","89.0","2020-01-31","12.1","14.1",
"FRM00007149","48.7167","2.3842","89.0","2020-02-01","12.5","14.6",
"FRM00007149","48.7167","2.3842","89.0","2020-02-02","13.0",,"11.0"
"FRM00007149","48.7167","2.3842","89.0","2020-02-03","11.7",,
"FRM00007149","48.7167","2.3842","89.0","2020-02-04","7.0","13.7","4.9"
"FRM00007149","48.7167","2.3842","89.0","2020-02-05","7.0",,
"FRM00007149","48.7167","2.3842","89.0","2020-02-06","5.2",,
"FRM00007149","48.7167","2.3842","89.0","2020-02-07","5.9",,"0.4"
"FRM00007149","48.7167","2.3842","89.0","2020-02-08","8.8","10.6",
"FRM00007149","48.7167","2.3842","89.0","2020-02-09","10.3",,"6.9"
"FRM00007149","48.7167","2.3842","89.0","2020-02-10","10.6",,
"FRM00007149","48.7167","2.3842","89.0","2020-02-11","6.6","11.3",
"FRM00007149","48.7167","2.3842","89.0","2020-02-12","6.1","9.8","3.5"
"FRM00007149","48.7167","2.3842","89.0","2020-02-13","8.4","13.2","5.0"
"FRM00007149","48.7167","2.3842","89.0","2020-02-14","9.3",,"7.6"
"FRM00007149","48.7167","2.3842","89.0","2020-02-15","9.7","13.5","5.9"
"FRM00007149","48.7167","2.3842","89.0","2020-02-16","14.1","18.2",
"FRM00007149","48.7167","2.3842","89.0","2020-02-17","9.0","16.2",
"FRM00007149","48.7167","2.3842","89.0","2020-02-18","7.3","11.2","3.6"
"FRM00007149","48.7167","2.3842","89.0","2020-02-19","7.3","10.2","4.4"
