"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"GR000016716","37.9","23.75","10.0","2020-01-01","8.4","11.8",
"GR000016716","37.9","23.75","10.0","2020-01-02","7.1","8.7","3.7"
"GR000016716","37.9","23.75","10.0","2020-01-03","8.9","11.2","6.8"
"GR000016716","37.9","23.75","10.0","2020-01-04","10.4",,"5.3"
"GR000016716","37.9","23.75","10.0","2020-01-05","9.6","13.1",
"GR000016716","37.9","23.75","10.0","2020-01-06","5.4","7.5",
"GR000016716","37.9","23.75","10.0","2020-01-07","5.6","8.4","3.9"
"GR000016716","37.9","23.75","10.0","2020-01-08","6.8","9.0","4.4"
"GR000016716","37.9","23.75","10.0","2020-01-09","7.2","10.4","4.4"
"GR000016716","37.9","23.75","10.0","2020-01-10","8.6","12.6","3.7"
"GR000016716","37.9","23.75","10.0","2020-01-11","9.1",,"5.9"
"GR000016716","37.9","23.75","10.0","2020-01-12","10.6","15.4","7.0"
"GR000016716","37.9","23.75","10.0","2020-01-13","11.1","13.6","8.8"
"GR000016716","37.9","23.75","10.0","2020-01-14","9.3",,"6.8"
"GR000016716","37.9","23.75","10.0","2020-01-15","10.9","13.0","7.6"
"GR000016716","37.9","23.75","10.0","2020-01-16","11.2","14.2","8.1"
"GR000016716","37.9","23.75","10.0","2020-01-17","10.2","11.4",
"GR000016716","37.9","23.75","10.0","2020-01-18","8.7","10.0","7.3"
"GR000016716","37.9","23.75","10.0","2020-01-19","8.4","10.6","6.0"
"GR000016716","37.9","23.75","10.0","2020-01-20","8.3","10.2","7.0"
"GR000016716","37.9","23.75","10.0","2020-01-21","7.6","9.4",
"GR000016716","37.9","23.75","10.0","2020-01-22","8.1","13.6","2.5"
"GR000016716","37.9","23.75","10.0","2020-01-23","10.3","16.6","6.2"
"GR000016716","37.9","23.75","10.0","2020-01-24","8.6","12.0","5.2"
"GR000016716","37.9","23.75","10.0","2020-01-25","10.3","15.0","6.1"
"GR000016716","37.9","23.75","10.0","2020-01-26","12.2","15.8","9.6"
"GR000016716","37.9","23.75","10.0","2020-01-27","13.1","17.7",
"GR000016716","37.9","23.75","10.0","2020-01-28","12.7","15.8","8.4"
"GR000016716","37.9","23.75","10.0","2020-01-29","13.9","20.0","9.4"
"GR000016716","37.9","23.75","10.0","2020-01-30","14.3","18.4",
"GR000016716","37.9","23.75","10.0","2020-01-31","12.2","17.1","7.0"
"GR000016716","37.9","23.75","10.0","2020-02-01","13.1","18.0","8.4"
"GR000016716","37.9","23.75","10.0","2020-02-02","12.8","18.6","9.6"
"GR000016716","37.9","23.75","10.0","2020-02-03","13.9","19.4","10.4"
"GR000016716","37.9","23.75","10.0","2020-02-04","13.8","18.6","10.2"
"GR000016716","37.9","23.75","10.0","2020-02-05","12.4","16.1",
"GR000016716","37.9","23.75","10.0","2020-02-06","5.9","9.1","4.1"
"GR000016716","37.9","23.75","10.0","2020-02-07","6.4","9.0","4.0"
"GR000016716","37.9","23.75","10.0","2020-02-08","5.8","8.9",
"GR000016716","37.9","23.75","10.0","2020-02-09","7.6","12.4","2.4"
"GR000016716","37.9","23.75","10.0","2020-02-10","11.4","16.2","6.7"
"GR000016716","37.9","23.75","10.0","2020-02-11","15.2","18.9","12.6"
"GR000016716","37.9","23.75","10.0","2020-02-12","15.3","19.4","11.9"
"GR000016716","37.9","23.75","10.0","2020-02-13","13.2","18.1","10.7"
"GR000016716","37.9","23.75","10.0","2020-02-14","12.7","15.6","9.8"
"GR000016716","37.9","23.75","10.0","2020-02-15","12.4",,
"GR000016716","37.9","23.75","10.0","2020-02-16","11.8","15.2","10.0"
"GR000016716","37.9","23.75","10.0","2020-02-17","11.9",,"9.2"
"GR000016716","37.9","23.75","10.0","2020-02-18","11.1","16.6","5.5"
"GR000016716","37.9","23.75","10.0","2020-02-19","12.3","17.7","8.8"
"GR000016716","37.9","23.75","10.0","2020-02-20","12.4",,
"GR000016716","37.9","23.75","10.0","2020-02-21","9.7","12.5","8.1"
"GR000016716","37.9","23.75","10.0","2020-02-22","7.8","11.0","5.2"
"GR000016716","37.9","23.75","10.0","2020-02-23","11.2","13.5",
"GR000016716","37.9","23.75","10.0","2020-02-24","12.1","17.5","7.5"
"GR000016716","37.9","23.75","10.0","2020-02-25","14.1","18.8","10.0"
"GR000016716","37.9","23.75","10.0","2020-02-26","14.6",,"10.0"
"GR000016716","37.9","23.75","10.0","2020-02-27","14.8",,
"GR000016716","37.9","23.75","10.0","2020-02-28","12.4","16.5","7.9"
"GR000016716","37.9","23.75","10.0","2020-02-29","10.6","14.5","7.5"
"GR000016716","37.9","23.75","10.0","2020-03-01","11.7","17.9","6.8"
"GR000016716","37.9","23.75","10.0","2020-03-02","13.6",,"9.1"
"GR000016716","37.9","23.75","10.0","2020-03-03","16.9","21.0","11.3"
"GR000016716","37.9","23.75","10.0","2020-03-04","16.0","18.8",
"GR000016716","37.9","23.75","10.0","2020-03-05","13.3","18.6","9.8"
"GR000016716","37.9","23.75","10.0","2020-03-06","14.1","18.8","9.0"
"GR000016716","37.9","23.75","10.0","2020-03-07","15.2","19.4","10.8"
"GR000016716","37.9","23.75","10.0","2020-03-08","17.2","19.5","15.2"
"GR000016716","37.9","23.75","10.0","2020-03-09","11.1",,"9.4"
"GR000016716","37.9","23.75","10.0","2020-03-10","13.2","17.0","9.8"
"GR000016716","37.9","23.75","10.0","2020-03-11","13.6","17.8","8.5"
"GR000016716","37.9","23.75","10.0","2020-03-12","15.2","20.1","8.5"
"GR000016716","37.9","23.75","10.0","2020-03-13","19.3",,
"GR000016716","37.9","23.75","10.0","2020-03-14","16.6","21.6",
"GR000016716","37.9","23.75","10.0","2020-03-15","14.9","20.0","11.6"
"GR000016716","37.9","23.75","10.0","2020-03-16","9.7","10.8","8.3"
"GR000016716","37.9","23.75","10.0","2020-03-17","10.6",,"7.2"
"GR000016716","37.9","23.75","10.0","2020-03-18","11.8","18.6","5.5"
"GR000016716","37.9","23.75","10.0","2020-03-19","11.7","16.2","8.6"
"GR000016716","37.9","23.75","10.0","2020-03-20","13.8","19.6","6.7"
"GR000016716","37.9","23.75","10.0","2020-03-21","15.0","21.9","9.3"
"GR000016716","37.9","23.75","10.0","2020-03-22","14.8","18.0","12.2"
