"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"IT000162240","42.0828","12.2167","266.0","2020-01-01","7.8","14.3","3.5"
"IT000162240","42.0828","12.2167","266.0","2020-01-02","8.8","14.0",
"IT000162240","42.0828","12.2167","266.0","2020-01-03","8.8","14.5",
"IT000162240","42.0828","12.2167","266.0","2020-01-04","9.0","12.0","6.8"
"IT000162240","42.0828","12.2167","266.0","2020-01-05","8.4",,
"IT000162240","42.0828","12.2167","266.0","2020-01-06","7.5",,"4.2"
"IT000162240","42.0828","12.2167","266.0","2020-01-07","5.8","9.1","2.9"
"IT000162240","42.0828","12.2167","266.0","2020-01-08","8.4","14.4","4.7"
"IT000162240","42.0828","12.2167","266.0","2020-01-09","7.6",,
"IT000162240","42.0828","12.2167","266.0","2020-01-10","7.9","13.6","4.6"
"IT000162240","42.0828","12.2167","266.0","2020-01-11","7.9",,
"IT000162240","42.0828","12.2167","266.0","2020-01-12","8.4","13.5","5.6"
"IT000162240","42.0828","12.2167","266.0","2020-01-13","6.9",,"3.9"
"IT000162240","42.0828","12.2167","266.0","2020-01-14","7.9","12.1","4.9"
"IT000162240","42.0828","12.2167","266.0","2020-01-15","8.3",,"4.9"
"IT000162240","42.0828","12.2167","266.0","2020-01-16","8.4","14.4","4.8"
"IT000162240","42.0828","12.2167","266.0","2020-01-17","8.9","13.1",
"IT000162240","42.0828","12.2167","266.0","2020-01-18","8.2","10.1","7.0"
"IT000162240","42.0828","12.2167","266.0","2020-01-19","8.8","12.6","6.0"
"IT000162240","42.0828","12.2167","266.0","2020-01-20","8.2",,
"IT000162240","42.0828","12.2167","266.0","2020-01-21","8.4","11.6",
"IT000162240","42.0828","12.2167","266.0","2020-01-22","8.7","15.0",
"IT000162240","42.0828","12.2167","266.0","2020-01-23","8.4",,"4.9"
"IT000162240","42.0828","12.2167","266.0","2020-01-24","8.1","10.4","5.0"
"IT000162240","42.0828","12.2167","266.0","2020-01-25","10.3","14.2","8.5"
"IT000162240","42.0828","12.2167","266.0","2020-01-26","9.3","12.7",
"IT000162240","42.0828","12.2167","266.0","2020-01-27","9.3","13.8","5.5"
"IT000162240","42.0828","12.2167","266.0","2020-01-28","11.3","12.3","9.0"
"IT000162240","42.0828","12.2167","266.0","2020-01-29","10.0","14.2","6.7"
"IT000162240","42.0828","12.2167","266.0","2020-01-30","9.9","15.1",
"IT000162240","42.0828","12.2167","266.0","2020-01-31","10.4","12.4","8.9"
"IT000162240","42.0828","12.2167","266.0","2020-02-01","10.9","12.5","9.9"
"IT000162240","42.0828","12.2167","266.0","2020-02-02","12.1","15.4","10.7"
"IT000162240","42.0828","12.2167","266.0","2020-02-03","12.7","17.0",
"IT000162240","42.0828","12.2167","266.0","2020-02-04","11.5","17.9",
"IT000162240","42.0828","12.2167","266.0","2020-02-05","7.8","12.0",
