"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"LH000026730","54.6331","25.1","156.0","2020-01-01","1.0","3.3",
"LH000026730","54.6331","25.1","156.0","2020-01-02","1.3",,
"LH000026730","54.6331","25.1","156.0","2020-01-03","-0.7","4.0",
"LH000026730","54.6331","25.1","156.0","2020-01-04","1.0",,
"LH000026730","54.6331","25.1","156.0","2020-01-05","-1.3","0.3",
"LH000026730","54.6331","25.1","156.0","2020-01-06","-1.7","0.0",
"LH000026730","54.6331","25.1","156.0","2020-01-07","0.0","0.5",
"LH000026730","54.6331","25.1","156.0","2020-01-08","0.2",,
"LH000026730","54.6331","25.1","156.0","2020-01-09","2.6",,
"LH000026730","54.6331","25.1","156.0","2020-01-10","3.8",,"0.8"
"LH000026730","54.6331","25.1","156.0","2020-01-11","2.6",,
"LH000026730","54.6331","25.1","156.0","2020-01-12","1.9","3.5",
"LH000026730","54.6331","25.1","156.0","2020-01-13","1.8",,
"LH000026730","54.6331","25.1","156.0","2020-01-14","2.7","3.6",
"LH000026730","54.6331","25.1","156.0","2020-01-15","3.0","6.7","1.0"
"LH000026730","54.6331","25.1","156.0","2020-01-16","4.4","6.8",
"LH000026730","54.6331","25.1","156.0","2020-01-17","1.2",,
"LH000026730","54.6331","25.1","156.0","2020-01-18","-0.7","0.7",
"LH000026730","54.6331","25.1","156.0","2020-01-19","0.8","2.2",
"LH000026730","54.6331","25.1","156.0","2020-01-20","2.2","3.1",
"LH000026730","54.6331","25.1","156.0","2020-01-21","3.3",,
"LH000026730","54.6331","25.1","156.0","2020-01-22","2.5","4.4",
"LH000026730","54.6331","25.1","156.0","2020-01-23","0.7","2.6",
"LH000026730","54.6331","25.1","156.0","2020-01-24","2.3","3.5","-0.2"
"LH000026730","54.6331","25.1","156.0","2020-01-25","3.2","5.3",
"LH000026730","54.6331","25.1","156.0","2020-01-26","1.8","3.6",
"LH000026730","54.6331","25.1","156.0","2020-01-27","-0.3","0.4",
"LH000026730","54.6331","25.1","156.0","2020-01-28","0.4",,
"LH000026730","54.6331","25.1","156.0","2020-01-29","0.7",,
"LH000026730","54.6331","25.1","156.0","2020-01-30","1.2","3.2",
"LH000026730","54.6331","25.1","156.0","2020-01-31","1.8","3.4","0.7"
"LH000026730","54.6331","25.1","156.0","2020-02-01","4.8",,"2.0"
"LH000026730","54.6331","25.1","156.0","2020-02-02","4.6",,
"LH000026730","54.6331","25.1","156.0","2020-02-03","1.9","3.6",
"LH000026730","54.6331","25.1","156.0","2020-02-04","-0.5","1.8",
"LH000026730","54.6331","25.1","156.0","2020-02-05","-3.3","0.0","-6.5"
"LH000026730","54.6331","25.1","156.0","2020-02-06","-0.6","3.1",
"LH000026730","54.6331","25.1","156.0","2020-02-07","-3.6","-0.6",
"LH000026730","54.6331","25.1","156.0","2020-02-08","-0.3","0.4","-3.4"
"LH000026730","54.6331","25.1","156.0","2020-02-09","0.4","5.1",
"LH000026730","54.6331","25.1","156.0","2020-02-10","2.4","4.5",
"LH000026730","54.6331","25.1","156.0","2020-02-11","1.6","4.5",
"LH000026730","54.6331","25.1","156.0","2020-02-12","0.9","2.4",
"LH000026730","54.6331","25.1","156.0","2020-02-13","1.4","4.4",
"LH000026730","54.6331","25.1","156.0","2020-02-14","-0.1","4.1",
"LH000026730","54.6331","25.1","156.0","2020-02-15","-1.3","3.9",
"LH000026730","54.6331","25.1","156.0","2020-02-16","2.5",,
"LH000026730","54.6331","25.1","156.0","2020-02-17","6.1","10.7",
"LH000026730","54.6331","25.1","156.0","2020-02-18","2.9","6.9",
"LH000026730","54.6331","25.1","156.0","2020-02-19","3.3","6.5",
"LH000026730","54.6331","25.1","156.0","2020-02-20","1.8","5.9",
"LH000026730","54.6331","25.1","156.0","2020-02-21","1.6","5.1",
"LH000026730","54.6331","25.1","156.0","2020-02-22","2.6",,"0.4"
"LH000026730","54.6331","25.1","156.0","2020-02-23","3.1","5.5",
"LH000026730","54.6331","25.1","156.0","2020-02-24","1.8","6.2",
"LH000026730","54.6331","25.1","156.0","2020-02-25","-0.1",,
"LH000026730","54.6331","25.1","156.0","2020-02-26","3.2","8.4",
"LH000026730","54.6331","25.1","156.0","2020-02-27","1.0","3.3",
"LH000026730","54.6331","25.1","156.0","2020-02-28","0.1","2.7",
"LH000026730","54.6331","25.1","156.0","2020-02-29","1.5","5.1",
"LH000026730","54.6331","25.1","156.0","2020-03-01","3.8","8.5",
"LH000026730","54.6331","25.1","156.0","2020-03-02","5.1","9.8","0.7"
"LH000026730","54.6331","25.1","156.0","2020-03-03","5.6","8.5",
"LH000026730","54.6331","25.1","156.0","2020-03-04","5.7",,
"LH000026730","54.6331","25.1","156.0","2020-03-05","2.1","7.3",
"LH000026730","54.6331","25.1","156.0","2020-03-06","2.6","8.3",
"LH000026730","54.6331","25.1","156.0","2020-03-07","3.5","5.0",
"LH000026730","54.6331","25.1","156.0","2020-03-08","4.6","6.2",
"LH000026730","54.6331","25.1","156.0","2020-03-09","4.1","6.0","1.9"
"LH000026730","54.6331","25.1","156.0","2020-03-10","3.5","6.3","0.0"
"LH000026730","54.6331","25.1","156.0","2020-03-11","5.1","8.2","3.2"
