"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"MJE00175553","42.4375","19.2781","49.0","2020-01-01",,"12.1","2.5"
"MJE00175553","42.4375","19.2781","49.0","2020-01-02",,"11.2","1.8"
"MJE00175553","42.4375","19.2781","49.0","2020-01-03",,"14.1","-1.9"
"MJE00175553","42.4375","19.2781","49.0","2020-01-04",,"10.7","-0.2"
"MJE00175553","42.4375","19.2781","49.0","2020-01-05",,"10.9","1.8"
"MJE00175553","42.4375","19.2781","49.0","2020-01-06",,"6.9","3.2"
"MJE00175553","42.4375","19.2781","49.0","2020-01-07",,"10.1","-0.2"
"MJE00175553","42.4375","19.2781","49.0","2020-01-08",,"12.5","-0.5"
"MJE00175553","42.4375","19.2781","49.0","2020-01-09",,"12.5","-2.6"
"MJE00175553","42.4375","19.2781","49.0","2020-01-10",,"12.9","-2.6"
"MJE00175553","42.4375","19.2781","49.0","2020-01-11",,"14.9","0.7"
"MJE00175553","42.4375","19.2781","49.0","2020-01-12",,"13.5","4.3"
"MJE00175553","42.4375","19.2781","49.0","2020-01-13",,"13.0","2.1"
"MJE00175553","42.4375","19.2781","49.0","2020-01-14",,"13.9","0.1"
"MJE00175553","42.4375","19.2781","49.0","2020-01-15",,"14.6","0.4"
"MJE00175553","42.4375","19.2781","49.0","2020-01-16",,"14.8","-0.5"
"MJE00175553","42.4375","19.2781","49.0","2020-01-17",,"15.1","-1.1"
"MJE00175553","42.4375","19.2781","49.0","2020-01-18",,"12.9","-1.5"
"MJE00175553","42.4375","19.2781","49.0","2020-01-19",,"9.3","4.7"
"MJE00175553","42.4375","19.2781","49.0","2020-01-20",,"11.7","3.0"
"MJE00175553","42.4375","19.2781","49.0","2020-01-21",,"10.5","-2.5"
"MJE00175553","42.4375","19.2781","49.0","2020-01-22",,"10.5","-3.0"
"MJE00175553","42.4375","19.2781","49.0","2020-01-24",,"11.7","-2.0"
"MJE00175553","42.4375","19.2781","49.0","2020-01-25",,"9.6","6.6"
"MJE00175553","42.4375","19.2781","49.0","2020-01-26",,"9.8","6.6"
"MJE00175553","42.4375","19.2781","49.0","2020-01-27",,"12.8","8.0"
"MJE00175553","42.4375","19.2781","49.0","2020-01-28",,"10.8","7.2"
"MJE00175553","42.4375","19.2781","49.0","2020-01-29",,"14.3","9.2"
"MJE00175553","42.4375","19.2781","49.0","2020-01-30",,"14.8","4.4"
"MJE00175553","42.4375","19.2781","49.0","2020-01-31",,"10.7","0.9"
"MJE00175553","42.4375","19.2781","49.0","2020-02-01",,"17.4","7.4"
"MJE00175553","42.4375","19.2781","49.0","2020-02-02",,"17.6","9.4"
"MJE00175553","42.4375","19.2781","49.0","2020-02-03",,"14.5","8.4"
"MJE00175553","42.4375","19.2781","49.0","2020-02-04",,"12.6","10.2"
"MJE00175553","42.4375","19.2781","49.0","2020-02-05",,"11.0","6.7"
"MJE00175553","42.4375","19.2781","49.0","2020-02-06",,"7.5","3.2"
"MJE00175553","42.4375","19.2781","49.0","2020-02-07",,"10.8","1.2"
"MJE00175553","42.4375","19.2781","49.0","2020-02-08",,"13.2","1.6"
"MJE00175553","42.4375","19.2781","49.0","2020-02-09",,"13.4","0.0"
"MJE00175553","42.4375","19.2781","49.0","2020-02-10",,"11.0","4.9"
"MJE00175553","42.4375","19.2781","49.0","2020-02-11",,"15.8","7.6"
"MJE00175553","42.4375","19.2781","49.0","2020-02-12",,"16.3","10.0"
"MJE00175553","42.4375","19.2781","49.0","2020-02-13",,"17.0","5.4"
"MJE00175553","42.4375","19.2781","49.0","2020-02-14",,"10.3","6.3"
"MJE00175553","42.4375","19.2781","49.0","2020-02-15",,"15.3","10.8"
"MJE00175553","42.4375","19.2781","49.0","2020-02-16",,"17.4","2.3"
"MJE00175553","42.4375","19.2781","49.0","2020-02-17",,"18.4","1.8"
"MJE00175553","42.4375","19.2781","49.0","2020-02-18",,"18.3","1.8"
"MJE00175553","42.4375","19.2781","49.0","2020-02-19",,"17.4","6.9"
"MJE00175553","42.4375","19.2781","49.0","2020-02-20",,"12.3","7.8"
"MJE00175553","42.4375","19.2781","49.0","2020-02-21",,"14.5","5.8"
"MJE00175553","42.4375","19.2781","49.0","2020-02-22",,,"7.9"
"MJE00175553","42.4375","19.2781","49.0","2020-02-23",,"15.8","1.5"
"MJE00175553","42.4375","19.2781","49.0","2020-02-24",,"17.3","3.0"
"MJE00175553","42.4375","19.2781","49.0","2020-02-25",,"19.2","4.7"
"MJE00175553","42.4375","19.2781","49.0","2020-02-26",,"15.2","13.4"
"MJE00175553","42.4375","19.2781","49.0","2020-02-27",,"14.0","6.7"
"MJE00175553","42.4375","19.2781","49.0","2020-02-28",,"12.5","4.7"
"MJE00175553","42.4375","19.2781","49.0","2020-02-29",,"12.7","2.0"
"MJE00175553","42.4375","19.2781","49.0","2020-03-01",,"8.7","1.4"
"MJE00175553","42.4375","19.2781","49.0","2020-03-02",,"19.2","7.6"
"MJE00175553","42.4375","19.2781","49.0","2020-03-03",,"16.7","14.1"
"MJE00175553","42.4375","19.2781","49.0","2020-03-04",,"12.8","7.7"
"MJE00175553","42.4375","19.2781","49.0","2020-03-05",,"16.5","6.9"
"MJE00175553","42.4375","19.2781","49.0","2020-03-06",,"9.8","6.2"
"MJE00175553","42.4375","19.2781","49.0","2020-03-07",,"15.9","8.1"
"MJE00175553","42.4375","19.2781","49.0","2020-03-08",,"11.3","8.3"
"MJE00175553","42.4375","19.2781","49.0","2020-03-09",,"15.6","6.4"
"MJE00175553","42.4375","19.2781","49.0","2020-03-10",,"17.3","8.1"
"MJE00175553","42.4375","19.2781","49.0","2020-03-11",,"17.3","5.4"
"MJE00175553","42.4375","19.2781","49.0","2020-03-12",,"23.8","5.3"
"MJE00175553","42.4375","19.2781","49.0","2020-03-13",,"23.4","7.6"
"MJE00175553","42.4375","19.2781","49.0","2020-03-14",,"21.4","10.0"
"MJE00175553","42.4375","19.2781","49.0","2020-03-15",,"15.5","12.1"
"MJE00175553","42.4375","19.2781","49.0","2020-03-16",,"17.8","4.9"
"MJE00175553","42.4375","19.2781","49.0","2020-03-17",,"19.1","5.0"
"MJE00175553","42.4375","19.2781","49.0","2020-03-18",,"22.8","5.3"
"MJE00175553","42.4375","19.2781","49.0","2020-03-19",,"20.8","7.4"
"MJE00175553","42.4375","19.2781","49.0","2020-03-20",,"21.7","5.7"
"MJE00175553","42.4375","19.2781","49.0","2020-03-21",,"21.0","5.7"
"MJE00175553","42.4375","19.2781","49.0","2020-03-22",,"22.2","9.1"
"MJE00175553","42.4375","19.2781","49.0","2020-03-23",,"9.1","6.1"
"MJE00175553","42.4375","19.2781","49.0","2020-03-24",,"8.3","1.6"
"MJE00175553","42.4375","19.2781","49.0","2020-03-25",,"10.0","0.8"
"MJE00175553","42.4375","19.2781","49.0","2020-03-26",,"19.2","6.2"
"MJE00175553","42.4375","19.2781","49.0","2020-03-27",,"14.4","10.4"
"MJE00175553","42.4375","19.2781","49.0","2020-03-28",,"16.2","7.7"
"MJE00175553","42.4375","19.2781","49.0","2020-03-29",,"19.7","7.5"
"MJE00175553","42.4375","19.2781","49.0","2020-03-30",,"22.2","6.7"
"MJE00175553","42.4375","19.2781","49.0","2020-03-31",,"16.0","10.9"
"MJE00175553","42.4375","19.2781","49.0","2020-04-01",,"9.3","2.3"
"MJE00175553","42.4375","19.2781","49.0","2020-04-02",,"14.2","0.6"
"MJE00175553","42.4375","19.2781","49.0","2020-04-03",,"17.7","4.0"
"MJE00175553","42.4375","19.2781","49.0","2020-04-04",,"17.6","9.8"
"MJE00175553","42.4375","19.2781","49.0","2020-04-05",,"18.7","14.6"
"MJE00175553","42.4375","19.2781","49.0","2020-04-06",,"21.6","14.5"
"MJE00175553","42.4375","19.2781","49.0","2020-04-07",,"23.1","8.5"
"MJE00175553","42.4375","19.2781","49.0","2020-04-08",,"22.4","13.0"
"MJE00175553","42.4375","19.2781","49.0","2020-04-09",,"25.1","8.3"
"MJE00175553","42.4375","19.2781","49.0","2020-04-10",,"26.2","7.6"
"MJE00175553","42.4375","19.2781","49.0","2020-04-11",,"27.0","11.8"
"MJE00175553","42.4375","19.2781","49.0","2020-04-12",,"26.4","13.1"
"MJE00175553","42.4375","19.2781","49.0","2020-04-13",,"22.6",
"MJE00175553","42.4375","19.2781","49.0","2020-04-14",,"17.9","11.4"
"MJE00175553","42.4375","19.2781","49.0","2020-04-15",,"16.4","8.3"
"MJE00175553","42.4375","19.2781","49.0","2020-04-16",,"23.6","5.0"
"MJE00175553","42.4375","19.2781","49.0","2020-04-17",,"22.7","6.8"
"MJE00175553","42.4375","19.2781","49.0","2020-04-18",,"24.4","7.5"
"MJE00175553","42.4375","19.2781","49.0","2020-04-19",,"24.7","11.2"
"MJE00175553","42.4375","19.2781","49.0","2020-04-20",,"22.6","13.2"
"MJE00175553","42.4375","19.2781","49.0","2020-04-21",,"17.7","13.3"
"MJE00175553","42.4375","19.2781","49.0","2020-04-22",,"18.5","13.4"
"MJE00175553","42.4375","19.2781","49.0","2020-04-23",,"21.6","9.1"
"MJE00175553","42.4375","19.2781","49.0","2020-04-24",,"23.3","7.8"
"MJE00175553","42.4375","19.2781","49.0","2020-04-25",,"22.1","9.3"
"MJE00175553","42.4375","19.2781","49.0","2020-04-26",,"23.7","9.0"
"MJE00175553","42.4375","19.2781","49.0","2020-04-27",,"25.9","11.0"
"MJE00175553","42.4375","19.2781","49.0","2020-04-28",,"25.1","10.6"
"MJE00175553","42.4375","19.2781","49.0","2020-04-29",,"22.9","14.1"
"MJE00175553","42.4375","19.2781","49.0","2020-04-30",,"22.4","13.1"
"MJE00175553","42.4375","19.2781","49.0","2020-05-01",,"22.3","13.0"
"MJE00175553","42.4375","19.2781","49.0","2020-05-02",,"19.7","13.9"
"MJE00175553","42.4375","19.2781","49.0","2020-05-03",,"24.4","8.9"
"MJE00175553","42.4375","19.2781","49.0","2020-05-04",,"25.6","10.3"
"MJE00175553","42.4375","19.2781","49.0","2020-05-05",,"24.3","11.2"
"MJE00175553","42.4375","19.2781","49.0","2020-05-06",,"16.8","13.4"
"MJE00175553","42.4375","19.2781","49.0","2020-05-07",,"23.9","9.8"
"MJE00175553","42.4375","19.2781","49.0","2020-05-08",,"25.3","10.5"
"MJE00175553","42.4375","19.2781","49.0","2020-05-09",,"25.6","6.5"
"MJE00175553","42.4375","19.2781","49.0","2020-05-10",,"23.5","10.3"
"MJE00175553","42.4375","19.2781","49.0","2020-05-11",,"27.6","10.9"
"MJE00175553","42.4375","19.2781","49.0","2020-05-12",,"24.9","18.0"
"MJE00175553","42.4375","19.2781","49.0","2020-05-13",,"28.3","13.9"
"MJE00175553","42.4375","19.2781","49.0","2020-05-14",,"31.2","17.5"
"MJE00175553","42.4375","19.2781","49.0","2020-05-15",,"26.1","20.1"
"MJE00175553","42.4375","19.2781","49.0","2020-05-16",,"31.4","14.9"
"MJE00175553","42.4375","19.2781","49.0","2020-05-17",,"31.9","17.9"
"MJE00175553","42.4375","19.2781","49.0","2020-05-18",,"31.1","22.1"
"MJE00175553","42.4375","19.2781","49.0","2020-05-19",,"33.3","19.7"
"MJE00175553","42.4375","19.2781","49.0","2020-05-20",,"28.0","20.0"
"MJE00175553","42.4375","19.2781","49.0","2020-05-21",,"26.3","18.3"
"MJE00175553","42.4375","19.2781","49.0","2020-05-22",,"27.3","16.0"
"MJE00175553","42.4375","19.2781","49.0","2020-05-23",,"27.0","15.3"
"MJE00175553","42.4375","19.2781","49.0","2020-05-24",,"26.4","14.3"
"MJE00175553","42.4375","19.2781","49.0","2020-05-25",,"25.9","17.6"
"MJE00175553","42.4375","19.2781","49.0","2020-05-26",,"23.6","16.6"
"MJE00175553","42.4375","19.2781","49.0","2020-05-27",,"23.4","1.4"
"MJE00175553","42.4375","19.2781","49.0","2020-05-28",,"25.1","16.2"
"MJE00175553","42.4375","19.2781","49.0","2020-05-29",,"25.6","13.1"
"MJE00175553","42.4375","19.2781","49.0","2020-05-30",,"21.4","13.6"
"MJE00175553","42.4375","19.2781","49.0","2020-05-31",,"19.8","14.1"
"MJE00175553","42.4375","19.2781","49.0","2020-07-16",,"32.2","19.5"
"MJE00175553","42.4375","19.2781","49.0","2020-07-17",,"33.1","18.7"
"MJE00175553","42.4375","19.2781","49.0","2020-07-18",,"29.5","20.7"
"MJE00175553","42.4375","19.2781","49.0","2020-07-19",,"29.1","17.2"
"MJE00175553","42.4375","19.2781","49.0","2020-07-20",,"33.0","17.4"
"MJE00175553","42.4375","19.2781","49.0","2020-07-21",,"35.9","20.3"
"MJE00175553","42.4375","19.2781","49.0","2020-07-23",,"37.3","24.5"
"MJE00175553","42.4375","19.2781","49.0","2020-07-24",,"35.4","24.4"
"MJE00175553","42.4375","19.2781","49.0","2020-07-25",,"33.9","22.5"
"MJE00175553","42.4375","19.2781","49.0","2020-07-26",,"32.9","22.2"
"MJE00175553","42.4375","19.2781","49.0","2020-07-27",,"37.1","22.5"
"MJE00175553","42.4375","19.2781","49.0","2020-07-28",,"37.4","22.5"
"MJE00175553","42.4375","19.2781","49.0","2020-07-29",,"38.8","24.3"
"MJE00175553","42.4375","19.2781","49.0","2020-07-30",,"40.4","24.3"
"MJE00175553","42.4375","19.2781","49.0","2020-07-31",,"38.5","24.6"
"MJE00175553","42.4375","19.2781","49.0","2020-09-01",,"30.4","23.5"
"MJE00175553","42.4375","19.2781","49.0","2020-09-02",,"29.7","17.2"
"MJE00175553","42.4375","19.2781","49.0","2020-09-03",,"30.6","18.8"
"MJE00175553","42.4375","19.2781","49.0","2020-09-04",,"30.3","20.7"
"MJE00175553","42.4375","19.2781","49.0","2020-09-05",,"32.4","17.5"
"MJE00175553","42.4375","19.2781","49.0","2020-09-06",,"32.8","16.8"
"MJE00175553","42.4375","19.2781","49.0","2020-09-07",,"34.0","17.3"
"MJE00175553","42.4375","19.2781","49.0","2020-09-08",,"35.4","22.5"
"MJE00175553","42.4375","19.2781","49.0","2020-09-09",,"35.5","21.8"
"MJE00175553","42.4375","19.2781","49.0","2020-09-10",,"35.4","20.5"
"MJE00175553","42.4375","19.2781","49.0","2020-09-11",,"34.9","24.7"
"MJE00175553","42.4375","19.2781","49.0","2020-09-12",,"35.5","24.1"
"MJE00175553","42.4375","19.2781","49.0","2020-09-13",,"36.5","23.1"
"MJE00175553","42.4375","19.2781","49.0","2020-09-14",,"35.7","26.4"
"MJE00175553","42.4375","19.2781","49.0","2020-09-15",,"34.5","25.4"
"MJE00175553","42.4375","19.2781","49.0","2020-09-16",,"35.2","22.5"
"MJE00175553","42.4375","19.2781","49.0","2020-09-17",,"34.5","21.8"
"MJE00175553","42.4375","19.2781","49.0","2020-09-18",,"32.1",
"MJE00175553","42.4375","19.2781","49.0","2020-09-19",,"31.0","22.3"
"MJE00175553","42.4375","19.2781","49.0","2020-09-20",,"31.9","19.3"
"MJE00175553","42.4375","19.2781","49.0","2020-09-21",,"31.2","18.1"
"MJE00175553","42.4375","19.2781","49.0","2020-09-22",,"29.3","19.7"
"MJE00175553","42.4375","19.2781","49.0","2020-09-23",,"23.8","17.5"
"MJE00175553","42.4375","19.2781","49.0","2020-09-24",,"26.9","15.9"
