"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"PLM00012375","52.166","20.967","110.3","2020-01-01","1.4","5.6","0.8"
"PLM00012375","52.166","20.967","110.3","2020-01-02","0.8","3.1",
"PLM00012375","52.166","20.967","110.3","2020-01-03","0.5",,
"PLM00012375","52.166","20.967","110.3","2020-01-04","3.7","5.3",
"PLM00012375","52.166","20.967","110.3","2020-01-05","0.4",,
"PLM00012375","52.166","20.967","110.3","2020-01-06","-0.1",,
"PLM00012375","52.166","20.967","110.3","2020-01-07","1.1",,
"PLM00012375","52.166","20.967","110.3","2020-01-08","3.5",,"0.0"
"PLM00012375","52.166","20.967","110.3","2020-01-09","5.9",,"4.2"
"PLM00012375","52.166","20.967","110.3","2020-01-10","7.3","9.1","5.8"
"PLM00012375","52.166","20.967","110.3","2020-01-11","5.6","8.9",
"PLM00012375","52.166","20.967","110.3","2020-01-12","3.7",,"2.0"
"PLM00012375","52.166","20.967","110.3","2020-01-13","4.8",,"2.0"
"PLM00012375","52.166","20.967","110.3","2020-01-14","3.2","6.2",
"PLM00012375","52.166","20.967","110.3","2020-01-15","4.9",,
"PLM00012375","52.166","20.967","110.3","2020-01-16","3.6",,
"PLM00012375","52.166","20.967","110.3","2020-01-17","-0.3","2.3",
"PLM00012375","52.166","20.967","110.3","2020-01-18","2.6",,
"PLM00012375","52.166","20.967","110.3","2020-01-19","2.8",,
"PLM00012375","52.166","20.967","110.3","2020-01-20","2.1",,
"PLM00012375","52.166","20.967","110.3","2020-01-21","2.4",,"-0.2"
"PLM00012375","52.166","20.967","110.3","2020-01-22","2.8",,
"PLM00012375","52.166","20.967","110.3","2020-01-23","0.7","3.2","-1.0"
"PLM00012375","52.166","20.967","110.3","2020-01-24","1.2",,"-1.1"
"PLM00012375","52.166","20.967","110.3","2020-01-25","0.6","1.7",
"PLM00012375","52.166","20.967","110.3","2020-01-26","-0.2",,
"PLM00012375","52.166","20.967","110.3","2020-01-27","0.8",,
"PLM00012375","52.166","20.967","110.3","2020-01-28","1.4","4.3",
"PLM00012375","52.166","20.967","110.3","2020-01-29","2.3",,
"PLM00012375","52.166","20.967","110.3","2020-01-30","3.3",,"0.8"
"PLM00012375","52.166","20.967","110.3","2020-01-31","6.4",,"2.3"
"PLM00012375","52.166","20.967","110.3","2020-02-01","9.4",,"5.9"
"PLM00012375","52.166","20.967","110.3","2020-02-02","7.1","10.9",
"PLM00012375","52.166","20.967","110.3","2020-02-03","3.9",,
"PLM00012375","52.166","20.967","110.3","2020-02-04","4.9","6.1","1.6"
"PLM00012375","52.166","20.967","110.3","2020-02-05","0.6","3.4",
"PLM00012375","52.166","20.967","110.3","2020-02-06","2.2",,"-1.2"
"PLM00012375","52.166","20.967","110.3","2020-02-07","0.0","4.8","-2.4"
"PLM00012375","52.166","20.967","110.3","2020-02-08","0.3",,
"PLM00012375","52.166","20.967","110.3","2020-02-09","2.6",,"-3.2"
"PLM00012375","52.166","20.967","110.3","2020-02-10","6.2",,"2.7"
"PLM00012375","52.166","20.967","110.3","2020-02-11","3.9","6.0",
"PLM00012375","52.166","20.967","110.3","2020-02-12","3.7","5.0",
"PLM00012375","52.166","20.967","110.3","2020-02-13","2.9","6.1",
"PLM00012375","52.166","20.967","110.3","2020-02-14","1.4","2.2",
"PLM00012375","52.166","20.967","110.3","2020-02-15","0.7","4.3",
"PLM00012375","52.166","20.967","110.3","2020-02-16","6.6",,
"PLM00012375","52.166","20.967","110.3","2020-02-17","10.6",,
"PLM00012375","52.166","20.967","110.3","2020-02-18","6.3","11.1","2.9"
"PLM00012375","52.166","20.967","110.3","2020-02-19","4.9",,"1.8"
"PLM00012375","52.166","20.967","110.3","2020-02-20","2.8","6.6",
"PLM00012375","52.166","20.967","110.3","2020-02-21","2.7",,
"PLM00012375","52.166","20.967","110.3","2020-02-22","5.4",,"0.0"
"PLM00012375","52.166","20.967","110.3","2020-02-23","5.8","11.1",
"PLM00012375","52.166","20.967","110.3","2020-02-24","3.7",,
"PLM00012375","52.166","20.967","110.3","2020-02-25","6.4",,
"PLM00012375","52.166","20.967","110.3","2020-02-26","5.1","9.5",
"PLM00012375","52.166","20.967","110.3","2020-02-27","1.4","5.2",
"PLM00012375","52.166","20.967","110.3","2020-02-28","0.9","5.1",
"PLM00012375","52.166","20.967","110.3","2020-02-29","4.1","8.0",
"PLM00012375","52.166","20.967","110.3","2020-03-01","7.4",,
"PLM00012375","52.166","20.967","110.3","2020-03-02","4.8","8.3",
"PLM00012375","52.166","20.967","110.3","2020-03-03","6.5",,
