"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"RSM00027612","55.8331","37.6167","156.0","2020-01-01","-1.0",,
"RSM00027612","55.8331","37.6167","156.0","2020-01-02","0.5","1.7","-1.9"
"RSM00027612","55.8331","37.6167","156.0","2020-01-03","0.9","2.0",
"RSM00027612","55.8331","37.6167","156.0","2020-01-04","-0.7",,"-1.3"
"RSM00027612","55.8331","37.6167","156.0","2020-01-05","0.4","1.3","-1.6"
"RSM00027612","55.8331","37.6167","156.0","2020-01-06","-0.9","-0.1",
"RSM00027612","55.8331","37.6167","156.0","2020-01-07","-1.3",,"-2.2"
"RSM00027612","55.8331","37.6167","156.0","2020-01-08","0.4","1.1","-0.8"
"RSM00027612","55.8331","37.6167","156.0","2020-01-09","0.7","2.2","-0.9"
"RSM00027612","55.8331","37.6167","156.0","2020-01-10","0.9","1.5",
"RSM00027612","55.8331","37.6167","156.0","2020-01-11","-0.6",,
"RSM00027612","55.8331","37.6167","156.0","2020-01-12","-2.0","0.2","-6.0"
"RSM00027612","55.8331","37.6167","156.0","2020-01-13","1.6","2.5","-0.6"
"RSM00027612","55.8331","37.6167","156.0","2020-01-14","0.4","1.5",
"RSM00027612","55.8331","37.6167","156.0","2020-01-15","2.0","2.9","-1.3"
"RSM00027612","55.8331","37.6167","156.0","2020-01-16","2.9","3.1","2.3"
"RSM00027612","55.8331","37.6167","156.0","2020-01-17","3.3","4.5","2.3"
"RSM00027612","55.8331","37.6167","156.0","2020-01-18","0.9",,
"RSM00027612","55.8331","37.6167","156.0","2020-01-19","-0.2",,"-1.5"
"RSM00027612","55.8331","37.6167","156.0","2020-01-20","1.9","2.9","0.2"
"RSM00027612","55.8331","37.6167","156.0","2020-01-21","2.5",,"0.8"
"RSM00027612","55.8331","37.6167","156.0","2020-01-22","0.3",,
"RSM00027612","55.8331","37.6167","156.0","2020-01-23","-4.2",,
"RSM00027612","55.8331","37.6167","156.0","2020-01-24","-1.5",,"-6.8"
"RSM00027612","55.8331","37.6167","156.0","2020-01-25","1.1","2.3",
"RSM00027612","55.8331","37.6167","156.0","2020-01-26","-0.4",,"-1.6"
"RSM00027612","55.8331","37.6167","156.0","2020-01-27","-1.1",,
"RSM00027612","55.8331","37.6167","156.0","2020-01-28","-4.5",,"-6.2"
"RSM00027612","55.8331","37.6167","156.0","2020-01-29","0.2","1.2","-3.5"
"RSM00027612","55.8331","37.6167","156.0","2020-01-30","-0.3",,
"RSM00027612","55.8331","37.6167","156.0","2020-01-31","0.1","1.8",
"RSM00027612","55.8331","37.6167","156.0","2020-02-01","-0.1","2.2",
"RSM00027612","55.8331","37.6167","156.0","2020-02-02","0.7",,"-1.9"
"RSM00027612","55.8331","37.6167","156.0","2020-02-03","1.6",,
"RSM00027612","55.8331","37.6167","156.0","2020-02-04","-1.4","-0.7",
"RSM00027612","55.8331","37.6167","156.0","2020-02-05","-4.8","-3.6",
"RSM00027612","55.8331","37.6167","156.0","2020-02-06","-5.0","-1.7","-7.8"
"RSM00027612","55.8331","37.6167","156.0","2020-02-07","-9.3","-8.5",
"RSM00027612","55.8331","37.6167","156.0","2020-02-08","-10.9","-6.6","-15.0"
"RSM00027612","55.8331","37.6167","156.0","2020-02-09","-3.1","-1.0","-11.3"
"RSM00027612","55.8331","37.6167","156.0","2020-02-10","-0.3","2.8","-2.0"
"RSM00027612","55.8331","37.6167","156.0","2020-02-11","0.1",,"-1.4"
"RSM00027612","55.8331","37.6167","156.0","2020-02-12","0.1","1.7",
"RSM00027612","55.8331","37.6167","156.0","2020-02-13","-2.1","-0.8","-3.1"
"RSM00027612","55.8331","37.6167","156.0","2020-02-14","0.0","2.5","-1.6"
"RSM00027612","55.8331","37.6167","156.0","2020-02-15","-1.1","2.2","-4.2"
"RSM00027612","55.8331","37.6167","156.0","2020-02-16","0.6","1.7","-2.9"
"RSM00027612","55.8331","37.6167","156.0","2020-02-17","3.9","5.7","1.4"
"RSM00027612","55.8331","37.6167","156.0","2020-02-18","4.8","6.0","3.8"
"RSM00027612","55.8331","37.6167","156.0","2020-02-19","3.4","4.7","2.9"
"RSM00027612","55.8331","37.6167","156.0","2020-02-20","3.2","7.7",
"RSM00027612","55.8331","37.6167","156.0","2020-02-21","2.6","7.8","-2.7"
"RSM00027612","55.8331","37.6167","156.0","2020-02-22","2.8","6.7","-1.6"
"RSM00027612","55.8331","37.6167","156.0","2020-02-23","1.6","2.7","0.5"
"RSM00027612","55.8331","37.6167","156.0","2020-02-24","2.3","4.6",
"RSM00027612","55.8331","37.6167","156.0","2020-02-25","-0.3","2.6",
"RSM00027612","55.8331","37.6167","156.0","2020-02-26","-0.2","1.9","-5.4"
"RSM00027612","55.8331","37.6167","156.0","2020-02-27","1.6","3.1","-0.3"
"RSM00027612","55.8331","37.6167","156.0","2020-02-28","1.1","3.3","-0.6"
"RSM00027612","55.8331","37.6167","156.0","2020-02-29","-0.7","1.4",
"RSM00027612","55.8331","37.6167","156.0","2020-03-01","2.3",,"-3.3"
"RSM00027612","55.8331","37.6167","156.0","2020-03-02","3.4",,"2.1"
"RSM00027612","55.8331","37.6167","156.0","2020-03-03","3.5","4.9","2.2"
"RSM00027612","55.8331","37.6167","156.0","2020-03-04","4.6","7.2","3.2"
"RSM00027612","55.8331","37.6167","156.0","2020-03-05","4.6","7.6","2.4"
"RSM00027612","55.8331","37.6167","156.0","2020-03-06","5.1","6.4","3.7"
"RSM00027612","55.8331","37.6167","156.0","2020-03-07","7.6","12.0","5.5"
"RSM00027612","55.8331","37.6167","156.0","2020-03-08","5.9","8.6",
"RSM00027612","55.8331","37.6167","156.0","2020-03-09","7.1","12.0","1.0"
"RSM00027612","55.8331","37.6167","156.0","2020-03-10","5.8","8.2","4.3"
"RSM00027612","55.8331","37.6167","156.0","2020-03-11","6.3","9.0","4.2"
"RSM00027612","55.8331","37.6167","156.0","2020-03-12","6.3","9.1","4.2"
"RSM00027612","55.8331","37.6167","156.0","2020-03-13","4.3",,
"RSM00027612","55.8331","37.6167","156.0","2020-03-14","0.8","8.2",
"RSM00027612","55.8331","37.6167","156.0","2020-03-15","-4.5","-2.0","-6.5"
"RSM00027612","55.8331","37.6167","156.0","2020-03-16","0.5","6.0","-8.7"
"RSM00027612","55.8331","37.6167","156.0","2020-03-17","4.5",,"0.5"
"RSM00027612","55.8331","37.6167","156.0","2020-03-18","6.7","10.5","1.8"
"RSM00027612","55.8331","37.6167","156.0","2020-03-19","7.8","11.0",
"RSM00027612","55.8331","37.6167","156.0","2020-03-20","3.4","5.8","1.4"
"RSM00027612","55.8331","37.6167","156.0","2020-03-21","-1.1",,
"RSM00027612","55.8331","37.6167","156.0","2020-03-22","-2.7","0.4","-5.4"
"RSM00027612","55.8331","37.6167","156.0","2020-03-23","-2.1","1.6","-5.6"
"RSM00027612","55.8331","37.6167","156.0","2020-03-24","-0.7","3.9","-4.6"
"RSM00027612","55.8331","37.6167","156.0","2020-03-25","4.6","12.2","-2.6"
"RSM00027612","55.8331","37.6167","156.0","2020-03-26","7.4","16.2","0.6"
"RSM00027612","55.8331","37.6167","156.0","2020-03-27","8.3","15.5","0.8"
"RSM00027612","55.8331","37.6167","156.0","2020-03-28","10.0","17.4","0.6"
"RSM00027612","55.8331","37.6167","156.0","2020-03-29","10.2","17.4","2.5"
"RSM00027612","55.8331","37.6167","156.0","2020-03-30","-0.8",,
"RSM00027612","55.8331","37.6167","156.0","2020-03-31","-3.7","-1.7",
"RSM00027612","55.8331","37.6167","156.0","2020-04-01","-0.6","3.9","-7.6"
"RSM00027612","55.8331","37.6167","156.0","2020-04-02","3.2",,"0.6"
"RSM00027612","55.8331","37.6167","156.0","2020-04-03","7.2","10.5","3.5"
"RSM00027612","55.8331","37.6167","156.0","2020-04-04","4.2","8.0",
"RSM00027612","55.8331","37.6167","156.0","2020-04-05","2.1","5.0","-1.7"
"RSM00027612","55.8331","37.6167","156.0","2020-05-27","13.8","19.3","10.5"
"RSM00027612","55.8331","37.6167","156.0","2020-05-31","10.5","12.1",
"RSM00027612","55.8331","37.6167","156.0","2020-06-02","9.9","10.5","9.1"
"RSM00027612","55.8331","37.6167","156.0","2020-06-03","11.8","13.5","9.3"
"RSM00027612","55.8331","37.6167","156.0","2020-06-19","23.6","29.6","18.3"
"RSM00027612","55.8331","37.6167","156.0","2020-06-21","15.0","20.1","11.3"
"RSM00027612","55.8331","37.6167","156.0","2020-07-04","21.7","25.8","17.5"
"RSM00027612","55.8331","37.6167","156.0","2020-07-14","16.6","18.6","15.7"
"RSM00027612","55.8331","37.6167","156.0","2020-07-15","17.7",,"16.3"
"RSM00027612","55.8331","37.6167","156.0","2020-07-16","15.3","17.3","14.8"
"RSM00027612","55.8331","37.6167","156.0","2020-07-29","21.2","28.9","18.0"
"RSM00027612","55.8331","37.6167","156.0","2020-09-18","8.8","13.5","8.2"
"RSM00027612","55.8331","37.6167","156.0","2020-10-22","4.8","6.6","2.5"
"RSM00027612","55.8331","37.6167","156.0","2020-10-23","11.4","14.3","6.6"
"RSM00027612","55.8331","37.6167","156.0","2020-11-01","5.2",,
"RSM00027612","55.8331","37.6167","156.0","2020-11-02","5.8","6.6","3.9"
"RSM00027612","55.8331","37.6167","156.0","2020-11-03","7.2",,"5.8"
"RSM00027612","55.8331","37.6167","156.0","2020-11-04","8.6","9.6","7.8"
"RSM00027612","55.8331","37.6167","156.0","2020-11-05","7.4","8.7",
"RSM00027612","55.8331","37.6167","156.0","2020-11-06","6.5","7.3",
"RSM00027612","55.8331","37.6167","156.0","2020-11-07","7.3","9.9","4.4"
"RSM00027612","55.8331","37.6167","156.0","2020-11-08","7.1","10.0",
"RSM00027612","55.8331","37.6167","156.0","2020-11-09","1.1","2.4","-1.2"
"RSM00027612","55.8331","37.6167","156.0","2020-11-10","2.8","3.6","1.4"
"RSM00027612","55.8331","37.6167","156.0","2020-11-11","1.0","2.2",
"RSM00027612","55.8331","37.6167","156.0","2020-11-12","0.7","3.0","-2.9"
"RSM00027612","55.8331","37.6167","156.0","2020-11-13","3.2","4.4","2.5"
"RSM00027612","55.8331","37.6167","156.0","2020-11-14","1.9","3.4","0.4"
"RSM00027612","55.8331","37.6167","156.0","2020-11-15","1.1","1.5",
"RSM00027612","55.8331","37.6167","156.0","2020-11-16","-1.6",,
"RSM00027612","55.8331","37.6167","156.0","2020-11-17","-5.2","-3.5","-7.1"
"RSM00027612","55.8331","37.6167","156.0","2020-11-18","-2.8","-1.1","-5.3"
"RSM00027612","55.8331","37.6167","156.0","2020-11-19","0.4","1.2","-2.6"
"RSM00027612","55.8331","37.6167","156.0","2020-11-20","0.4",,
"RSM00027612","55.8331","37.6167","156.0","2020-11-21","0.2","0.9","-0.4"
"RSM00027612","55.8331","37.6167","156.0","2020-11-22","-1.6",,
"RSM00027612","55.8331","37.6167","156.0","2020-11-23","0.1",,"-2.2"
"RSM00027612","55.8331","37.6167","156.0","2020-11-24","2.2","3.2",
"RSM00027612","55.8331","37.6167","156.0","2020-11-25","1.2","2.2",
"RSM00027612","55.8331","37.6167","156.0","2020-11-26","0.3","1.5","-1.1"
"RSM00027612","55.8331","37.6167","156.0","2020-11-27","1.6","2.2","0.0"
"RSM00027612","55.8331","37.6167","156.0","2020-11-28","1.5","2.0","0.3"
"RSM00027612","55.8331","37.6167","156.0","2020-11-29","2.2","3.1","0.8"
"RSM00027612","55.8331","37.6167","156.0","2020-11-30","1.2",,
"RSM00027612","55.8331","37.6167","156.0","2020-12-01","-1.2",,
"RSM00027612","55.8331","37.6167","156.0","2020-12-02","-3.6",,
"RSM00027612","55.8331","37.6167","156.0","2020-12-03","-6.1","-4.5","-8.0"
"RSM00027612","55.8331","37.6167","156.0","2020-12-04","-4.2",,"-5.1"
"RSM00027612","55.8331","37.6167","156.0","2020-12-05","-4.9","-3.4","-6.7"
"RSM00027612","55.8331","37.6167","156.0","2020-12-06","-6.1","-2.8","-8.8"
"RSM00027612","55.8331","37.6167","156.0","2020-12-07","-7.3","-4.1","-9.3"
"RSM00027612","55.8331","37.6167","156.0","2020-12-08","-8.7","-4.9",
"RSM00027612","55.8331","37.6167","156.0","2020-12-09","-9.1","-4.0","-12.2"
"RSM00027612","55.8331","37.6167","156.0","2020-12-10","-8.5","-5.6","-12.6"
"RSM00027612","55.8331","37.6167","156.0","2020-12-11","-7.3","-4.4","-9.7"
"RSM00027612","55.8331","37.6167","156.0","2020-12-12","-9.0","-7.1","-11.1"
"RSM00027612","55.8331","37.6167","156.0","2020-12-13","-5.8",,"-9.4"
"RSM00027612","55.8331","37.6167","156.0","2020-12-14","-5.3",,
"RSM00027612","55.8331","37.6167","156.0","2020-12-15","-4.1","-3.3","-5.8"
"RSM00027612","55.8331","37.6167","156.0","2020-12-16","-2.9",,"-4.4"
"RSM00027612","55.8331","37.6167","156.0","2020-12-17","0.9","2.0","-1.6"
"RSM00027612","55.8331","37.6167","156.0","2020-12-18","-0.5",,
"RSM00027612","55.8331","37.6167","156.0","2020-12-19","-2.2",,
"RSM00027612","55.8331","37.6167","156.0","2020-12-20","-0.6",,"-2.7"
"RSM00027612","55.8331","37.6167","156.0","2020-12-21","1.3","1.9","0.5"
"RSM00027612","55.8331","37.6167","156.0","2020-12-22","-1.7",,
"RSM00027612","55.8331","37.6167","156.0","2020-12-23","-4.1",,
"RSM00027612","55.8331","37.6167","156.0","2020-12-24","-4.9",,"-7.5"
"RSM00027612","55.8331","37.6167","156.0","2020-12-25","-3.5",,
"RSM00027612","55.8331","37.6167","156.0","2020-12-26","-0.9","0.2","-4.3"
"RSM00027612","55.8331","37.6167","156.0","2020-12-27","-5.6",,
