"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"RIE00100818","44.8","20.4667","132.0","2020-01-01","0.9","5.3","-1.4"
"RIE00100818","44.8","20.4667","132.0","2020-01-02","1.3","6.0","-1.0"
"RIE00100818","44.8","20.4667","132.0","2020-01-03","-1.4","4.4","-3.1"
"RIE00100818","44.8","20.4667","132.0","2020-01-04","-1.2",,"-3.5"
"RIE00100818","44.8","20.4667","132.0","2020-01-05","2.6","4.8",
"RIE00100818","44.8","20.4667","132.0","2020-01-06","-0.1",,"-2.2"
"RIE00100818","44.8","20.4667","132.0","2020-01-07","-1.1","3.0","-4.1"
"RIE00100818","44.8","20.4667","132.0","2020-01-08","-1.1","1.3","-4.5"
"RIE00100818","44.8","20.4667","132.0","2020-01-09","2.4","5.2","1.0"
"RIE00100818","44.8","20.4667","132.0","2020-01-10","3.7","10.6","-0.4"
"RIE00100818","44.8","20.4667","132.0","2020-01-11","2.3","7.0","0.4"
"RIE00100818","44.8","20.4667","132.0","2020-01-12","0.2","3.6","-2.1"
"RIE00100818","44.8","20.4667","132.0","2020-01-13","-1.5",,"-1.9"
"RIE00100818","44.8","20.4667","132.0","2020-01-14","-0.3","6.0","-2.8"
"RIE00100818","44.8","20.4667","132.0","2020-01-15","-0.6","4.4","-3.0"
"RIE00100818","44.8","20.4667","132.0","2020-01-16","-2.0","-0.6","-3.1"
"RIE00100818","44.8","20.4667","132.0","2020-01-17","-0.3","4.1","-2.8"
"RIE00100818","44.8","20.4667","132.0","2020-01-18","0.4","5.4","-3.4"
"RIE00100818","44.8","20.4667","132.0","2020-01-19","-0.2","0.5","-0.6"
"RIE00100818","44.8","20.4667","132.0","2020-01-20","0.9","2.6","0.2"
"RIE00100818","44.8","20.4667","132.0","2020-01-21","1.7","3.1","-0.2"
"RIE00100818","44.8","20.4667","132.0","2020-01-22","2.2","7.7","-1.0"
"RIE00100818","44.8","20.4667","132.0","2020-01-23","0.6","4.4","-1.0"
"RIE00100818","44.8","20.4667","132.0","2020-01-24","1.9","7.8","-2.0"
"RIE00100818","44.8","20.4667","132.0","2020-01-25","4.3","10.9","-1.6"
"RIE00100818","44.8","20.4667","132.0","2020-01-26","8.3","13.6","3.0"
"RIE00100818","44.8","20.4667","132.0","2020-01-27","3.8",,
"RIE00100818","44.8","20.4667","132.0","2020-01-28","7.0","12.5","1.0"
"RIE00100818","44.8","20.4667","132.0","2020-01-29","5.8","10.2","1.1"
"RIE00100818","44.8","20.4667","132.0","2020-01-30","3.9","9.2","1.1"
"RIE00100818","44.8","20.4667","132.0","2020-01-31","9.8","15.6","4.0"
"RIE00100818","44.8","20.4667","132.0","2020-02-01","12.8","18.5","9.0"
"RIE00100818","44.8","20.4667","132.0","2020-02-02","14.0","18.0","11.6"
"RIE00100818","44.8","20.4667","132.0","2020-02-03","12.3","14.6",
"RIE00100818","44.8","20.4667","132.0","2020-02-04","9.7","16.1",
"RIE00100818","44.8","20.4667","132.0","2020-02-05","2.7","4.3",
"RIE00100818","44.8","20.4667","132.0","2020-02-06","1.1","5.3","-2.1"
"RIE00100818","44.8","20.4667","132.0","2020-02-07","3.9","6.6","1.4"
"RIE00100818","44.8","20.4667","132.0","2020-02-08","1.9","7.0","-2.0"
"RIE00100818","44.8","20.4667","132.0","2020-02-09","4.8","12.0","-0.6"
"RIE00100818","44.8","20.4667","132.0","2020-02-10","10.7","16.0","5.5"
"RIE00100818","44.8","20.4667","132.0","2020-02-11","6.8","11.5","5.2"
"RIE00100818","44.8","20.4667","132.0","2020-02-12","6.6","10.4","5.0"
"RIE00100818","44.8","20.4667","132.0","2020-02-13","6.9","11.7","1.7"
"RIE00100818","44.8","20.4667","132.0","2020-02-14","7.5",,
"RIE00100818","44.8","20.4667","132.0","2020-02-15","6.2","10.9","2.8"
"RIE00100818","44.8","20.4667","132.0","2020-02-16","8.2","13.9","3.8"
"RIE00100818","44.8","20.4667","132.0","2020-02-17","10.8","18.9","5.4"
"RIE00100818","44.8","20.4667","132.0","2020-02-18","8.8","12.2","5.7"
"RIE00100818","44.8","20.4667","132.0","2020-02-19","8.0","10.9","5.0"
"RIE00100818","44.8","20.4667","132.0","2020-02-20","5.8","7.8",
"RIE00100818","44.8","20.4667","132.0","2020-02-21","5.3","10.3","1.2"
"RIE00100818","44.8","20.4667","132.0","2020-02-22","5.7","10.9","0.7"
"RIE00100818","44.8","20.4667","132.0","2020-02-23","10.2","16.2","4.6"
"RIE00100818","44.8","20.4667","132.0","2020-02-24","10.5","12.9",
"RIE00100818","44.8","20.4667","132.0","2020-02-25","10.2","17.8","5.2"
"RIE00100818","44.8","20.4667","132.0","2020-02-26","12.4","20.7",
"RIE00100818","44.8","20.4667","132.0","2020-02-27","3.2","8.3","0.4"
"RIE00100818","44.8","20.4667","132.0","2020-02-28","4.8",,"3.2"
"RIE00100818","44.8","20.4667","132.0","2020-02-29","6.1","12.4","0.2"
"RIE00100818","44.8","20.4667","132.0","2020-03-01","11.7","17.3","7.0"
"RIE00100818","44.8","20.4667","132.0","2020-03-02","15.8","21.2","11.6"
"RIE00100818","44.8","20.4667","132.0","2020-03-03","15.2","19.5",
"RIE00100818","44.8","20.4667","132.0","2020-03-04","8.3",,
"RIE00100818","44.8","20.4667","132.0","2020-03-05","6.1","11.8","1.6"
"RIE00100818","44.8","20.4667","132.0","2020-03-06","7.4","11.4","5.2"
"RIE00100818","44.8","20.4667","132.0","2020-03-07","8.6","10.0","7.5"
"RIE00100818","44.8","20.4667","132.0","2020-03-08","5.5",,"4.2"
"RIE00100818","44.8","20.4667","132.0","2020-03-09","6.8","9.2","4.6"
"RIE00100818","44.8","20.4667","132.0","2020-03-10","7.7","10.4","5.7"
"RIE00100818","44.8","20.4667","132.0","2020-03-11","10.6","17.1","5.6"
"RIE00100818","44.8","20.4667","132.0","2020-03-12","17.7","25.5","10.8"
"RIE00100818","44.8","20.4667","132.0","2020-03-13","12.9","20.7",
"RIE00100818","44.8","20.4667","132.0","2020-03-14","9.5","11.3",
"RIE00100818","44.8","20.4667","132.0","2020-03-15","6.1","11.1","3.1"
"RIE00100818","44.8","20.4667","132.0","2020-03-16","6.4","13.7","1.0"
"RIE00100818","44.8","20.4667","132.0","2020-03-17","10.3","18.2","3.0"
"RIE00100818","44.8","20.4667","132.0","2020-03-18","10.3","18.0","4.0"
"RIE00100818","44.8","20.4667","132.0","2020-03-19","12.4","19.4","5.3"
"RIE00100818","44.8","20.4667","132.0","2020-03-20","14.1","21.4","6.9"
"RIE00100818","44.8","20.4667","132.0","2020-03-21","13.6","21.4","7.8"
