COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Albania;ALM00013615;41.415;19.721;38.4;01-01-2020;4.9;15.6;-3.6
Albania;ALM00013615;41.415;19.721;38.4;02-01-2020;2.7;14.4;-5.5
Albania;ALM00013615;41.415;19.721;38.4;03-01-2020;3.2;14.9;-4.7
Albania;ALM00013615;41.415;19.721;38.4;04-01-2020;5.2;15.1;
Albania;ALM00013615;41.415;19.721;38.4;05-01-2020;6.6;13.2;1.5
Albania;ALM00013615;41.415;19.721;38.4;06-01-2020;4.8;9.1;
Albania;ALM00013615;41.415;19.721;38.4;07-01-2020;2.7;11.3;-4.8
Albania;ALM00013615;41.415;19.721;38.4;08-01-2020;2.1;14.7;-6.2
Albania;ALM00013615;41.415;19.721;38.4;09-01-2020;2.5;13.3;-5.5
Albania;ALM00013615;41.415;19.721;38.4;10-01-2020;4.6;13.7;-3.9
Albania;ALM00013615;41.415;19.721;38.4;11-01-2020;3.8;;-1.5
Albania;ALM00013615;41.415;19.721;38.4;12-01-2020;5.6;;
Albania;ALM00013615;41.415;19.721;38.4;13-01-2020;7.1;;
Albania;ALM00013615;41.415;19.721;38.4;14-01-2020;5.9;16.2;-1.1
Albania;ALM00013615;41.415;19.721;38.4;15-01-2020;5.1;15.1;-2.1
Albania;ALM00013615;41.415;19.721;38.4;16-01-2020;4.7;;
Albania;ALM00013615;41.415;19.721;38.4;17-01-2020;4.9;16.4;-3.4
Albania;ALM00013615;41.415;19.721;38.4;18-01-2020;6.1;;-1.3
Albania;ALM00013615;41.415;19.721;38.4;19-01-2020;7.6;;2.9
Albania;ALM00013615;41.415;19.721;38.4;20-01-2020;4.9;;
Albania;ALM00013615;41.415;19.721;38.4;21-01-2020;3.1;13.7;-4.1
Albania;ALM00013615;41.415;19.721;38.4;22-01-2020;3.7;13.6;-4.0
Albania;ALM00013615;41.415;19.721;38.4;23-01-2020;4.4;15.7;-2.6
Albania;ALM00013615;41.415;19.721;38.4;24-01-2020;6.0;17.0;-3.6
Albania;ALM00013615;41.415;19.721;38.4;25-01-2020;10.3;15.4;2.3
Albania;ALM00013615;41.415;19.721;38.4;26-01-2020;10.6;;7.0
