COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Austria;AU000005901;482.331;16.35;199.0;01-01-2020;3.6;6.5;
Austria;AU000005901;482.331;16.35;199.0;02-01-2020;-0.6;3.6;-3.1
Austria;AU000005901;482.331;16.35;199.0;03-01-2020;-2.2;-0.1;-3.4
Austria;AU000005901;482.331;16.35;199.0;04-01-2020;5.8;8.3;-2.2
Austria;AU000005901;482.331;16.35;199.0;05-01-2020;2.8;4.9;
Austria;AU000005901;482.331;16.35;199.0;06-01-2020;0.5;4.4;-3.0
Austria;AU000005901;482.331;16.35;199.0;07-01-2020;0.2;4.3;-4.7
Austria;AU000005901;482.331;16.35;199.0;08-01-2020;4.3;8.6;1.0
Austria;AU000005901;482.331;16.35;199.0;09-01-2020;2.4;3.8;
Austria;AU000005901;482.331;16.35;199.0;10-01-2020;0.2;2.4;
Austria;AU000005901;482.331;16.35;199.0;11-01-2020;4.0;8.2;-1.4
Austria;AU000005901;482.331;16.35;199.0;12-01-2020;0.7;6.1;-2.4
Austria;AU000005901;482.331;16.35;199.0;13-01-2020;1.5;;-1.9
Austria;AU000005901;482.331;16.35;199.0;14-01-2020;-0.8;1.1;-1.2
Austria;AU000005901;482.331;16.35;199.0;15-01-2020;-0.3;1.1;-1.1
Austria;AU000005901;482.331;16.35;199.0;16-01-2020;-0.3;2.3;-2.7
Austria;AU000005901;482.331;16.35;199.0;17-01-2020;-0.6;;-1.6
Austria;AU000005901;482.331;16.35;199.0;18-01-2020;-0.2;;-0.9
Austria;AU000005901;482.331;16.35;199.0;19-01-2020;2.7;3.3;-0.4
Austria;AU000005901;482.331;16.35;199.0;20-01-2020;2.4;4.9;
Austria;AU000005901;482.331;16.35;199.0;21-01-2020;-1.2;2.1;-2.5
Austria;AU000005901;482.331;16.35;199.0;22-01-2020;1.1;3.9;-1.5
Austria;AU000005901;482.331;16.35;199.0;23-01-2020;2.2;5.6;
Austria;AU000005901;482.331;16.35;199.0;24-01-2020;-0.8;1.5;-1.5
Austria;AU000005901;482.331;16.35;199.0;25-01-2020;-0.4;0.4;-1.1
Austria;AU000005901;482.331;16.35;199.0;26-01-2020;-1.1;-0.3;-2.0
Austria;AU000005901;482.331;16.35;199.0;27-01-2020;-0.2;1.7;
Austria;AU000005901;482.331;16.35;199.0;28-01-2020;1.6;4.9;-1.3
Austria;AU000005901;482.331;16.35;199.0;29-01-2020;3.8;6.5;1.1
Austria;AU000005901;482.331;16.35;199.0;30-01-2020;4.9;8.8;
Austria;AU000005901;482.331;16.35;199.0;31-01-2020;10.9;15.8;0.7
Austria;AU000005901;482.331;16.35;199.0;01-02-2020;13.8;18.4;
Austria;AU000005901;482.331;16.35;199.0;02-02-2020;11.8;14.7;7.1
Austria;AU000005901;482.331;16.35;199.0;03-02-2020;8.6;14.1;6.9
Austria;AU000005901;482.331;16.35;199.0;04-02-2020;6.6;10.6;
Austria;AU000005901;482.331;16.35;199.0;05-02-2020;3.4;4.9;
Austria;AU000005901;482.331;16.35;199.0;06-02-2020;2.8;6.0;0.2
Austria;AU000005901;482.331;16.35;199.0;07-02-2020;4.1;6.8;
Austria;AU000005901;482.331;16.35;199.0;08-02-2020;2.7;7.0;-1.1
Austria;AU000005901;482.331;16.35;199.0;09-02-2020;1.9;6.9;-2.3
Austria;AU000005901;482.331;16.35;199.0;10-02-2020;7.3;16.9;2.1
Austria;AU000005901;482.331;16.35;199.0;11-02-2020;5.9;8.9;
Austria;AU000005901;482.331;16.35;199.0;12-02-2020;4.5;8.7;1.5
Austria;AU000005901;482.331;16.35;199.0;13-02-2020;5.8;9.0;1.6
Austria;AU000005901;482.331;16.35;199.0;14-02-2020;7.6;10.9;5.2
Austria;AU000005901;482.331;16.35;199.0;15-02-2020;7.6;11.6;3.4
Austria;AU000005901;482.331;16.35;199.0;16-02-2020;7.1;12.5;1.3
Austria;AU000005901;482.331;16.35;199.0;17-02-2020;7.9;12.5;2.5
Austria;AU000005901;482.331;16.35;199.0;18-02-2020;8.8;11.8;
Austria;AU000005901;482.331;16.35;199.0;19-02-2020;5.6;11.1;2.5
Austria;AU000005901;482.331;16.35;199.0;20-02-2020;6.4;10.0;3.0
Austria;AU000005901;482.331;16.35;199.0;21-02-2020;5.3;8.5;1.3
Austria;AU000005901;482.331;16.35;199.0;22-02-2020;7.9;15.2;0.5
Austria;AU000005901;482.331;16.35;199.0;23-02-2020;13.3;;7.2
Austria;AU000005901;482.331;16.35;199.0;24-02-2020;8.2;17.7;
Austria;AU000005901;482.331;16.35;199.0;25-02-2020;10.0;17.2;3.1
Austria;AU000005901;482.331;16.35;199.0;26-02-2020;7.0;13.2;
Austria;AU000005901;482.331;16.35;199.0;27-02-2020;5.4;9.3;2.6
Austria;AU000005901;482.331;16.35;199.0;28-02-2020;4.3;7.6;
Austria;AU000005901;482.331;16.35;199.0;29-02-2020;5.3;10.7;-0.7
Austria;AU000005901;482.331;16.35;199.0;01-03-2020;7.4;11.0;4.0
Austria;AU000005901;482.331;16.35;199.0;02-03-2020;10.3;15.0;5.0
Austria;AU000005901;482.331;16.35;199.0;03-03-2020;7.8;12.6;5.7
Austria;AU000005901;482.331;16.35;199.0;04-03-2020;6.5;11.2;
Austria;AU000005901;482.331;16.35;199.0;05-03-2020;6.6;12.3;-0.3
Austria;AU000005901;482.331;16.35;199.0;06-03-2020;8.1;11.6;4.9
Austria;AU000005901;482.331;16.35;199.0;07-03-2020;7.2;10.1;5.5
Austria;AU000005901;482.331;16.35;199.0;08-03-2020;6.1;10.8;
Austria;AU000005901;482.331;16.35;199.0;09-03-2020;5.8;12.1;0.0
Austria;AU000005901;482.331;16.35;199.0;10-03-2020;9.2;13.5;5.3
Austria;AU000005901;482.331;16.35;199.0;11-03-2020;13.9;18.2;8.7
Austria;AU000005901;482.331;16.35;199.0;12-03-2020;16.1;21.5;8.9
Austria;AU000005901;482.331;16.35;199.0;13-03-2020;10.1;18.7;
Austria;AU000005901;482.331;16.35;199.0;14-03-2020;6.9;11.3;
Austria;AU000005901;482.331;16.35;199.0;15-03-2020;4.7;9.8;-1.8
Austria;AU000005901;482.331;16.35;199.0;16-03-2020;8.1;14.5;2.2
Austria;AU000005901;482.331;16.35;199.0;17-03-2020;8.0;13.7;1.4
