COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Belarus;BOM00026850;53.87;27.53;222.0;01-01-2020;0.7;1.8;-1.9
Belarus;BOM00026850;53.87;27.53;222.0;02-01-2020;1.3;2.2;
Belarus;BOM00026850;53.87;27.53;222.0;03-01-2020;1.2;6.5;-1.0
Belarus;BOM00026850;53.87;27.53;222.0;04-01-2020;1.5;3.0;-0.9
Belarus;BOM00026850;53.87;27.53;222.0;05-01-2020;0.1;1.2;-1.3
Belarus;BOM00026850;53.87;27.53;222.0;06-01-2020;-1.0;0.0;-2.0
Belarus;BOM00026850;53.87;27.53;222.0;07-01-2020;0.4;0.9;-0.9
Belarus;BOM00026850;53.87;27.53;222.0;08-01-2020;0.0;;
Belarus;BOM00026850;53.87;27.53;222.0;09-01-2020;2.1;3.8;
Belarus;BOM00026850;53.87;27.53;222.0;10-01-2020;2.1;;-1.5
Belarus;BOM00026850;53.87;27.53;222.0;11-01-2020;2.6;;
Belarus;BOM00026850;53.87;27.53;222.0;12-01-2020;1.6;3.1;-0.4
Belarus;BOM00026850;53.87;27.53;222.0;13-01-2020;1.8;3.3;0.6
Belarus;BOM00026850;53.87;27.53;222.0;14-01-2020;2.8;;2.0
Belarus;BOM00026850;53.87;27.53;222.0;15-01-2020;2.9;;0.6
Belarus;BOM00026850;53.87;27.53;222.0;16-01-2020;3.8;5.7;
Belarus;BOM00026850;53.87;27.53;222.0;17-01-2020;1.8;4.8;
Belarus;BOM00026850;53.87;27.53;222.0;18-01-2020;-2.1;;-3.1
Belarus;BOM00026850;53.87;27.53;222.0;19-01-2020;-0.6;;-1.9
Belarus;BOM00026850;53.87;27.53;222.0;20-01-2020;1.4;1.8;-0.1
Belarus;BOM00026850;53.87;27.53;222.0;21-01-2020;2.4;;1.1
Belarus;BOM00026850;53.87;27.53;222.0;22-01-2020;1.8;;
Belarus;BOM00026850;53.87;27.53;222.0;23-01-2020;0.5;1.9;-1.4
Belarus;BOM00026850;53.87;27.53;222.0;24-01-2020;1.7;3.1;-0.6
Belarus;BOM00026850;53.87;27.53;222.0;25-01-2020;2.7;4.8;1.6
Belarus;BOM00026850;53.87;27.53;222.0;26-01-2020;2.4;3.6;1.6
Belarus;BOM00026850;53.87;27.53;222.0;27-01-2020;0.6;1.3;
Belarus;BOM00026850;53.87;27.53;222.0;28-01-2020;0.4;;-0.7
Belarus;BOM00026850;53.87;27.53;222.0;29-01-2020;0.4;;
Belarus;BOM00026850;53.87;27.53;222.0;30-01-2020;0.9;;-0.5
Belarus;BOM00026850;53.87;27.53;222.0;31-01-2020;0.8;1.2;0.2
Belarus;BOM00026850;53.87;27.53;222.0;01-02-2020;3.7;;0.4
Belarus;BOM00026850;53.87;27.53;222.0;02-02-2020;5.7;;
Belarus;BOM00026850;53.87;27.53;222.0;03-02-2020;1.9;2.7;
Belarus;BOM00026850;53.87;27.53;222.0;04-02-2020;-0.3;2.0;
Belarus;BOM00026850;53.87;27.53;222.0;05-02-2020;-3.6;-0.3;-6.1
Belarus;BOM00026850;53.87;27.53;222.0;06-02-2020;-1.4;3.0;
Belarus;BOM00026850;53.87;27.53;222.0;07-02-2020;-5.2;-2.2;-6.7
Belarus;BOM00026850;53.87;27.53;222.0;08-02-2020;-1.6;0.4;-7.2
Belarus;BOM00026850;53.87;27.53;222.0;09-02-2020;0.7;3.7;-2.5
Belarus;BOM00026850;53.87;27.53;222.0;10-02-2020;1.1;;-1.1
Belarus;BOM00026850;53.87;27.53;222.0;11-02-2020;2.6;4.5;
Belarus;BOM00026850;53.87;27.53;222.0;12-02-2020;1.4;2.5;0.9
Belarus;BOM00026850;53.87;27.53;222.0;13-02-2020;1.9;3.2;
Belarus;BOM00026850;53.87;27.53;222.0;14-02-2020;0.4;3.7;
Belarus;BOM00026850;53.87;27.53;222.0;15-02-2020;-0.6;5.1;-6.6
Belarus;BOM00026850;53.87;27.53;222.0;16-02-2020;1.5;4.3;-1.1
Belarus;BOM00026850;53.87;27.53;222.0;17-02-2020;7.1;10.1;3.6
Belarus;BOM00026850;53.87;27.53;222.0;18-02-2020;5.4;9.2;
Belarus;BOM00026850;53.87;27.53;222.0;19-02-2020;4.1;6.6;
Belarus;BOM00026850;53.87;27.53;222.0;20-02-2020;2.0;7.4;-2.9
Belarus;BOM00026850;53.87;27.53;222.0;21-02-2020;2.1;5.9;-2.6
Belarus;BOM00026850;53.87;27.53;222.0;22-02-2020;3.6;6.6;0.0
Belarus;BOM00026850;53.87;27.53;222.0;23-02-2020;3.9;5.7;
Belarus;BOM00026850;53.87;27.53;222.0;24-02-2020;0.6;5.3;-2.7
Belarus;BOM00026850;53.87;27.53;222.0;25-02-2020;0.1;2.5;-5.7
Belarus;BOM00026850;53.87;27.53;222.0;26-02-2020;4.6;8.6;1.0
Belarus;BOM00026850;53.87;27.53;222.0;27-02-2020;1.4;2.8;
Belarus;BOM00026850;53.87;27.53;222.0;28-02-2020;0.5;3.5;-1.7
Belarus;BOM00026850;53.87;27.53;222.0;29-02-2020;1.3;3.3;-1.3
Belarus;BOM00026850;53.87;27.53;222.0;01-03-2020;3.2;4.8;0.4
Belarus;BOM00026850;53.87;27.53;222.0;02-03-2020;4.9;9.3;1.1
Belarus;BOM00026850;53.87;27.53;222.0;03-03-2020;6.1;9.8;3.6
Belarus;BOM00026850;53.87;27.53;222.0;04-03-2020;7.1;9.1;4.6
Belarus;BOM00026850;53.87;27.53;222.0;05-03-2020;2.9;;
Belarus;BOM00026850;53.87;27.53;222.0;06-03-2020;2.3;5.2;-2.0
Belarus;BOM00026850;53.87;27.53;222.0;07-03-2020;4.1;7.2;2.4
Belarus;BOM00026850;53.87;27.53;222.0;08-03-2020;4.9;8.8;
Belarus;BOM00026850;53.87;27.53;222.0;09-03-2020;5.6;9.4;2.0
Belarus;BOM00026850;53.87;27.53;222.0;10-03-2020;4.8;7.1;2.7
Belarus;BOM00026850;53.87;27.53;222.0;11-03-2020;4.2;8.3;1.9
Belarus;BOM00026850;53.87;27.53;222.0;12-03-2020;5.8;10.1;2.5
Belarus;BOM00026850;53.87;27.53;222.0;13-03-2020;5.4;9.3;
Belarus;BOM00026850;53.87;27.53;222.0;15-03-2020;-1.1;3.1;-4.6
Belarus;BOM00026850;53.87;27.53;222.0;16-03-2020;2.9;9.1;-5.9
Belarus;BOM00026850;53.87;27.53;222.0;17-03-2020;2.6;5.9;
Belarus;BOM00026850;53.87;27.53;222.0;18-03-2020;6.5;12.7;-3.7
Belarus;BOM00026850;53.87;27.53;222.0;19-03-2020;6.9;;
Belarus;BOM00026850;53.87;27.53;222.0;20-03-2020;3.7;9.4;-3.3
Belarus;BOM00026850;53.87;27.53;222.0;21-03-2020;0.7;4.2;
