COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Belgium;BE000006447;50.8;4.35;104.0;01-01-2020;2.1;5.5;
Belgium;BE000006447;50.8;4.35;104.0;02-01-2020;4.0;;0.9
Belgium;BE000006447;50.8;4.35;104.0;03-01-2020;8.0;9.6;
Belgium;BE000006447;50.8;4.35;104.0;04-01-2020;4.7;7.5;
Belgium;BE000006447;50.8;4.35;104.0;05-01-2020;6.1;7.1;5.5
Belgium;BE000006447;50.8;4.35;104.0;06-01-2020;5.6;8.4;
Belgium;BE000006447;50.8;4.35;104.0;07-01-2020;6.7;8.0;4.4
Belgium;BE000006447;50.8;4.35;104.0;08-01-2020;10.6;11.6;6.4
Belgium;BE000006447;50.8;4.35;104.0;09-01-2020;11.4;12.4;10.6
Belgium;BE000006447;50.8;4.35;104.0;10-01-2020;7.1;;
Belgium;BE000006447;50.8;4.35;104.0;11-01-2020;5.2;7.0;
Belgium;BE000006447;50.8;4.35;104.0;12-01-2020;6.8;9.1;4.5
Belgium;BE000006447;50.8;4.35;104.0;13-01-2020;7.5;;
Belgium;BE000006447;50.8;4.35;104.0;14-01-2020;10.3;11.5;8.2
Belgium;BE000006447;50.8;4.35;104.0;15-01-2020;9.6;11.5;
Belgium;BE000006447;50.8;4.35;104.0;16-01-2020;7.7;11.6;3.7
Belgium;BE000006447;50.8;4.35;104.0;17-01-2020;8.5;10.3;
Belgium;BE000006447;50.8;4.35;104.0;18-01-2020;4.1;7.0;
Belgium;BE000006447;50.8;4.35;104.0;19-01-2020;3.3;7.1;-0.3
Belgium;BE000006447;50.8;4.35;104.0;20-01-2020;3.2;4.9;0.9
Belgium;BE000006447;50.8;4.35;104.0;21-01-2020;0.4;4.5;
Belgium;BE000006447;50.8;4.35;104.0;22-01-2020;1.3;4.1;-2.3
Belgium;BE000006447;50.8;4.35;104.0;23-01-2020;2.4;;
Belgium;BE000006447;50.8;4.35;104.0;24-01-2020;0.8;;
Belgium;BE000006447;50.8;4.35;104.0;25-01-2020;1.4;3.1;-0.4
Belgium;BE000006447;50.8;4.35;104.0;26-01-2020;6.4;10.9;0.6
Belgium;BE000006447;50.8;4.35;104.0;27-01-2020;8.1;9.0;7.1
Belgium;BE000006447;50.8;4.35;104.0;28-01-2020;4.9;6.6;
Belgium;BE000006447;50.8;4.35;104.0;29-01-2020;4.8;7.7;2.2
Belgium;BE000006447;50.8;4.35;104.0;30-01-2020;7.9;;4.6
Belgium;BE000006447;50.8;4.35;104.0;31-01-2020;11.1;;
Belgium;BE000006447;50.8;4.35;104.0;01-02-2020;10.4;;
Belgium;BE000006447;50.8;4.35;104.0;02-02-2020;9.7;12.6;
Belgium;BE000006447;50.8;4.35;104.0;03-02-2020;9.4;10.8;
Belgium;BE000006447;50.8;4.35;104.0;04-02-2020;5.3;;4.1
Belgium;BE000006447;50.8;4.35;104.0;05-02-2020;4.8;8.2;1.7
Belgium;BE000006447;50.8;4.35;104.0;06-02-2020;3.7;8.8;
Belgium;BE000006447;50.8;4.35;104.0;07-02-2020;4.7;10.5;-0.9
Belgium;BE000006447;50.8;4.35;104.0;08-02-2020;8.2;10.8;5.4
Belgium;BE000006447;50.8;4.35;104.0;09-02-2020;9.7;12.1;6.8
Belgium;BE000006447;50.8;4.35;104.0;10-02-2020;7.8;;
Belgium;BE000006447;50.8;4.35;104.0;11-02-2020;5.6;7.8;3.2
Belgium;BE000006447;50.8;4.35;104.0;12-02-2020;4.8;8.0;
Belgium;BE000006447;50.8;4.35;104.0;13-02-2020;6.3;9.4;4.0
Belgium;BE000006447;50.8;4.35;104.0;14-02-2020;7.6;9.7;5.5
Belgium;BE000006447;50.8;4.35;104.0;15-02-2020;10.1;12.2;
Belgium;BE000006447;50.8;4.35;104.0;16-02-2020;12.3;16.6;
Belgium;BE000006447;50.8;4.35;104.0;17-02-2020;8.1;10.3;
Belgium;BE000006447;50.8;4.35;104.0;18-02-2020;6.7;8.7;4.8
Belgium;BE000006447;50.8;4.35;104.0;19-02-2020;5.8;7.8;
Belgium;BE000006447;50.8;4.35;104.0;20-02-2020;7.7;10.7;
Belgium;BE000006447;50.8;4.35;104.0;21-02-2020;5.9;9.0;2.4
Belgium;BE000006447;50.8;4.35;104.0;22-02-2020;7.7;;5.3
Belgium;BE000006447;50.8;4.35;104.0;23-02-2020;10.0;12.3;
Belgium;BE000006447;50.8;4.35;104.0;24-02-2020;8.1;11.5;
Belgium;BE000006447;50.8;4.35;104.0;25-02-2020;6.9;;
Belgium;BE000006447;50.8;4.35;104.0;26-02-2020;3.0;5.2;0.8
Belgium;BE000006447;50.8;4.35;104.0;27-02-2020;1.9;;
Belgium;BE000006447;50.8;4.35;104.0;28-02-2020;3.8;;-0.1
Belgium;BE000006447;50.8;4.35;104.0;29-02-2020;8.3;12.4;4.5
Belgium;BE000006447;50.8;4.35;104.0;01-03-2020;6.7;9.0;4.3
Belgium;BE000006447;50.8;4.35;104.0;02-03-2020;5.7;7.6;
Belgium;BE000006447;50.8;4.35;104.0;03-03-2020;4.0;7.3;1.8
Belgium;BE000006447;50.8;4.35;104.0;04-03-2020;5.6;8.2;2.7
Belgium;BE000006447;50.8;4.35;104.0;05-03-2020;6.3;7.7;4.9
Belgium;BE000006447;50.8;4.35;104.0;06-03-2020;5.2;7.2;3.7
Belgium;BE000006447;50.8;4.35;104.0;07-03-2020;6.3;10.1;
Belgium;BE000006447;50.8;4.35;104.0;08-03-2020;7.9;9.0;
Belgium;BE000006447;50.8;4.35;104.0;09-03-2020;7.5;10.0;
Belgium;BE000006447;50.8;4.35;104.0;10-03-2020;10.1;12.6;6.1
Belgium;BE000006447;50.8;4.35;104.0;11-03-2020;12.2;14.6;11.3
Belgium;BE000006447;50.8;4.35;104.0;12-03-2020;9.1;;
Belgium;BE000006447;50.8;4.35;104.0;13-03-2020;6.8;10.2;
Belgium;BE000006447;50.8;4.35;104.0;14-03-2020;7.0;10.3;3.3
Belgium;BE000006447;50.8;4.35;104.0;15-03-2020;10.1;13.8;7.1
Belgium;BE000006447;50.8;4.35;104.0;16-03-2020;8.9;12.0;4.7
Belgium;BE000006447;50.8;4.35;104.0;17-03-2020;8.3;14.0;3.2
Belgium;BE000006447;50.8;4.35;104.0;18-03-2020;10.7;16.7;5.9
Belgium;BE000006447;50.8;4.35;104.0;19-03-2020;9.1;13.2;4.6
Belgium;BE000006447;50.8;4.35;104.0;20-03-2020;7.1;9.1;
Belgium;BE000006447;50.8;4.35;104.0;21-03-2020;5.9;9.4;3.4
Belgium;BE000006447;50.8;4.35;104.0;22-03-2020;5.4;11.1;0.8
Belgium;BE000006447;50.8;4.35;104.0;23-03-2020;5.6;12.5;-0.9
Belgium;BE000006447;50.8;4.35;104.0;24-03-2020;5.4;12.7;-1.8
Belgium;BE000006447;50.8;4.35;104.0;25-03-2020;5.8;11.9;-1.3
Belgium;BE000006447;50.8;4.35;104.0;26-03-2020;6.5;11.2;1.2
Belgium;BE000006447;50.8;4.35;104.0;27-03-2020;8.3;14.5;2.6
Belgium;BE000006447;50.8;4.35;104.0;28-03-2020;8.8;14.3;
Belgium;BE000006447;50.8;4.35;104.0;29-03-2020;4.7;6.8;
Belgium;BE000006447;50.8;4.35;104.0;30-03-2020;4.0;8.5;-0.9
Belgium;BE000006447;50.8;4.35;104.0;31-03-2020;5.3;9.7;
Belgium;BE000006447;50.8;4.35;104.0;01-04-2020;5.3;10.7;-1.2
Belgium;BE000006447;50.8;4.35;104.0;02-04-2020;5.4;9.5;-1.3
Belgium;BE000006447;50.8;4.35;104.0;03-04-2020;7.8;10.9;4.4
Belgium;BE000006447;50.8;4.35;104.0;04-04-2020;10.4;15.9;6.2
Belgium;BE000006447;50.8;4.35;104.0;05-04-2020;14.8;22.4;6.4
Belgium;BE000006447;50.8;4.35;104.0;06-04-2020;15.4;21.1;11.4
Belgium;BE000006447;50.8;4.35;104.0;07-04-2020;14.2;20.8;6.5
Belgium;BE000006447;50.8;4.35;104.0;08-04-2020;17.5;24.1;11.0
Belgium;BE000006447;50.8;4.35;104.0;09-04-2020;16.3;22.2;10.3
Belgium;BE000006447;50.8;4.35;104.0;10-04-2020;15.3;21.1;9.1
Belgium;BE000006447;50.8;4.35;104.0;11-04-2020;15.6;22.7;9.1
Belgium;BE000006447;50.8;4.35;104.0;12-04-2020;16.1;23.4;8.2
Belgium;BE000006447;50.8;4.35;104.0;13-04-2020;9.3;;
Belgium;BE000006447;50.8;4.35;104.0;14-04-2020;6.9;10.6;3.9
Belgium;BE000006447;50.8;4.35;104.0;15-04-2020;10.1;17.5;2.4
Belgium;BE000006447;50.8;4.35;104.0;16-04-2020;15.0;23.3;6.7
Belgium;BE000006447;50.8;4.35;104.0;17-04-2020;15.3;21.9;9.5
Belgium;BE000006447;50.8;4.35;104.0;18-04-2020;11.7;15.5;
Belgium;BE000006447;50.8;4.35;104.0;19-04-2020;11.1;15.0;6.7
Belgium;BE000006447;50.8;4.35;104.0;20-04-2020;13.6;19.4;7.3
