COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;01-01-2020;-2.8;1.6;-6.7
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;02-01-2020;-1.9;3.5;-5.4
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;03-01-2020;-2.7;3.4;-7.0
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;04-01-2020;-1.9;3.1;-6.2
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;05-01-2020;-0.7;0.6;-2.2
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;06-01-2020;-3.4;0.0;-6.3
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;07-01-2020;-5.9;0.5;-10.6
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;08-01-2020;-5.1;0.8;-9.2
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;09-01-2020;-5.7;-1.5;-8.8
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;10-01-2020;-4.6;1.7;-8.4
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;11-01-2020;-2.4;0.6;-5.0
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;12-01-2020;0.4;5.4;-2.7
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;13-01-2020;-0.6;5.2;-4.6
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;14-01-2020;2.2;10.2;-2.4
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;15-01-2020;1.0;6.2;-3.0
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;16-01-2020;-2.2;3.2;-5.7
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;17-01-2020;-3.3;-0.5;-4.6
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;18-01-2020;-3.8;-1.8;-5.7
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;19-01-2020;-1.5;-0.3;-3.6
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;20-01-2020;-1.2;-0.2;-1.7
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;21-01-2020;-0.9;3.7;-4.2
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;22-01-2020;-3.2;3.0;-7.1
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;23-01-2020;-1.1;5.8;-6.2
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;24-01-2020;0.1;7.6;-6.4
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;25-01-2020;4.9;12.1;-0.4
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;26-01-2020;3.9;6.3;0.8
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;27-01-2020;3.7;5.6;3.0
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;28-01-2020;5.6;9.6;-0.6
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;29-01-2020;3.8;9.3;1.1
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;30-01-2020;1.9;7.1;-0.5
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;31-01-2020;4.7;12.8;-2.3
Bosnia and herzegovina;BKM00014654;438.678;184.228;630.0;01-02-2020;7.8;15.5;1.3
