COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Bulgaria;BUM00015614;42.695;23.406;531.0;01-01-2020;0.3;;
Bulgaria;BUM00015614;42.695;23.406;531.0;02-01-2020;-2.4;;
Bulgaria;BUM00015614;42.695;23.406;531.0;03-01-2020;-3.1;;
Bulgaria;BUM00015614;42.695;23.406;531.0;04-01-2020;0.1;;
Bulgaria;BUM00015614;42.695;23.406;531.0;05-01-2020;1.4;5.0;
Bulgaria;BUM00015614;42.695;23.406;531.0;06-01-2020;-1.0;;-3.3
Bulgaria;BUM00015614;42.695;23.406;531.0;07-01-2020;-2.6;;
Bulgaria;BUM00015614;42.695;23.406;531.0;08-01-2020;-4.3;3.2;-11.0
Bulgaria;BUM00015614;42.695;23.406;531.0;09-01-2020;-3.6;4.8;
Bulgaria;BUM00015614;42.695;23.406;531.0;10-01-2020;0.7;9.8;
Bulgaria;BUM00015614;42.695;23.406;531.0;11-01-2020;1.3;;
Bulgaria;BUM00015614;42.695;23.406;531.0;12-01-2020;2.2;;
Bulgaria;BUM00015614;42.695;23.406;531.0;13-01-2020;2.3;;0.8
Bulgaria;BUM00015614;42.695;23.406;531.0;14-01-2020;0.7;4.4;
Bulgaria;BUM00015614;42.695;23.406;531.0;15-01-2020;-1.7;0.3;-3.6
Bulgaria;BUM00015614;42.695;23.406;531.0;16-01-2020;-2.2;-0.3;
Bulgaria;BUM00015614;42.695;23.406;531.0;17-01-2020;-1.9;1.8;
Bulgaria;BUM00015614;42.695;23.406;531.0;18-01-2020;-0.1;2.2;-2.3
Bulgaria;BUM00015614;42.695;23.406;531.0;19-01-2020;0.1;;-1.5
Bulgaria;BUM00015614;42.695;23.406;531.0;20-01-2020;-1.1;;
Bulgaria;BUM00015614;42.695;23.406;531.0;21-01-2020;-3.7;2.1;
Bulgaria;BUM00015614;42.695;23.406;531.0;22-01-2020;-2.1;;
Bulgaria;BUM00015614;42.695;23.406;531.0;23-01-2020;-0.2;5.1;
Bulgaria;BUM00015614;42.695;23.406;531.0;24-01-2020;-4.1;5.4;
Bulgaria;BUM00015614;42.695;23.406;531.0;25-01-2020;0.2;;
Bulgaria;BUM00015614;42.695;23.406;531.0;26-01-2020;3.2;12.3;
Bulgaria;BUM00015614;42.695;23.406;531.0;27-01-2020;4.5;7.4;
Bulgaria;BUM00015614;42.695;23.406;531.0;28-01-2020;5.7;12.6;
Bulgaria;BUM00015614;42.695;23.406;531.0;29-01-2020;4.6;9.4;
Bulgaria;BUM00015614;42.695;23.406;531.0;30-01-2020;2.5;;
Bulgaria;BUM00015614;42.695;23.406;531.0;31-01-2020;2.9;12.0;
Bulgaria;BUM00015614;42.695;23.406;531.0;01-02-2020;8.9;16.3;
Bulgaria;BUM00015614;42.695;23.406;531.0;02-02-2020;5.3;;
Bulgaria;BUM00015614;42.695;23.406;531.0;03-02-2020;8.7;;
Bulgaria;BUM00015614;42.695;23.406;531.0;04-02-2020;8.9;;
Bulgaria;BUM00015614;42.695;23.406;531.0;05-02-2020;0.6;13.7;
Bulgaria;BUM00015614;42.695;23.406;531.0;06-02-2020;-2.6;0.3;
Bulgaria;BUM00015614;42.695;23.406;531.0;07-02-2020;-1.2;;
Bulgaria;BUM00015614;42.695;23.406;531.0;08-02-2020;-2.1;3.6;
Bulgaria;BUM00015614;42.695;23.406;531.0;09-02-2020;-4.9;3.0;
Bulgaria;BUM00015614;42.695;23.406;531.0;10-02-2020;-2.6;4.9;
Bulgaria;BUM00015614;42.695;23.406;531.0;11-02-2020;3.5;9.0;0.9
Bulgaria;BUM00015614;42.695;23.406;531.0;12-02-2020;4.3;;
Bulgaria;BUM00015614;42.695;23.406;531.0;13-02-2020;2.6;;-3.1
Bulgaria;BUM00015614;42.695;23.406;531.0;14-02-2020;2.2;;
Bulgaria;BUM00015614;42.695;23.406;531.0;15-02-2020;5.1;;
Bulgaria;BUM00015614;42.695;23.406;531.0;16-02-2020;2.8;;
Bulgaria;BUM00015614;42.695;23.406;531.0;17-02-2020;3.8;;
Bulgaria;BUM00015614;42.695;23.406;531.0;18-02-2020;6.5;;
Bulgaria;BUM00015614;42.695;23.406;531.0;19-02-2020;6.6;9.8;
Bulgaria;BUM00015614;42.695;23.406;531.0;20-02-2020;3.3;7.0;0.8
Bulgaria;BUM00015614;42.695;23.406;531.0;21-02-2020;3.8;7.6;0.6
Bulgaria;BUM00015614;42.695;23.406;531.0;22-02-2020;3.4;6.4;0.9
Bulgaria;BUM00015614;42.695;23.406;531.0;23-02-2020;3.7;;-3.3
Bulgaria;BUM00015614;42.695;23.406;531.0;24-02-2020;5.4;13.6;
Bulgaria;BUM00015614;42.695;23.406;531.0;25-02-2020;5.4;16.3;
Bulgaria;BUM00015614;42.695;23.406;531.0;26-02-2020;11.1;19.4;
Bulgaria;BUM00015614;42.695;23.406;531.0;27-02-2020;6.2;14.4;
Bulgaria;BUM00015614;42.695;23.406;531.0;28-02-2020;0.7;;
Bulgaria;BUM00015614;42.695;23.406;531.0;29-02-2020;2.2;6.8;
Bulgaria;BUM00015614;42.695;23.406;531.0;01-03-2020;3.7;;
Bulgaria;BUM00015614;42.695;23.406;531.0;02-03-2020;11.2;19.6;1.9
Bulgaria;BUM00015614;42.695;23.406;531.0;03-03-2020;14.6;22.1;7.5
Bulgaria;BUM00015614;42.695;23.406;531.0;04-03-2020;10.3;17.3;
Bulgaria;BUM00015614;42.695;23.406;531.0;05-03-2020;2.9;5.1;
Bulgaria;BUM00015614;42.695;23.406;531.0;06-03-2020;3.5;;-4.3
Bulgaria;BUM00015614;42.695;23.406;531.0;07-03-2020;7.8;13.1;
Bulgaria;BUM00015614;42.695;23.406;531.0;08-03-2020;5.3;7.2;
Bulgaria;BUM00015614;42.695;23.406;531.0;09-03-2020;3.2;;1.1
Bulgaria;BUM00015614;42.695;23.406;531.0;10-03-2020;3.4;4.1;2.5
Bulgaria;BUM00015614;42.695;23.406;531.0;11-03-2020;7.1;;2.2
Bulgaria;BUM00015614;42.695;23.406;531.0;12-03-2020;10.8;19.5;
Bulgaria;BUM00015614;42.695;23.406;531.0;13-03-2020;12.7;;
Bulgaria;BUM00015614;42.695;23.406;531.0;14-03-2020;8.9;16.8;
Bulgaria;BUM00015614;42.695;23.406;531.0;15-03-2020;3.8;7.7;0.9
Bulgaria;BUM00015614;42.695;23.406;531.0;16-03-2020;2.2;8.3;
Bulgaria;BUM00015614;42.695;23.406;531.0;17-03-2020;4.8;;
Bulgaria;BUM00015614;42.695;23.406;531.0;18-03-2020;5.4;12.6;
Bulgaria;BUM00015614;42.695;23.406;531.0;19-03-2020;6.3;;
Bulgaria;BUM00015614;42.695;23.406;531.0;20-03-2020;9.4;19.6;
Bulgaria;BUM00015614;42.695;23.406;531.0;21-03-2020;11.9;22.1;
Bulgaria;BUM00015614;42.695;23.406;531.0;22-03-2020;7.3;17.5;
Bulgaria;BUM00015614;42.695;23.406;531.0;23-03-2020;-1.7;3.1;-2.4
Bulgaria;BUM00015614;42.695;23.406;531.0;24-03-2020;-0.8;;-2.3
Bulgaria;BUM00015614;42.695;23.406;531.0;25-03-2020;0.7;;-1.4
Bulgaria;BUM00015614;42.695;23.406;531.0;26-03-2020;2.4;;0.2
Bulgaria;BUM00015614;42.695;23.406;531.0;27-03-2020;5.1;10.4;
Bulgaria;BUM00015614;42.695;23.406;531.0;28-03-2020;7.4;;
Bulgaria;BUM00015614;42.695;23.406;531.0;29-03-2020;7.9;;-0.1
Bulgaria;BUM00015614;42.695;23.406;531.0;30-03-2020;8.0;16.1;
Bulgaria;BUM00015614;42.695;23.406;531.0;31-03-2020;3.9;11.5;
Bulgaria;BUM00015614;42.695;23.406;531.0;01-04-2020;-0.9;3.2;-2.0
Bulgaria;BUM00015614;42.695;23.406;531.0;02-04-2020;0.6;;
Bulgaria;BUM00015614;42.695;23.406;531.0;03-04-2020;3.6;;
Bulgaria;BUM00015614;42.695;23.406;531.0;04-04-2020;6.1;8.8;4.9
Bulgaria;BUM00015614;42.695;23.406;531.0;05-04-2020;6.7;;4.5
Bulgaria;BUM00015614;42.695;23.406;531.0;06-04-2020;7.3;;
