COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Czechia;EZM00011518;50.101;14.26;380.1;01-01-2020;-0.2;;
Czechia;EZM00011518;50.101;14.26;380.1;02-01-2020;-4.9;;
Czechia;EZM00011518;50.101;14.26;380.1;03-01-2020;1.6;;-7.2
Czechia;EZM00011518;50.101;14.26;380.1;04-01-2020;3.1;;
Czechia;EZM00011518;50.101;14.26;380.1;05-01-2020;0.2;;
Czechia;EZM00011518;50.101;14.26;380.1;06-01-2020;0.0;;
Czechia;EZM00011518;50.101;14.26;380.1;07-01-2020;0.1;;-4.2
Czechia;EZM00011518;50.101;14.26;380.1;08-01-2020;2.6;;-1.0
Czechia;EZM00011518;50.101;14.26;380.1;09-01-2020;5.8;;3.7
Czechia;EZM00011518;50.101;14.26;380.1;10-01-2020;7.1;;5.0
Czechia;EZM00011518;50.101;14.26;380.1;11-01-2020;2.1;;
Czechia;EZM00011518;50.101;14.26;380.1;12-01-2020;0.9;;-2.2
Czechia;EZM00011518;50.101;14.26;380.1;13-01-2020;2.4;;0.7
Czechia;EZM00011518;50.101;14.26;380.1;14-01-2020;1.7;;-2.5
Czechia;EZM00011518;50.101;14.26;380.1;15-01-2020;0.2;;
Czechia;EZM00011518;50.101;14.26;380.1;16-01-2020;-0.6;;-4.1
Czechia;EZM00011518;50.101;14.26;380.1;17-01-2020;-0.9;;-3.4
Czechia;EZM00011518;50.101;14.26;380.1;18-01-2020;0.8;;-3.5
Czechia;EZM00011518;50.101;14.26;380.1;19-01-2020;0.9;;-1.4
Czechia;EZM00011518;50.101;14.26;380.1;20-01-2020;0.9;;
Czechia;EZM00011518;50.101;14.26;380.1;21-01-2020;-2.4;;-5.3
Czechia;EZM00011518;50.101;14.26;380.1;22-01-2020;-1.6;;-4.4
Czechia;EZM00011518;50.101;14.26;380.1;23-01-2020;0.4;;
Czechia;EZM00011518;50.101;14.26;380.1;24-01-2020;-2.0;;-5.3
Czechia;EZM00011518;50.101;14.26;380.1;25-01-2020;-1.4;;
Czechia;EZM00011518;50.101;14.26;380.1;26-01-2020;-0.6;;-1.6
Czechia;EZM00011518;50.101;14.26;380.1;27-01-2020;1.8;;-1.3
Czechia;EZM00011518;50.101;14.26;380.1;28-01-2020;4.2;;-0.4
Czechia;EZM00011518;50.101;14.26;380.1;29-01-2020;1.6;;-0.5
Czechia;EZM00011518;50.101;14.26;380.1;30-01-2020;3.2;;
Czechia;EZM00011518;50.101;14.26;380.1;31-01-2020;9.7;;1.7
Czechia;EZM00011518;50.101;14.26;380.1;01-02-2020;11.1;;
Czechia;EZM00011518;50.101;14.26;380.1;02-02-2020;7.9;;4.8
Czechia;EZM00011518;50.101;14.26;380.1;03-02-2020;8.4;;
Czechia;EZM00011518;50.101;14.26;380.1;04-02-2020;3.1;;
Czechia;EZM00011518;50.101;14.26;380.1;05-02-2020;0.8;;
Czechia;EZM00011518;50.101;14.26;380.1;06-02-2020;0.6;;-2.2
Czechia;EZM00011518;50.101;14.26;380.1;07-02-2020;2.8;;1.0
Czechia;EZM00011518;50.101;14.26;380.1;08-02-2020;1.6;;-1.6
Czechia;EZM00011518;50.101;14.26;380.1;09-02-2020;3.9;;
Czechia;EZM00011518;50.101;14.26;380.1;10-02-2020;7.8;;
Czechia;EZM00011518;50.101;14.26;380.1;11-02-2020;3.3;6.1;
Czechia;EZM00011518;50.101;14.26;380.1;12-02-2020;1.3;;
Czechia;EZM00011518;50.101;14.26;380.1;13-02-2020;2.4;;
Czechia;EZM00011518;50.101;14.26;380.1;14-02-2020;4.6;;
Czechia;EZM00011518;50.101;14.26;380.1;15-02-2020;3.8;;
Czechia;EZM00011518;50.101;14.26;380.1;16-02-2020;7.5;;1.4
Czechia;EZM00011518;50.101;14.26;380.1;17-02-2020;8.8;;
Czechia;EZM00011518;50.101;14.26;380.1;18-02-2020;5.6;;
Czechia;EZM00011518;50.101;14.26;380.1;19-02-2020;3.6;6.2;
Czechia;EZM00011518;50.101;14.26;380.1;20-02-2020;3.3;;-1.1
Czechia;EZM00011518;50.101;14.26;380.1;21-02-2020;4.1;;
Czechia;EZM00011518;50.101;14.26;380.1;22-02-2020;6.9;;1.4
Czechia;EZM00011518;50.101;14.26;380.1;23-02-2020;9.4;;
Czechia;EZM00011518;50.101;14.26;380.1;24-02-2020;4.3;;1.6
Czechia;EZM00011518;50.101;14.26;380.1;25-02-2020;7.9;;3.1
Czechia;EZM00011518;50.101;14.26;380.1;26-02-2020;3.4;5.4;
Czechia;EZM00011518;50.101;14.26;380.1;27-02-2020;2.4;;
Czechia;EZM00011518;50.101;14.26;380.1;28-02-2020;1.3;;
Czechia;EZM00011518;50.101;14.26;380.1;29-02-2020;3.8;;-0.6
Czechia;EZM00011518;50.101;14.26;380.1;01-03-2020;6.5;;3.0
Czechia;EZM00011518;50.101;14.26;380.1;02-03-2020;6.4;;3.5
Czechia;EZM00011518;50.101;14.26;380.1;03-03-2020;3.9;;
Czechia;EZM00011518;50.101;14.26;380.1;04-03-2020;2.8;;
Czechia;EZM00011518;50.101;14.26;380.1;05-03-2020;4.2;;-2.8
Czechia;EZM00011518;50.101;14.26;380.1;06-03-2020;5.8;9.5;
Czechia;EZM00011518;50.101;14.26;380.1;07-03-2020;3.6;;
Czechia;EZM00011518;50.101;14.26;380.1;08-03-2020;4.6;;0.7
Czechia;EZM00011518;50.101;14.26;380.1;09-03-2020;5.2;;
Czechia;EZM00011518;50.101;14.26;380.1;10-03-2020;4.6;;0.9
Czechia;EZM00011518;50.101;14.26;380.1;11-03-2020;8.8;;4.4
Czechia;EZM00011518;50.101;14.26;380.1;12-03-2020;10.8;;
Czechia;EZM00011518;50.101;14.26;380.1;13-03-2020;6.3;;
Czechia;EZM00011518;50.101;14.26;380.1;14-03-2020;3.2;;
Czechia;EZM00011518;50.101;14.26;380.1;15-03-2020;3.1;;-3.4
Czechia;EZM00011518;50.101;14.26;380.1;16-03-2020;5.2;;-3.0
Czechia;EZM00011518;50.101;14.26;380.1;17-03-2020;8.2;;1.4
Czechia;EZM00011518;50.101;14.26;380.1;18-03-2020;9.3;;2.9
Czechia;EZM00011518;50.101;14.26;380.1;19-03-2020;10.2;;4.9
Czechia;EZM00011518;50.101;14.26;380.1;20-03-2020;8.9;;
Czechia;EZM00011518;50.101;14.26;380.1;21-03-2020;1.9;;
Czechia;EZM00011518;50.101;14.26;380.1;22-03-2020;-1.7;;-5.1
Czechia;EZM00011518;50.101;14.26;380.1;23-03-2020;-1.8;;-6.4
Czechia;EZM00011518;50.101;14.26;380.1;24-03-2020;-0.6;;-6.3
Czechia;EZM00011518;50.101;14.26;380.1;25-03-2020;0.3;;-6.2
Czechia;EZM00011518;50.101;14.26;380.1;26-03-2020;2.5;;-4.5
Czechia;EZM00011518;50.101;14.26;380.1;27-03-2020;8.2;;-1.2
Czechia;EZM00011518;50.101;14.26;380.1;28-03-2020;8.1;;1.3
Czechia;EZM00011518;50.101;14.26;380.1;29-03-2020;3.4;;
Czechia;EZM00011518;50.101;14.26;380.1;30-03-2020;-0.1;;
Czechia;EZM00011518;50.101;14.26;380.1;31-03-2020;-0.3;;
Czechia;EZM00011518;50.101;14.26;380.1;01-04-2020;1.1;;
Czechia;EZM00011518;50.101;14.26;380.1;02-04-2020;4.4;;-4.3
Czechia;EZM00011518;50.101;14.26;380.1;03-04-2020;4.8;;-0.5
Czechia;EZM00011518;50.101;14.26;380.1;04-04-2020;7.4;;
Czechia;EZM00011518;50.101;14.26;380.1;05-04-2020;7.8;;-1.6
Czechia;EZM00011518;50.101;14.26;380.1;06-04-2020;11.5;;0.3
Czechia;EZM00011518;50.101;14.26;380.1;07-04-2020;12.2;;2.7
Czechia;EZM00011518;50.101;14.26;380.1;08-04-2020;12.6;;3.3
Czechia;EZM00011518;50.101;14.26;380.1;09-04-2020;12.9;;2.3
Czechia;EZM00011518;50.101;14.26;380.1;10-04-2020;11.0;;
Czechia;EZM00011518;50.101;14.26;380.1;11-04-2020;10.5;;4.4
Czechia;EZM00011518;50.101;14.26;380.1;12-04-2020;13.1;;2.5
Czechia;EZM00011518;50.101;14.26;380.1;13-04-2020;9.6;;
Czechia;EZM00011518;50.101;14.26;380.1;14-04-2020;3.2;;-0.3
Czechia;EZM00011518;50.101;14.26;380.1;15-04-2020;7.2;;-1.1
Czechia;EZM00011518;50.101;14.26;380.1;16-04-2020;12.8;;
Czechia;EZM00011518;50.101;14.26;380.1;17-04-2020;13.2;20.1;5.6
Czechia;EZM00011518;50.101;14.26;380.1;18-04-2020;13.2;;5.2
Czechia;EZM00011518;50.101;14.26;380.1;19-04-2020;10.1;;
Czechia;EZM00011518;50.101;14.26;380.1;20-04-2020;8.3;;0.0
Czechia;EZM00011518;50.101;14.26;380.1;21-04-2020;9.6;;1.8
Czechia;EZM00011518;50.101;14.26;380.1;22-04-2020;9.8;;1.0
Czechia;EZM00011518;50.101;14.26;380.1;23-04-2020;11.8;;2.9
Czechia;EZM00011518;50.101;14.26;380.1;24-04-2020;13.7;;4.9
Czechia;EZM00011518;50.101;14.26;380.1;25-04-2020;8.8;;
