COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Estonia;ENE00175051;593.981;246.028;33.0;01-01-2020;;4.8;-1.1
Estonia;ENE00175051;593.981;246.028;33.0;02-01-2020;;5.9;1.8
Estonia;ENE00175051;593.981;246.028;33.0;03-01-2020;;5.9;3.5
Estonia;ENE00175051;593.981;246.028;33.0;04-01-2020;;5.5;0.4
Estonia;ENE00175051;593.981;246.028;33.0;05-01-2020;;3.2;-5.0
Estonia;ENE00175051;593.981;246.028;33.0;06-01-2020;;3.2;-3.5
Estonia;ENE00175051;593.981;246.028;33.0;07-01-2020;;5.7;2.9
Estonia;ENE00175051;593.981;246.028;33.0;08-01-2020;;7.6;3.5
Estonia;ENE00175051;593.981;246.028;33.0;09-01-2020;;7.6;0.4
Estonia;ENE00175051;593.981;246.028;33.0;10-01-2020;;1.3;-1.3
Estonia;ENE00175051;593.981;246.028;33.0;11-01-2020;;1.7;-4.5
Estonia;ENE00175051;593.981;246.028;33.0;12-01-2020;;6.5;1.6
Estonia;ENE00175051;593.981;246.028;33.0;13-01-2020;;6.1;0.2
Estonia;ENE00175051;593.981;246.028;33.0;14-01-2020;;4.0;2.1
Estonia;ENE00175051;593.981;246.028;33.0;15-01-2020;;8.4;2.2
Estonia;ENE00175051;593.981;246.028;33.0;16-01-2020;;8.0;3.5
Estonia;ENE00175051;593.981;246.028;33.0;17-01-2020;;5.9;3.3
Estonia;ENE00175051;593.981;246.028;33.0;18-01-2020;;4.8;0.2
Estonia;ENE00175051;593.981;246.028;33.0;19-01-2020;;5.2;1.9
Estonia;ENE00175051;593.981;246.028;33.0;20-01-2020;;4.9;0.6
Estonia;ENE00175051;593.981;246.028;33.0;21-01-2020;;6.7;4.0
Estonia;ENE00175051;593.981;246.028;33.0;22-01-2020;;4.8;1.4
Estonia;ENE00175051;593.981;246.028;33.0;23-01-2020;;2.8;-3.5
Estonia;ENE00175051;593.981;246.028;33.0;24-01-2020;;5.2;0.5
Estonia;ENE00175051;593.981;246.028;33.0;25-01-2020;;3.1;0.7
Estonia;ENE00175051;593.981;246.028;33.0;26-01-2020;;5.8;-1.9
Estonia;ENE00175051;593.981;246.028;33.0;27-01-2020;;4.9;3.9
Estonia;ENE00175051;593.981;246.028;33.0;28-01-2020;;4.2;2.3
Estonia;ENE00175051;593.981;246.028;33.0;29-01-2020;;2.3;0.2
Estonia;ENE00175051;593.981;246.028;33.0;30-01-2020;;2.1;0.6
Estonia;ENE00175051;593.981;246.028;33.0;31-01-2020;;2.2;0.7
Estonia;ENE00175051;593.981;246.028;33.0;01-02-2020;;3.0;0.5
Estonia;ENE00175051;593.981;246.028;33.0;02-02-2020;;6.4;2.1
Estonia;ENE00175051;593.981;246.028;33.0;03-02-2020;;3.5;0.3
Estonia;ENE00175051;593.981;246.028;33.0;04-02-2020;;0.6;-3.4
Estonia;ENE00175051;593.981;246.028;33.0;05-02-2020;;2.6;-7.4
Estonia;ENE00175051;593.981;246.028;33.0;06-02-2020;;3.2;-3.8
Estonia;ENE00175051;593.981;246.028;33.0;07-02-2020;;-0.3;-6.9
Estonia;ENE00175051;593.981;246.028;33.0;08-02-2020;;2.6;-1.4
Estonia;ENE00175051;593.981;246.028;33.0;09-02-2020;;4.1;1.6
Estonia;ENE00175051;593.981;246.028;33.0;10-02-2020;;5.4;2.2
Estonia;ENE00175051;593.981;246.028;33.0;11-02-2020;;4.9;0.4
Estonia;ENE00175051;593.981;246.028;33.0;12-02-2020;;5.0;0.9
Estonia;ENE00175051;593.981;246.028;33.0;13-02-2020;;4.6;0.4
Estonia;ENE00175051;593.981;246.028;33.0;14-02-2020;;3.2;-2.5
Estonia;ENE00175051;593.981;246.028;33.0;15-02-2020;;2.8;-3.7
Estonia;ENE00175051;593.981;246.028;33.0;16-02-2020;;4.8;2.2
Estonia;ENE00175051;593.981;246.028;33.0;17-02-2020;;7.8;4.5
Estonia;ENE00175051;593.981;246.028;33.0;18-02-2020;;7.0;5.0
Estonia;ENE00175051;593.981;246.028;33.0;19-02-2020;;5.6;3.0
Estonia;ENE00175051;593.981;246.028;33.0;20-02-2020;;4.9;-0.7
Estonia;ENE00175051;593.981;246.028;33.0;21-02-2020;;3.7;0.5
Estonia;ENE00175051;593.981;246.028;33.0;22-02-2020;;5.1;0.7
Estonia;ENE00175051;593.981;246.028;33.0;23-02-2020;;6.0;1.3
Estonia;ENE00175051;593.981;246.028;33.0;24-02-2020;;4.2;1.3
Estonia;ENE00175051;593.981;246.028;33.0;25-02-2020;;3.1;-4.6
Estonia;ENE00175051;593.981;246.028;33.0;26-02-2020;;0.4;-1.6
Estonia;ENE00175051;593.981;246.028;33.0;27-02-2020;;0.1;-2.8
Estonia;ENE00175051;593.981;246.028;33.0;28-02-2020;;0.1;-5.3
Estonia;ENE00175051;593.981;246.028;33.0;29-02-2020;;1.0;-12.4
Estonia;ENE00175051;593.981;246.028;33.0;01-03-2020;;4.4;-0.4
Estonia;ENE00175051;593.981;246.028;33.0;02-03-2020;;7.9;1.2
Estonia;ENE00175051;593.981;246.028;33.0;03-03-2020;;4.1;0.3
Estonia;ENE00175051;593.981;246.028;33.0;04-03-2020;;4.0;1.6
Estonia;ENE00175051;593.981;246.028;33.0;05-03-2020;;4.8;2.6
Estonia;ENE00175051;593.981;246.028;33.0;06-03-2020;;6.1;-1.6
Estonia;ENE00175051;593.981;246.028;33.0;07-03-2020;;6.2;-2.3
Estonia;ENE00175051;593.981;246.028;33.0;08-03-2020;;6.2;-2.2
Estonia;ENE00175051;593.981;246.028;33.0;09-03-2020;;8.0;0.8
Estonia;ENE00175051;593.981;246.028;33.0;10-03-2020;;5.6;2.7
Estonia;ENE00175051;593.981;246.028;33.0;11-03-2020;;4.9;3.3
Estonia;ENE00175051;593.981;246.028;33.0;12-03-2020;;7.8;3.1
Estonia;ENE00175051;593.981;246.028;33.0;13-03-2020;;4.4;0.8
Estonia;ENE00175051;593.981;246.028;33.0;14-03-2020;;0.9;-2.6
Estonia;ENE00175051;593.981;246.028;33.0;15-03-2020;;6.3;-5.7
Estonia;ENE00175051;593.981;246.028;33.0;16-03-2020;;4.1;1.5
Estonia;ENE00175051;593.981;246.028;33.0;17-03-2020;;5.6;-4.3
Estonia;ENE00175051;593.981;246.028;33.0;18-03-2020;;6.5;4.7
Estonia;ENE00175051;593.981;246.028;33.0;19-03-2020;;6.1;1.4
Estonia;ENE00175051;593.981;246.028;33.0;20-03-2020;;3.6;-0.6
Estonia;ENE00175051;593.981;246.028;33.0;21-03-2020;;0.8;-5.8
Estonia;ENE00175051;593.981;246.028;33.0;22-03-2020;;2.0;-8.7
Estonia;ENE00175051;593.981;246.028;33.0;23-03-2020;;4.9;-5.9
Estonia;ENE00175051;593.981;246.028;33.0;24-03-2020;;7.4;-0.8
Estonia;ENE00175051;593.981;246.028;33.0;25-03-2020;;10.1;1.7
Estonia;ENE00175051;593.981;246.028;33.0;26-03-2020;;11.8;1.5
Estonia;ENE00175051;593.981;246.028;33.0;27-03-2020;;9.6;-1.5
Estonia;ENE00175051;593.981;246.028;33.0;28-03-2020;;10.7;0.4
Estonia;ENE00175051;593.981;246.028;33.0;29-03-2020;;5.7;-1.5
Estonia;ENE00175051;593.981;246.028;33.0;30-03-2020;;1.7;-7.0
Estonia;ENE00175051;593.981;246.028;33.0;31-03-2020;;3.1;-8.7
Estonia;ENE00175051;593.981;246.028;33.0;01-04-2020;;5.6;-0.4
Estonia;ENE00175051;593.981;246.028;33.0;02-04-2020;;8.8;-0.5
Estonia;ENE00175051;593.981;246.028;33.0;03-04-2020;;5.8;0.0
Estonia;ENE00175051;593.981;246.028;33.0;04-04-2020;;6.6;-1.2
Estonia;ENE00175051;593.981;246.028;33.0;05-04-2020;;6.6;-3.9
Estonia;ENE00175051;593.981;246.028;33.0;06-04-2020;;13.9;-1.4
Estonia;ENE00175051;593.981;246.028;33.0;07-04-2020;;17.9;4.8
Estonia;ENE00175051;593.981;246.028;33.0;08-04-2020;;14.0;2.7
Estonia;ENE00175051;593.981;246.028;33.0;09-04-2020;;8.8;3.5
Estonia;ENE00175051;593.981;246.028;33.0;10-04-2020;;6.8;-2.1
Estonia;ENE00175051;593.981;246.028;33.0;11-04-2020;;8.3;-1.9
Estonia;ENE00175051;593.981;246.028;33.0;12-04-2020;;6.9;-0.5
Estonia;ENE00175051;593.981;246.028;33.0;13-04-2020;;7.1;1.0
Estonia;ENE00175051;593.981;246.028;33.0;14-04-2020;;4.1;0.0
Estonia;ENE00175051;593.981;246.028;33.0;15-04-2020;;8.5;-0.6
Estonia;ENE00175051;593.981;246.028;33.0;16-04-2020;;5.7;1.3
Estonia;ENE00175051;593.981;246.028;33.0;17-04-2020;;7.1;2.3
Estonia;ENE00175051;593.981;246.028;33.0;18-04-2020;;8.0;2.5
Estonia;ENE00175051;593.981;246.028;33.0;19-04-2020;;8.3;3.1
Estonia;ENE00175051;593.981;246.028;33.0;20-04-2020;;11.2;3.7
Estonia;ENE00175051;593.981;246.028;33.0;21-04-2020;;12.6;4.7
Estonia;ENE00175051;593.981;246.028;33.0;22-04-2020;;12.7;-0.9
Estonia;ENE00175051;593.981;246.028;33.0;23-04-2020;;12.6;-0.2
Estonia;ENE00175051;593.981;246.028;33.0;24-04-2020;;10.8;0.8
Estonia;ENE00175051;593.981;246.028;33.0;25-04-2020;;6.5;1.2
Estonia;ENE00175051;593.981;246.028;33.0;26-04-2020;;8.5;-1.7
Estonia;ENE00175051;593.981;246.028;33.0;27-04-2020;;7.6;2.1
Estonia;ENE00175051;593.981;246.028;33.0;28-04-2020;;5.9;-2.4
Estonia;ENE00175051;593.981;246.028;33.0;29-04-2020;;6.5;1.2
Estonia;ENE00175051;593.981;246.028;33.0;30-04-2020;;7.8;-3.5
Estonia;ENE00175051;593.981;246.028;33.0;01-05-2020;;14.6;1.2
Estonia;ENE00175051;593.981;246.028;33.0;02-05-2020;;16.4;6.7
Estonia;ENE00175051;593.981;246.028;33.0;03-05-2020;;12.6;4.3
Estonia;ENE00175051;593.981;246.028;33.0;04-05-2020;;9.1;6.0
Estonia;ENE00175051;593.981;246.028;33.0;05-05-2020;;13.9;0.9
Estonia;ENE00175051;593.981;246.028;33.0;06-05-2020;;14.1;1.5
Estonia;ENE00175051;593.981;246.028;33.0;07-05-2020;;10.6;3.8
Estonia;ENE00175051;593.981;246.028;33.0;08-05-2020;;15.0;1.4
Estonia;ENE00175051;593.981;246.028;33.0;09-05-2020;;13.6;4.7
Estonia;ENE00175051;593.981;246.028;33.0;10-05-2020;;18.9;-1.5
Estonia;ENE00175051;593.981;246.028;33.0;11-05-2020;;15.4;0.4
Estonia;ENE00175051;593.981;246.028;33.0;12-05-2020;;8.9;1.1
