COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Finland;FIE00142080;603.269;249.603;51.0;01-01-2020;1.2;2.9;-2.5
Finland;FIE00142080;603.269;249.603;51.0;02-01-2020;3.1;4.2;1.0
Finland;FIE00142080;603.269;249.603;51.0;03-01-2020;4.1;5.4;3.8
Finland;FIE00142080;603.269;249.603;51.0;04-01-2020;1.0;4.4;-0.8
Finland;FIE00142080;603.269;249.603;51.0;05-01-2020;-2.4;1.8;-6.6
Finland;FIE00142080;603.269;249.603;51.0;06-01-2020;1.1;1.0;-4.7
Finland;FIE00142080;603.269;249.603;51.0;07-01-2020;4.2;5.3;0.8
Finland;FIE00142080;603.269;249.603;51.0;08-01-2020;5.4;7.1;3.9
Finland;FIE00142080;603.269;249.603;51.0;09-01-2020;1.3;7.1;0.0
Finland;FIE00142080;603.269;249.603;51.0;10-01-2020;-4.2;0.1;-4.6
Finland;FIE00142080;603.269;249.603;51.0;11-01-2020;-1.2;3.1;-6.7
Finland;FIE00142080;603.269;249.603;51.0;12-01-2020;4.9;5.9;2.1
Finland;FIE00142080;603.269;249.603;51.0;13-01-2020;0.7;5.1;-1.1
Finland;FIE00142080;603.269;249.603;51.0;14-01-2020;3.1;3.7;0.9
Finland;FIE00142080;603.269;249.603;51.0;15-01-2020;5.9;7.6;2.3
Finland;FIE00142080;603.269;249.603;51.0;16-01-2020;4.5;6.9;3.5
Finland;FIE00142080;603.269;249.603;51.0;17-01-2020;3.7;5.2;1.4
Finland;FIE00142080;603.269;249.603;51.0;18-01-2020;3.3;4.8;1.2
Finland;FIE00142080;603.269;249.603;51.0;19-01-2020;3.5;5.1;1.9
Finland;FIE00142080;603.269;249.603;51.0;20-01-2020;2.8;3.7;0.4
Finland;FIE00142080;603.269;249.603;51.0;21-01-2020;4.9;7.6;2.4
Finland;FIE00142080;603.269;249.603;51.0;22-01-2020;0.6;3.7;-1.1
Finland;FIE00142080;603.269;249.603;51.0;23-01-2020;-0.5;2.7;-4.1
Finland;FIE00142080;603.269;249.603;51.0;24-01-2020;1.2;3.2;-0.5
Finland;FIE00142080;603.269;249.603;51.0;25-01-2020;-0.1;2.0;-1.3
Finland;FIE00142080;603.269;249.603;51.0;26-01-2020;2.3;5.0;-2.7
Finland;FIE00142080;603.269;249.603;51.0;27-01-2020;-0.6;2.3;-1.9
Finland;FIE00142080;603.269;249.603;51.0;28-01-2020;2.3;3.1;0.2
Finland;FIE00142080;603.269;249.603;51.0;29-01-2020;1.3;2.6;0.4
Finland;FIE00142080;603.269;249.603;51.0;30-01-2020;0.8;2.0;0.1
Finland;FIE00142080;603.269;249.603;51.0;31-01-2020;0.9;1.4;0.2
Finland;FIE00142080;603.269;249.603;51.0;01-02-2020;2.1;2.5;0.6
Finland;FIE00142080;603.269;249.603;51.0;02-02-2020;3.8;5.2;1.5
Finland;FIE00142080;603.269;249.603;51.0;03-02-2020;-0.9;1.8;-2.1
Finland;FIE00142080;603.269;249.603;51.0;04-02-2020;-5.4;-1.9;-6.5
Finland;FIE00142080;603.269;249.603;51.0;05-02-2020;-1.5;1.6;-8.9
Finland;FIE00142080;603.269;249.603;51.0;06-02-2020;-4.2;1.7;-6.5
Finland;FIE00142080;603.269;249.603;51.0;07-02-2020;-4.0;-0.9;-9.0
Finland;FIE00142080;603.269;249.603;51.0;08-02-2020;0.8;1.6;-0.9
Finland;FIE00142080;603.269;249.603;51.0;09-02-2020;3.4;3.9;1.5
Finland;FIE00142080;603.269;249.603;51.0;10-02-2020;3.9;4.8;2.7
Finland;FIE00142080;603.269;249.603;51.0;11-02-2020;2.7;4.7;1.4
Finland;FIE00142080;603.269;249.603;51.0;12-02-2020;2.2;4.0;0.1
Finland;FIE00142080;603.269;249.603;51.0;13-02-2020;1.1;2.7;-0.3
Finland;FIE00142080;603.269;249.603;51.0;14-02-2020;-1.5;0.5;-2.5
Finland;FIE00142080;603.269;249.603;51.0;15-02-2020;1.4;2.7;-4.0
Finland;FIE00142080;603.269;249.603;51.0;16-02-2020;3.8;4.4;2.2
Finland;FIE00142080;603.269;249.603;51.0;17-02-2020;4.9;6.4;3.5
Finland;FIE00142080;603.269;249.603;51.0;18-02-2020;5.1;6.5;4.3
Finland;FIE00142080;603.269;249.603;51.0;19-02-2020;3.2;5.1;1.5
Finland;FIE00142080;603.269;249.603;51.0;20-02-2020;0.2;2.5;-1.6
Finland;FIE00142080;603.269;249.603;51.0;21-02-2020;3.1;4.0;-1.4
Finland;FIE00142080;603.269;249.603;51.0;22-02-2020;3.9;5.0;0.9
Finland;FIE00142080;603.269;249.603;51.0;23-02-2020;3.0;5.8;1.0
Finland;FIE00142080;603.269;249.603;51.0;24-02-2020;0.9;3.9;-0.2
Finland;FIE00142080;603.269;249.603;51.0;25-02-2020;-2.4;2.1;-5.3
Finland;FIE00142080;603.269;249.603;51.0;26-02-2020;-1.8;0.4;-4.1
