COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
France;FRM00007149;487.167;23.842;89.0;01-01-2020;1.8;4.0;
France;FRM00007149;487.167;23.842;89.0;02-01-2020;7.1;;3.8
France;FRM00007149;487.167;23.842;89.0;03-01-2020;9.6;;
France;FRM00007149;487.167;23.842;89.0;04-01-2020;6.4;10.5;2.8
France;FRM00007149;487.167;23.842;89.0;05-01-2020;7.0;;
France;FRM00007149;487.167;23.842;89.0;06-01-2020;3.5;8.3;-0.3
France;FRM00007149;487.167;23.842;89.0;07-01-2020;7.6;;5.0
France;FRM00007149;487.167;23.842;89.0;08-01-2020;11.4;;8.4
France;FRM00007149;487.167;23.842;89.0;09-01-2020;11.1;;
France;FRM00007149;487.167;23.842;89.0;10-01-2020;8.2;10.7;
France;FRM00007149;487.167;23.842;89.0;11-01-2020;5.2;9.0;1.8
France;FRM00007149;487.167;23.842;89.0;12-01-2020;6.2;8.4;2.5
France;FRM00007149;487.167;23.842;89.0;13-01-2020;8.5;;6.5
France;FRM00007149;487.167;23.842;89.0;14-01-2020;10.3;12.3;8.9
France;FRM00007149;487.167;23.842;89.0;15-01-2020;10.2;13.2;
France;FRM00007149;487.167;23.842;89.0;16-01-2020;9.0;14.3;
France;FRM00007149;487.167;23.842;89.0;17-01-2020;9.0;12.2;
France;FRM00007149;487.167;23.842;89.0;18-01-2020;5.0;;1.6
France;FRM00007149;487.167;23.842;89.0;19-01-2020;4.2;;0.3
France;FRM00007149;487.167;23.842;89.0;20-01-2020;3.2;;
France;FRM00007149;487.167;23.842;89.0;21-01-2020;1.9;5.5;-1.0
France;FRM00007149;487.167;23.842;89.0;22-01-2020;0.3;4.4;-2.6
France;FRM00007149;487.167;23.842;89.0;23-01-2020;0.8;;-1.0
France;FRM00007149;487.167;23.842;89.0;24-01-2020;0.4;5.0;
France;FRM00007149;487.167;23.842;89.0;25-01-2020;1.8;6.1;-2.2
France;FRM00007149;487.167;23.842;89.0;26-01-2020;5.2;;1.3
France;FRM00007149;487.167;23.842;89.0;27-01-2020;8.7;9.0;7.4
France;FRM00007149;487.167;23.842;89.0;28-01-2020;6.8;9.1;
France;FRM00007149;487.167;23.842;89.0;29-01-2020;6.7;;
France;FRM00007149;487.167;23.842;89.0;30-01-2020;8.1;13.3;2.6
France;FRM00007149;487.167;23.842;89.0;31-01-2020;12.1;14.1;
France;FRM00007149;487.167;23.842;89.0;01-02-2020;12.5;14.6;
France;FRM00007149;487.167;23.842;89.0;02-02-2020;13.0;;11.0
France;FRM00007149;487.167;23.842;89.0;03-02-2020;11.7;;
France;FRM00007149;487.167;23.842;89.0;04-02-2020;7.0;13.7;4.9
France;FRM00007149;487.167;23.842;89.0;05-02-2020;7.0;;
France;FRM00007149;487.167;23.842;89.0;06-02-2020;5.2;;
France;FRM00007149;487.167;23.842;89.0;07-02-2020;5.9;;0.4
France;FRM00007149;487.167;23.842;89.0;08-02-2020;8.8;10.6;
France;FRM00007149;487.167;23.842;89.0;09-02-2020;10.3;;6.9
France;FRM00007149;487.167;23.842;89.0;10-02-2020;10.6;;
France;FRM00007149;487.167;23.842;89.0;11-02-2020;6.6;11.3;
France;FRM00007149;487.167;23.842;89.0;12-02-2020;6.1;9.8;3.5
France;FRM00007149;487.167;23.842;89.0;13-02-2020;8.4;13.2;5.0
France;FRM00007149;487.167;23.842;89.0;14-02-2020;9.3;;7.6
France;FRM00007149;487.167;23.842;89.0;15-02-2020;9.7;13.5;5.9
France;FRM00007149;487.167;23.842;89.0;16-02-2020;14.1;18.2;
France;FRM00007149;487.167;23.842;89.0;17-02-2020;9.0;16.2;
