COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Greece;GR000016716;37.9;23.75;10.0;01-01-2020;8.4;11.8;
Greece;GR000016716;37.9;23.75;10.0;02-01-2020;7.1;8.7;3.7
Greece;GR000016716;37.9;23.75;10.0;03-01-2020;8.9;11.2;6.8
Greece;GR000016716;37.9;23.75;10.0;04-01-2020;10.4;;5.3
Greece;GR000016716;37.9;23.75;10.0;05-01-2020;9.6;13.1;
Greece;GR000016716;37.9;23.75;10.0;06-01-2020;5.4;7.5;
Greece;GR000016716;37.9;23.75;10.0;07-01-2020;5.6;8.4;3.9
Greece;GR000016716;37.9;23.75;10.0;08-01-2020;6.8;9.0;4.4
Greece;GR000016716;37.9;23.75;10.0;09-01-2020;7.2;10.4;4.4
Greece;GR000016716;37.9;23.75;10.0;10-01-2020;8.6;12.6;3.7
Greece;GR000016716;37.9;23.75;10.0;11-01-2020;9.1;;5.9
Greece;GR000016716;37.9;23.75;10.0;12-01-2020;10.6;15.4;7.0
Greece;GR000016716;37.9;23.75;10.0;13-01-2020;11.1;13.6;8.8
Greece;GR000016716;37.9;23.75;10.0;14-01-2020;9.3;;6.8
Greece;GR000016716;37.9;23.75;10.0;15-01-2020;10.9;13.0;7.6
Greece;GR000016716;37.9;23.75;10.0;16-01-2020;11.2;14.2;8.1
Greece;GR000016716;37.9;23.75;10.0;17-01-2020;10.2;11.4;
Greece;GR000016716;37.9;23.75;10.0;18-01-2020;8.7;10.0;7.3
Greece;GR000016716;37.9;23.75;10.0;19-01-2020;8.4;10.6;6.0
Greece;GR000016716;37.9;23.75;10.0;20-01-2020;8.3;10.2;7.0
Greece;GR000016716;37.9;23.75;10.0;21-01-2020;7.6;9.4;
Greece;GR000016716;37.9;23.75;10.0;22-01-2020;8.1;13.6;2.5
Greece;GR000016716;37.9;23.75;10.0;23-01-2020;10.3;16.6;6.2
Greece;GR000016716;37.9;23.75;10.0;24-01-2020;8.6;12.0;5.2
Greece;GR000016716;37.9;23.75;10.0;25-01-2020;10.3;15.0;6.1
Greece;GR000016716;37.9;23.75;10.0;26-01-2020;12.2;15.8;9.6
Greece;GR000016716;37.9;23.75;10.0;27-01-2020;13.1;17.7;
Greece;GR000016716;37.9;23.75;10.0;28-01-2020;12.7;15.8;8.4
Greece;GR000016716;37.9;23.75;10.0;29-01-2020;13.9;20.0;9.4
Greece;GR000016716;37.9;23.75;10.0;30-01-2020;14.3;18.4;
Greece;GR000016716;37.9;23.75;10.0;31-01-2020;12.2;17.1;7.0
Greece;GR000016716;37.9;23.75;10.0;01-02-2020;13.1;18.0;8.4
Greece;GR000016716;37.9;23.75;10.0;02-02-2020;12.8;18.6;9.6
Greece;GR000016716;37.9;23.75;10.0;03-02-2020;13.9;19.4;10.4
Greece;GR000016716;37.9;23.75;10.0;04-02-2020;13.8;18.6;10.2
Greece;GR000016716;37.9;23.75;10.0;05-02-2020;12.4;16.1;
Greece;GR000016716;37.9;23.75;10.0;06-02-2020;5.9;9.1;4.1
Greece;GR000016716;37.9;23.75;10.0;07-02-2020;6.4;9.0;4.0
Greece;GR000016716;37.9;23.75;10.0;08-02-2020;5.8;8.9;
Greece;GR000016716;37.9;23.75;10.0;09-02-2020;7.6;12.4;2.4
Greece;GR000016716;37.9;23.75;10.0;10-02-2020;11.4;16.2;6.7
Greece;GR000016716;37.9;23.75;10.0;11-02-2020;15.2;18.9;12.6
Greece;GR000016716;37.9;23.75;10.0;12-02-2020;15.3;19.4;11.9
Greece;GR000016716;37.9;23.75;10.0;13-02-2020;13.2;18.1;10.7
Greece;GR000016716;37.9;23.75;10.0;14-02-2020;12.7;15.6;9.8
Greece;GR000016716;37.9;23.75;10.0;15-02-2020;12.4;;
Greece;GR000016716;37.9;23.75;10.0;16-02-2020;11.8;15.2;10.0
Greece;GR000016716;37.9;23.75;10.0;17-02-2020;11.9;;9.2
Greece;GR000016716;37.9;23.75;10.0;18-02-2020;11.1;16.6;5.5
Greece;GR000016716;37.9;23.75;10.0;19-02-2020;12.3;17.7;8.8
Greece;GR000016716;37.9;23.75;10.0;20-02-2020;12.4;;
Greece;GR000016716;37.9;23.75;10.0;21-02-2020;9.7;12.5;8.1
Greece;GR000016716;37.9;23.75;10.0;22-02-2020;7.8;11.0;5.2
Greece;GR000016716;37.9;23.75;10.0;23-02-2020;11.2;13.5;
Greece;GR000016716;37.9;23.75;10.0;24-02-2020;12.1;17.5;7.5
Greece;GR000016716;37.9;23.75;10.0;25-02-2020;14.1;18.8;10.0
Greece;GR000016716;37.9;23.75;10.0;26-02-2020;14.6;;10.0
Greece;GR000016716;37.9;23.75;10.0;27-02-2020;14.8;;
Greece;GR000016716;37.9;23.75;10.0;28-02-2020;12.4;16.5;7.9
Greece;GR000016716;37.9;23.75;10.0;29-02-2020;10.6;14.5;7.5
Greece;GR000016716;37.9;23.75;10.0;01-03-2020;11.7;17.9;6.8
Greece;GR000016716;37.9;23.75;10.0;02-03-2020;13.6;;9.1
Greece;GR000016716;37.9;23.75;10.0;03-03-2020;16.9;21.0;11.3
Greece;GR000016716;37.9;23.75;10.0;04-03-2020;16.0;18.8;
Greece;GR000016716;37.9;23.75;10.0;05-03-2020;13.3;18.6;9.8
Greece;GR000016716;37.9;23.75;10.0;06-03-2020;14.1;18.8;9.0
Greece;GR000016716;37.9;23.75;10.0;07-03-2020;15.2;19.4;10.8
Greece;GR000016716;37.9;23.75;10.0;08-03-2020;17.2;19.5;15.2
Greece;GR000016716;37.9;23.75;10.0;09-03-2020;11.1;;9.4
Greece;GR000016716;37.9;23.75;10.0;10-03-2020;13.2;17.0;9.8
Greece;GR000016716;37.9;23.75;10.0;11-03-2020;13.6;17.8;8.5
Greece;GR000016716;37.9;23.75;10.0;12-03-2020;15.2;20.1;8.5
Greece;GR000016716;37.9;23.75;10.0;13-03-2020;19.3;;
Greece;GR000016716;37.9;23.75;10.0;14-03-2020;16.6;21.6;
Greece;GR000016716;37.9;23.75;10.0;15-03-2020;14.9;20.0;11.6
Greece;GR000016716;37.9;23.75;10.0;16-03-2020;9.7;10.8;8.3
Greece;GR000016716;37.9;23.75;10.0;17-03-2020;10.6;;7.2
Greece;GR000016716;37.9;23.75;10.0;18-03-2020;11.8;18.6;5.5
Greece;GR000016716;37.9;23.75;10.0;19-03-2020;11.7;16.2;8.6
Greece;GR000016716;37.9;23.75;10.0;20-03-2020;13.8;19.6;6.7
Greece;GR000016716;37.9;23.75;10.0;21-03-2020;15.0;21.9;9.3
Greece;GR000016716;37.9;23.75;10.0;22-03-2020;14.8;18.0;12.2
Greece;GR000016716;37.9;23.75;10.0;23-03-2020;15.0;20.0;12.4
Greece;GR000016716;37.9;23.75;10.0;24-03-2020;14.7;19.9;11.0
Greece;GR000016716;37.9;23.75;10.0;25-03-2020;12.1;14.6;9.8
Greece;GR000016716;37.9;23.75;10.0;26-03-2020;12.2;;10.4
Greece;GR000016716;37.9;23.75;10.0;27-03-2020;11.4;13.0;
Greece;GR000016716;37.9;23.75;10.0;28-03-2020;12.6;18.0;7.6
Greece;GR000016716;37.9;23.75;10.0;29-03-2020;13.5;18.5;9.0
Greece;GR000016716;37.9;23.75;10.0;30-03-2020;14.4;20.1;10.0
Greece;GR000016716;37.9;23.75;10.0;31-03-2020;16.1;21.5;11.4
Greece;GR000016716;37.9;23.75;10.0;01-04-2020;13.8;17.8;10.3
Greece;GR000016716;37.9;23.75;10.0;02-04-2020;12.9;16.4;9.0
Greece;GR000016716;37.9;23.75;10.0;03-04-2020;11.3;;9.5
Greece;GR000016716;37.9;23.75;10.0;04-04-2020;12.3;;
Greece;GR000016716;37.9;23.75;10.0;05-04-2020;12.1;14.8;9.4
Greece;GR000016716;37.9;23.75;10.0;06-04-2020;10.4;12.0;9.1
Greece;GR000016716;37.9;23.75;10.0;07-04-2020;10.8;;9.3
Greece;GR000016716;37.9;23.75;10.0;08-04-2020;13.2;16.8;10.6
Greece;GR000016716;37.9;23.75;10.0;09-04-2020;15.1;19.6;11.1
Greece;GR000016716;37.9;23.75;10.0;10-04-2020;17.7;;11.5
Greece;GR000016716;37.9;23.75;10.0;11-04-2020;18.8;;10.6
Greece;GR000016716;37.9;23.75;10.0;12-04-2020;18.1;25.4;12.0
Greece;GR000016716;37.9;23.75;10.0;13-04-2020;17.3;23.2;11.2
Greece;GR000016716;37.9;23.75;10.0;14-04-2020;17.4;24.2;11.2
Greece;GR000016716;37.9;23.75;10.0;15-04-2020;16.4;20.8;
Greece;GR000016716;37.9;23.75;10.0;16-04-2020;14.4;;11.1
Greece;GR000016716;37.9;23.75;10.0;17-04-2020;15.4;21.4;9.4
Greece;GR000016716;37.9;23.75;10.0;18-04-2020;16.9;22.4;11.6
Greece;GR000016716;37.9;23.75;10.0;19-04-2020;17.9;23.3;12.8
Greece;GR000016716;37.9;23.75;10.0;20-04-2020;17.4;22.1;13.5
Greece;GR000016716;37.9;23.75;10.0;21-04-2020;16.9;20.8;
Greece;GR000016716;37.9;23.75;10.0;22-04-2020;13.3;16.6;11.0
Greece;GR000016716;37.9;23.75;10.0;23-04-2020;14.8;17.8;11.7
Greece;GR000016716;37.9;23.75;10.0;24-04-2020;17.2;20.8;9.2
Greece;GR000016716;37.9;23.75;10.0;25-04-2020;18.3;23.3;8.9
Greece;GR000016716;37.9;23.75;10.0;26-04-2020;18.4;22.8;12.6
Greece;GR000016716;37.9;23.75;10.0;27-04-2020;19.3;23.0;12.6
Greece;GR000016716;37.9;23.75;10.0;28-04-2020;20.9;25.2;12.8
Greece;GR000016716;37.9;23.75;10.0;29-04-2020;20.8;23.2;14.2
Greece;GR000016716;37.9;23.75;10.0;30-04-2020;20.3;25.4;16.8
Greece;GR000016716;37.9;23.75;10.0;01-05-2020;20.0;25.0;15.2
Greece;GR000016716;37.9;23.75;10.0;02-05-2020;19.8;24.4;15.4
Greece;GR000016716;37.9;23.75;10.0;03-05-2020;20.4;25.0;16.4
Greece;GR000016716;37.9;23.75;10.0;04-05-2020;18.7;23.4;15.4
Greece;GR000016716;37.9;23.75;10.0;05-05-2020;18.6;24.8;12.5
Greece;GR000016716;37.9;23.75;10.0;06-05-2020;20.7;25.8;14.9
Greece;GR000016716;37.9;23.75;10.0;07-05-2020;17.7;20.4;
Greece;GR000016716;37.9;23.75;10.0;08-05-2020;18.8;;14.2
Greece;GR000016716;37.9;23.75;10.0;09-05-2020;19.2;25.8;13.1
Greece;GR000016716;37.9;23.75;10.0;10-05-2020;20.2;24.6;15.0
Greece;GR000016716;37.9;23.75;10.0;11-05-2020;20.9;26.0;16.3
Greece;GR000016716;37.9;23.75;10.0;12-05-2020;23.4;28.4;19.1
Greece;GR000016716;37.9;23.75;10.0;13-05-2020;23.0;29.3;16.9
Greece;GR000016716;37.9;23.75;10.0;14-05-2020;23.3;29.5;17.1
Greece;GR000016716;37.9;23.75;10.0;15-05-2020;25.0;;18.2
Greece;GR000016716;37.9;23.75;10.0;16-05-2020;26.5;34.4;20.2
Greece;GR000016716;37.9;23.75;10.0;17-05-2020;27.6;35.2;21.4
Greece;GR000016716;37.9;23.75;10.0;18-05-2020;25.6;31.8;19.7
Greece;GR000016716;37.9;23.75;10.0;19-05-2020;26.4;33.8;21.2
Greece;GR000016716;37.9;23.75;10.0;20-05-2020;24.7;31.4;
Greece;GR000016716;37.9;23.75;10.0;21-05-2020;23.0;27.4;20.3
Greece;GR000016716;37.9;23.75;10.0;22-05-2020;19.6;23.4;17.0
Greece;GR000016716;37.9;23.75;10.0;23-05-2020;20.4;27.6;14.4
Greece;GR000016716;37.9;23.75;10.0;24-05-2020;20.6;24.9;16.0
Greece;GR000016716;37.9;23.75;10.0;25-05-2020;21.1;25.2;
Greece;GR000016716;37.9;23.75;10.0;26-05-2020;16.1;22.8;
Greece;GR000016716;37.9;23.75;10.0;27-05-2020;15.8;19.2;11.9
Greece;GR000016716;37.9;23.75;10.0;28-05-2020;17.3;;13.1
Greece;GR000016716;37.9;23.75;10.0;29-05-2020;18.7;24.2;13.1
Greece;GR000016716;37.9;23.75;10.0;30-05-2020;19.7;24.4;14.8
Greece;GR000016716;37.9;23.75;10.0;31-05-2020;19.6;24.4;16.5
Greece;GR000016716;37.9;23.75;10.0;01-06-2020;19.2;26.0;15.1
Greece;GR000016716;37.9;23.75;10.0;02-06-2020;19.6;24.7;14.3
Greece;GR000016716;37.9;23.75;10.0;03-06-2020;20.8;26.0;16.6
Greece;GR000016716;37.9;23.75;10.0;04-06-2020;22.3;26.6;15.8
Greece;GR000016716;37.9;23.75;10.0;05-06-2020;22.0;26.8;16.5
Greece;GR000016716;37.9;23.75;10.0;06-06-2020;23.2;27.8;19.0
Greece;GR000016716;37.9;23.75;10.0;07-06-2020;22.8;27.4;18.1
Greece;GR000016716;37.9;23.75;10.0;08-06-2020;23.9;28.6;19.2
Greece;GR000016716;37.9;23.75;10.0;09-06-2020;24.2;28.6;19.8
