COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Iceland;IC000004030;641.269;-219.025;52.0;01-01-2020;2.1;6.4;
Iceland;IC000004030;641.269;-219.025;52.0;02-01-2020;-2.4;1.1;-5.3
Iceland;IC000004030;641.269;-219.025;52.0;03-01-2020;-5.6;-2.9;
Iceland;IC000004030;641.269;-219.025;52.0;04-01-2020;0.8;;
Iceland;IC000004030;641.269;-219.025;52.0;05-01-2020;2.8;;
Iceland;IC000004030;641.269;-219.025;52.0;06-01-2020;2.6;;
Iceland;IC000004030;641.269;-219.025;52.0;07-01-2020;1.0;;
Iceland;IC000004030;641.269;-219.025;52.0;08-01-2020;-0.8;;-3.7
Iceland;IC000004030;641.269;-219.025;52.0;09-01-2020;-2.0;0.8;-4.3
Iceland;IC000004030;641.269;-219.025;52.0;10-01-2020;1.6;;-3.9
Iceland;IC000004030;641.269;-219.025;52.0;11-01-2020;-0.1;4.8;
Iceland;IC000004030;641.269;-219.025;52.0;12-01-2020;-2.7;-0.4;-5.2
Iceland;IC000004030;641.269;-219.025;52.0;13-01-2020;-0.3;;-2.6
Iceland;IC000004030;641.269;-219.025;52.0;14-01-2020;1.8;2.6;0.3
Iceland;IC000004030;641.269;-219.025;52.0;15-01-2020;0.8;;
Iceland;IC000004030;641.269;-219.025;52.0;16-01-2020;2.4;3.3;-0.2
Iceland;IC000004030;641.269;-219.025;52.0;17-01-2020;-0.5;2.2;
Iceland;IC000004030;641.269;-219.025;52.0;18-01-2020;-0.8;;
Iceland;IC000004030;641.269;-219.025;52.0;19-01-2020;5.4;8.2;-0.7
Iceland;IC000004030;641.269;-219.025;52.0;20-01-2020;1.3;;
Iceland;IC000004030;641.269;-219.025;52.0;21-01-2020;2.2;;-0.5
Iceland;IC000004030;641.269;-219.025;52.0;22-01-2020;4.9;8.5;
Iceland;IC000004030;641.269;-219.025;52.0;23-01-2020;-0.7;2.4;-2.8
Iceland;IC000004030;641.269;-219.025;52.0;24-01-2020;0.3;;-1.9
Iceland;IC000004030;641.269;-219.025;52.0;25-01-2020;2.1;4.1;-0.7
Iceland;IC000004030;641.269;-219.025;52.0;26-01-2020;1.9;3.2;0.0
Iceland;IC000004030;641.269;-219.025;52.0;27-01-2020;0.6;2.3;-1.6
Iceland;IC000004030;641.269;-219.025;52.0;28-01-2020;-0.3;2.1;
Iceland;IC000004030;641.269;-219.025;52.0;29-01-2020;-3.1;1.9;
