COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Italy;IT000162240;420.828;122.167;266.0;01-01-2020;7.8;14.3;3.5
Italy;IT000162240;420.828;122.167;266.0;02-01-2020;8.8;14.0;
Italy;IT000162240;420.828;122.167;266.0;03-01-2020;8.8;14.5;
Italy;IT000162240;420.828;122.167;266.0;04-01-2020;9.0;12.0;6.8
Italy;IT000162240;420.828;122.167;266.0;05-01-2020;8.4;;
Italy;IT000162240;420.828;122.167;266.0;06-01-2020;7.5;;4.2
Italy;IT000162240;420.828;122.167;266.0;07-01-2020;5.8;9.1;2.9
Italy;IT000162240;420.828;122.167;266.0;08-01-2020;8.4;14.4;4.7
Italy;IT000162240;420.828;122.167;266.0;09-01-2020;7.6;;
Italy;IT000162240;420.828;122.167;266.0;10-01-2020;7.9;13.6;4.6
Italy;IT000162240;420.828;122.167;266.0;11-01-2020;7.9;;
Italy;IT000162240;420.828;122.167;266.0;12-01-2020;8.4;13.5;5.6
Italy;IT000162240;420.828;122.167;266.0;13-01-2020;6.9;;3.9
Italy;IT000162240;420.828;122.167;266.0;14-01-2020;7.9;12.1;4.9
Italy;IT000162240;420.828;122.167;266.0;15-01-2020;8.3;;4.9
Italy;IT000162240;420.828;122.167;266.0;16-01-2020;8.4;14.4;4.8
Italy;IT000162240;420.828;122.167;266.0;17-01-2020;8.9;13.1;
Italy;IT000162240;420.828;122.167;266.0;18-01-2020;8.2;10.1;7.0
Italy;IT000162240;420.828;122.167;266.0;19-01-2020;8.8;12.6;6.0
Italy;IT000162240;420.828;122.167;266.0;20-01-2020;8.2;;
Italy;IT000162240;420.828;122.167;266.0;21-01-2020;8.4;11.6;
Italy;IT000162240;420.828;122.167;266.0;22-01-2020;8.7;15.0;
Italy;IT000162240;420.828;122.167;266.0;23-01-2020;8.4;;4.9
Italy;IT000162240;420.828;122.167;266.0;24-01-2020;8.1;10.4;5.0
Italy;IT000162240;420.828;122.167;266.0;25-01-2020;10.3;14.2;8.5
Italy;IT000162240;420.828;122.167;266.0;26-01-2020;9.3;12.7;
Italy;IT000162240;420.828;122.167;266.0;27-01-2020;9.3;13.8;5.5
Italy;IT000162240;420.828;122.167;266.0;28-01-2020;11.3;12.3;9.0
Italy;IT000162240;420.828;122.167;266.0;29-01-2020;10.0;14.2;6.7
Italy;IT000162240;420.828;122.167;266.0;30-01-2020;9.9;15.1;
Italy;IT000162240;420.828;122.167;266.0;31-01-2020;10.4;12.4;8.9
Italy;IT000162240;420.828;122.167;266.0;01-02-2020;10.9;12.5;9.9
Italy;IT000162240;420.828;122.167;266.0;02-02-2020;12.1;15.4;10.7
Italy;IT000162240;420.828;122.167;266.0;03-02-2020;12.7;17.0;
Italy;IT000162240;420.828;122.167;266.0;04-02-2020;11.5;17.9;
Italy;IT000162240;420.828;122.167;266.0;05-02-2020;7.8;12.0;
Italy;IT000162240;420.828;122.167;266.0;06-02-2020;7.0;10.4;
Italy;IT000162240;420.828;122.167;266.0;07-02-2020;7.3;13.7;
Italy;IT000162240;420.828;122.167;266.0;08-02-2020;7.3;14.4;2.5
Italy;IT000162240;420.828;122.167;266.0;09-02-2020;8.4;13.8;
