COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Latvia;LH000026730;546.331;25.1;156.0;01-01-2020;1.0;3.3;
Latvia;LH000026730;546.331;25.1;156.0;02-01-2020;1.3;;
Latvia;LH000026730;546.331;25.1;156.0;03-01-2020;-0.7;4.0;
Latvia;LH000026730;546.331;25.1;156.0;04-01-2020;1.0;;
Latvia;LH000026730;546.331;25.1;156.0;05-01-2020;-1.3;0.3;
Latvia;LH000026730;546.331;25.1;156.0;06-01-2020;-1.7;0.0;
Latvia;LH000026730;546.331;25.1;156.0;07-01-2020;0.0;0.5;
Latvia;LH000026730;546.331;25.1;156.0;08-01-2020;0.2;;
Latvia;LH000026730;546.331;25.1;156.0;09-01-2020;2.6;;
Latvia;LH000026730;546.331;25.1;156.0;10-01-2020;3.8;;0.8
Latvia;LH000026730;546.331;25.1;156.0;11-01-2020;2.6;;
Latvia;LH000026730;546.331;25.1;156.0;12-01-2020;1.9;3.5;
Latvia;LH000026730;546.331;25.1;156.0;13-01-2020;1.8;;
Latvia;LH000026730;546.331;25.1;156.0;14-01-2020;2.7;3.6;
Latvia;LH000026730;546.331;25.1;156.0;15-01-2020;3.0;6.7;1.0
Latvia;LH000026730;546.331;25.1;156.0;16-01-2020;4.4;6.8;
Latvia;LH000026730;546.331;25.1;156.0;17-01-2020;1.2;;
Latvia;LH000026730;546.331;25.1;156.0;18-01-2020;-0.7;0.7;
Latvia;LH000026730;546.331;25.1;156.0;19-01-2020;0.8;2.2;
Latvia;LH000026730;546.331;25.1;156.0;20-01-2020;2.2;3.1;
Latvia;LH000026730;546.331;25.1;156.0;21-01-2020;3.3;;
Latvia;LH000026730;546.331;25.1;156.0;22-01-2020;2.5;4.4;
Latvia;LH000026730;546.331;25.1;156.0;23-01-2020;0.7;2.6;
Latvia;LH000026730;546.331;25.1;156.0;24-01-2020;2.3;3.5;-0.2
Latvia;LH000026730;546.331;25.1;156.0;25-01-2020;3.2;5.3;
Latvia;LH000026730;546.331;25.1;156.0;26-01-2020;1.8;3.6;
