COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Moldova;MD000033815;47.02;28.87;173.0;01-01-2020;2.1;;
Moldova;MD000033815;47.02;28.87;173.0;02-01-2020;-0.8;3.0;-3.4
Moldova;MD000033815;47.02;28.87;173.0;03-01-2020;2.7;6.2;-2.2
Moldova;MD000033815;47.02;28.87;173.0;04-01-2020;2.6;8.2;-3.6
Moldova;MD000033815;47.02;28.87;173.0;05-01-2020;0.8;2.7;-0.4
Moldova;MD000033815;47.02;28.87;173.0;06-01-2020;-0.3;0.9;
Moldova;MD000033815;47.02;28.87;173.0;07-01-2020;-2.9;-0.1;-4.4
Moldova;MD000033815;47.02;28.87;173.0;08-01-2020;-2.4;1.7;-5.7
Moldova;MD000033815;47.02;28.87;173.0;09-01-2020;-1.8;1.3;-5.8
Moldova;MD000033815;47.02;28.87;173.0;10-01-2020;1.6;6.1;-0.7
Moldova;MD000033815;47.02;28.87;173.0;11-01-2020;2.7;;-1.7
Moldova;MD000033815;47.02;28.87;173.0;12-01-2020;2.2;4.8;
Moldova;MD000033815;47.02;28.87;173.0;13-01-2020;1.8;7.9;-3.5
Moldova;MD000033815;47.02;28.87;173.0;14-01-2020;2.1;7.2;-1.7
Moldova;MD000033815;47.02;28.87;173.0;15-01-2020;-1.6;0.4;-3.2
Moldova;MD000033815;47.02;28.87;173.0;16-01-2020;0.4;3.8;-2.1
Moldova;MD000033815;47.02;28.87;173.0;17-01-2020;-0.1;2.1;-1.9
Moldova;MD000033815;47.02;28.87;173.0;18-01-2020;-1.0;-0.3;
Moldova;MD000033815;47.02;28.87;173.0;19-01-2020;-1.6;-0.5;
Moldova;MD000033815;47.02;28.87;173.0;20-01-2020;-1.8;;
Moldova;MD000033815;47.02;28.87;173.0;21-01-2020;1.9;5.9;-1.6
Moldova;MD000033815;47.02;28.87;173.0;22-01-2020;5.4;11.7;2.3
Moldova;MD000033815;47.02;28.87;173.0;23-01-2020;1.9;4.5;
Moldova;MD000033815;47.02;28.87;173.0;24-01-2020;0.4;5.9;-4.4
