COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Montenegro;MJE00175553;424.375;192.781;49.0;01-01-2020;;12.1;2.5
Montenegro;MJE00175553;424.375;192.781;49.0;02-01-2020;;11.2;1.8
Montenegro;MJE00175553;424.375;192.781;49.0;03-01-2020;;14.1;-1.9
Montenegro;MJE00175553;424.375;192.781;49.0;04-01-2020;;10.7;-0.2
Montenegro;MJE00175553;424.375;192.781;49.0;05-01-2020;;10.9;1.8
Montenegro;MJE00175553;424.375;192.781;49.0;06-01-2020;;6.9;3.2
Montenegro;MJE00175553;424.375;192.781;49.0;07-01-2020;;10.1;-0.2
Montenegro;MJE00175553;424.375;192.781;49.0;08-01-2020;;12.5;-0.5
Montenegro;MJE00175553;424.375;192.781;49.0;09-01-2020;;12.5;-2.6
Montenegro;MJE00175553;424.375;192.781;49.0;10-01-2020;;12.9;-2.6
Montenegro;MJE00175553;424.375;192.781;49.0;11-01-2020;;14.9;0.7
Montenegro;MJE00175553;424.375;192.781;49.0;12-01-2020;;13.5;4.3
Montenegro;MJE00175553;424.375;192.781;49.0;13-01-2020;;13.0;2.1
Montenegro;MJE00175553;424.375;192.781;49.0;14-01-2020;;13.9;0.1
Montenegro;MJE00175553;424.375;192.781;49.0;15-01-2020;;14.6;0.4
Montenegro;MJE00175553;424.375;192.781;49.0;16-01-2020;;14.8;-0.5
Montenegro;MJE00175553;424.375;192.781;49.0;17-01-2020;;15.1;-1.1
Montenegro;MJE00175553;424.375;192.781;49.0;18-01-2020;;12.9;-1.5
Montenegro;MJE00175553;424.375;192.781;49.0;19-01-2020;;9.3;4.7
Montenegro;MJE00175553;424.375;192.781;49.0;20-01-2020;;11.7;3.0
Montenegro;MJE00175553;424.375;192.781;49.0;21-01-2020;;10.5;-2.5
Montenegro;MJE00175553;424.375;192.781;49.0;22-01-2020;;10.5;-3.0
Montenegro;MJE00175553;424.375;192.781;49.0;24-01-2020;;11.7;-2.0
Montenegro;MJE00175553;424.375;192.781;49.0;25-01-2020;;9.6;6.6
Montenegro;MJE00175553;424.375;192.781;49.0;26-01-2020;;9.8;6.6
Montenegro;MJE00175553;424.375;192.781;49.0;27-01-2020;;12.8;8.0
Montenegro;MJE00175553;424.375;192.781;49.0;28-01-2020;;10.8;7.2
Montenegro;MJE00175553;424.375;192.781;49.0;29-01-2020;;14.3;9.2
Montenegro;MJE00175553;424.375;192.781;49.0;30-01-2020;;14.8;4.4
Montenegro;MJE00175553;424.375;192.781;49.0;31-01-2020;;10.7;0.9
Montenegro;MJE00175553;424.375;192.781;49.0;01-02-2020;;17.4;7.4
Montenegro;MJE00175553;424.375;192.781;49.0;02-02-2020;;17.6;9.4
Montenegro;MJE00175553;424.375;192.781;49.0;03-02-2020;;14.5;8.4
Montenegro;MJE00175553;424.375;192.781;49.0;04-02-2020;;12.6;10.2
Montenegro;MJE00175553;424.375;192.781;49.0;05-02-2020;;11.0;6.7
Montenegro;MJE00175553;424.375;192.781;49.0;06-02-2020;;7.5;3.2
Montenegro;MJE00175553;424.375;192.781;49.0;07-02-2020;;10.8;1.2
Montenegro;MJE00175553;424.375;192.781;49.0;08-02-2020;;13.2;1.6
Montenegro;MJE00175553;424.375;192.781;49.0;09-02-2020;;13.4;0.0
Montenegro;MJE00175553;424.375;192.781;49.0;10-02-2020;;11.0;4.9
Montenegro;MJE00175553;424.375;192.781;49.0;11-02-2020;;15.8;7.6
Montenegro;MJE00175553;424.375;192.781;49.0;12-02-2020;;16.3;10.0
Montenegro;MJE00175553;424.375;192.781;49.0;13-02-2020;;17.0;5.4
Montenegro;MJE00175553;424.375;192.781;49.0;14-02-2020;;10.3;6.3
Montenegro;MJE00175553;424.375;192.781;49.0;15-02-2020;;15.3;10.8
Montenegro;MJE00175553;424.375;192.781;49.0;16-02-2020;;17.4;2.3
Montenegro;MJE00175553;424.375;192.781;49.0;17-02-2020;;18.4;1.8
Montenegro;MJE00175553;424.375;192.781;49.0;18-02-2020;;18.3;1.8
Montenegro;MJE00175553;424.375;192.781;49.0;19-02-2020;;17.4;6.9
Montenegro;MJE00175553;424.375;192.781;49.0;20-02-2020;;12.3;7.8
Montenegro;MJE00175553;424.375;192.781;49.0;21-02-2020;;14.5;5.8
Montenegro;MJE00175553;424.375;192.781;49.0;22-02-2020;;;7.9
Montenegro;MJE00175553;424.375;192.781;49.0;23-02-2020;;15.8;1.5
Montenegro;MJE00175553;424.375;192.781;49.0;24-02-2020;;17.3;3.0
Montenegro;MJE00175553;424.375;192.781;49.0;25-02-2020;;19.2;4.7
Montenegro;MJE00175553;424.375;192.781;49.0;26-02-2020;;15.2;13.4
Montenegro;MJE00175553;424.375;192.781;49.0;27-02-2020;;14.0;6.7
Montenegro;MJE00175553;424.375;192.781;49.0;28-02-2020;;12.5;4.7
Montenegro;MJE00175553;424.375;192.781;49.0;29-02-2020;;12.7;2.0
Montenegro;MJE00175553;424.375;192.781;49.0;01-03-2020;;8.7;1.4
Montenegro;MJE00175553;424.375;192.781;49.0;02-03-2020;;19.2;7.6
Montenegro;MJE00175553;424.375;192.781;49.0;03-03-2020;;16.7;14.1
