COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Poland;PLM00012375;52.166;20.967;110.3;01-01-2020;1.4;5.6;0.8
Poland;PLM00012375;52.166;20.967;110.3;02-01-2020;0.8;3.1;
Poland;PLM00012375;52.166;20.967;110.3;03-01-2020;0.5;;
Poland;PLM00012375;52.166;20.967;110.3;04-01-2020;3.7;5.3;
Poland;PLM00012375;52.166;20.967;110.3;05-01-2020;0.4;;
Poland;PLM00012375;52.166;20.967;110.3;06-01-2020;-0.1;;
Poland;PLM00012375;52.166;20.967;110.3;07-01-2020;1.1;;
Poland;PLM00012375;52.166;20.967;110.3;08-01-2020;3.5;;0.0
Poland;PLM00012375;52.166;20.967;110.3;09-01-2020;5.9;;4.2
Poland;PLM00012375;52.166;20.967;110.3;10-01-2020;7.3;9.1;5.8
Poland;PLM00012375;52.166;20.967;110.3;11-01-2020;5.6;8.9;
Poland;PLM00012375;52.166;20.967;110.3;12-01-2020;3.7;;2.0
Poland;PLM00012375;52.166;20.967;110.3;13-01-2020;4.8;;2.0
Poland;PLM00012375;52.166;20.967;110.3;14-01-2020;3.2;6.2;
Poland;PLM00012375;52.166;20.967;110.3;15-01-2020;4.9;;
Poland;PLM00012375;52.166;20.967;110.3;16-01-2020;3.6;;
Poland;PLM00012375;52.166;20.967;110.3;17-01-2020;-0.3;2.3;
Poland;PLM00012375;52.166;20.967;110.3;18-01-2020;2.6;;
Poland;PLM00012375;52.166;20.967;110.3;19-01-2020;2.8;;
Poland;PLM00012375;52.166;20.967;110.3;20-01-2020;2.1;;
Poland;PLM00012375;52.166;20.967;110.3;21-01-2020;2.4;;-0.2
Poland;PLM00012375;52.166;20.967;110.3;22-01-2020;2.8;;
Poland;PLM00012375;52.166;20.967;110.3;23-01-2020;0.7;3.2;-1.0
Poland;PLM00012375;52.166;20.967;110.3;24-01-2020;1.2;;-1.1
Poland;PLM00012375;52.166;20.967;110.3;25-01-2020;0.6;1.7;
Poland;PLM00012375;52.166;20.967;110.3;26-01-2020;-0.2;;
Poland;PLM00012375;52.166;20.967;110.3;27-01-2020;0.8;;
Poland;PLM00012375;52.166;20.967;110.3;28-01-2020;1.4;4.3;
Poland;PLM00012375;52.166;20.967;110.3;29-01-2020;2.3;;
Poland;PLM00012375;52.166;20.967;110.3;30-01-2020;3.3;;0.8
Poland;PLM00012375;52.166;20.967;110.3;31-01-2020;6.4;;2.3
Poland;PLM00012375;52.166;20.967;110.3;01-02-2020;9.4;;5.9
Poland;PLM00012375;52.166;20.967;110.3;02-02-2020;7.1;10.9;
Poland;PLM00012375;52.166;20.967;110.3;03-02-2020;3.9;;
Poland;PLM00012375;52.166;20.967;110.3;04-02-2020;4.9;6.1;1.6
Poland;PLM00012375;52.166;20.967;110.3;05-02-2020;0.6;3.4;
Poland;PLM00012375;52.166;20.967;110.3;06-02-2020;2.2;;-1.2
Poland;PLM00012375;52.166;20.967;110.3;07-02-2020;0.0;4.8;-2.4
Poland;PLM00012375;52.166;20.967;110.3;08-02-2020;0.3;;
Poland;PLM00012375;52.166;20.967;110.3;09-02-2020;2.6;;-3.2
Poland;PLM00012375;52.166;20.967;110.3;10-02-2020;6.2;;2.7
Poland;PLM00012375;52.166;20.967;110.3;11-02-2020;3.9;6.0;
Poland;PLM00012375;52.166;20.967;110.3;12-02-2020;3.7;5.0;
Poland;PLM00012375;52.166;20.967;110.3;13-02-2020;2.9;6.1;
Poland;PLM00012375;52.166;20.967;110.3;14-02-2020;1.4;2.2;
Poland;PLM00012375;52.166;20.967;110.3;15-02-2020;0.7;4.3;
Poland;PLM00012375;52.166;20.967;110.3;16-02-2020;6.6;;
Poland;PLM00012375;52.166;20.967;110.3;17-02-2020;10.6;;
Poland;PLM00012375;52.166;20.967;110.3;18-02-2020;6.3;11.1;2.9
Poland;PLM00012375;52.166;20.967;110.3;19-02-2020;4.9;;1.8
Poland;PLM00012375;52.166;20.967;110.3;20-02-2020;2.8;6.6;
Poland;PLM00012375;52.166;20.967;110.3;21-02-2020;2.7;;
Poland;PLM00012375;52.166;20.967;110.3;22-02-2020;5.4;;0.0
Poland;PLM00012375;52.166;20.967;110.3;23-02-2020;5.8;11.1;
Poland;PLM00012375;52.166;20.967;110.3;24-02-2020;3.7;;
Poland;PLM00012375;52.166;20.967;110.3;25-02-2020;6.4;;
Poland;PLM00012375;52.166;20.967;110.3;26-02-2020;5.1;9.5;
Poland;PLM00012375;52.166;20.967;110.3;27-02-2020;1.4;5.2;
Poland;PLM00012375;52.166;20.967;110.3;28-02-2020;0.9;5.1;
Poland;PLM00012375;52.166;20.967;110.3;29-02-2020;4.1;8.0;
Poland;PLM00012375;52.166;20.967;110.3;01-03-2020;7.4;;
Poland;PLM00012375;52.166;20.967;110.3;02-03-2020;4.8;8.3;
Poland;PLM00012375;52.166;20.967;110.3;03-03-2020;6.5;;
Poland;PLM00012375;52.166;20.967;110.3;04-03-2020;5.3;10.3;
Poland;PLM00012375;52.166;20.967;110.3;05-03-2020;3.8;9.0;-2.4
Poland;PLM00012375;52.166;20.967;110.3;06-03-2020;4.1;7.1;
Poland;PLM00012375;52.166;20.967;110.3;07-03-2020;5.8;10.1;
Poland;PLM00012375;52.166;20.967;110.3;08-03-2020;4.8;;
Poland;PLM00012375;52.166;20.967;110.3;09-03-2020;4.1;;
Poland;PLM00012375;52.166;20.967;110.3;10-03-2020;6.9;;
Poland;PLM00012375;52.166;20.967;110.3;11-03-2020;8.7;;
Poland;PLM00012375;52.166;20.967;110.3;12-03-2020;8.4;16.1;1.4
Poland;PLM00012375;52.166;20.967;110.3;13-03-2020;5.8;;
Poland;PLM00012375;52.166;20.967;110.3;14-03-2020;1.4;5.5;
Poland;PLM00012375;52.166;20.967;110.3;15-03-2020;-0.3;;
Poland;PLM00012375;52.166;20.967;110.3;16-03-2020;5.3;;-3.3
Poland;PLM00012375;52.166;20.967;110.3;17-03-2020;7.2;14.0;
Poland;PLM00012375;52.166;20.967;110.3;18-03-2020;10.5;17.1;2.7
Poland;PLM00012375;52.166;20.967;110.3;19-03-2020;9.6;14.1;2.9
Poland;PLM00012375;52.166;20.967;110.3;20-03-2020;7.8;10.6;3.4
Poland;PLM00012375;52.166;20.967;110.3;21-03-2020;3.6;7.8;
Poland;PLM00012375;52.166;20.967;110.3;22-03-2020;0.7;;-2.3
Poland;PLM00012375;52.166;20.967;110.3;23-03-2020;0.6;4.3;-4.3
Poland;PLM00012375;52.166;20.967;110.3;24-03-2020;1.1;6.1;
Poland;PLM00012375;52.166;20.967;110.3;25-03-2020;3.1;;-4.1
Poland;PLM00012375;52.166;20.967;110.3;26-03-2020;6.4;;-1.4
Poland;PLM00012375;52.166;20.967;110.3;27-03-2020;9.4;;1.1
Poland;PLM00012375;52.166;20.967;110.3;28-03-2020;9.9;;
Poland;PLM00012375;52.166;20.967;110.3;29-03-2020;5.3;;
Poland;PLM00012375;52.166;20.967;110.3;30-03-2020;-0.1;;
Poland;PLM00012375;52.166;20.967;110.3;31-03-2020;0.3;;-5.1
Poland;PLM00012375;52.166;20.967;110.3;01-04-2020;2.5;;
Poland;PLM00012375;52.166;20.967;110.3;02-04-2020;4.4;;
Poland;PLM00012375;52.166;20.967;110.3;03-04-2020;6.6;;0.2
Poland;PLM00012375;52.166;20.967;110.3;04-04-2020;4.6;;
Poland;PLM00012375;52.166;20.967;110.3;05-04-2020;6.5;;
Poland;PLM00012375;52.166;20.967;110.3;06-04-2020;11.3;;
Poland;PLM00012375;52.166;20.967;110.3;07-04-2020;13.4;;
Poland;PLM00012375;52.166;20.967;110.3;08-04-2020;12.6;;
Poland;PLM00012375;52.166;20.967;110.3;09-04-2020;14.2;;3.5
Poland;PLM00012375;52.166;20.967;110.3;10-04-2020;9.6;15.8;3.0
Poland;PLM00012375;52.166;20.967;110.3;11-04-2020;9.5;;4.0
Poland;PLM00012375;52.166;20.967;110.3;12-04-2020;11.8;;
Poland;PLM00012375;52.166;20.967;110.3;13-04-2020;8.4;16.5;
Poland;PLM00012375;52.166;20.967;110.3;14-04-2020;3.5;8.5;
Poland;PLM00012375;52.166;20.967;110.3;15-04-2020;5.5;;
Poland;PLM00012375;52.166;20.967;110.3;16-04-2020;11.6;;
Poland;PLM00012375;52.166;20.967;110.3;17-04-2020;9.1;15.0;0.6
Poland;PLM00012375;52.166;20.967;110.3;18-04-2020;7.8;;0.2
Poland;PLM00012375;52.166;20.967;110.3;19-04-2020;7.4;;0.1
Poland;PLM00012375;52.166;20.967;110.3;20-04-2020;9.4;;1.5
Poland;PLM00012375;52.166;20.967;110.3;21-04-2020;11.1;;3.9
Poland;PLM00012375;52.166;20.967;110.3;22-04-2020;12.6;;
Poland;PLM00012375;52.166;20.967;110.3;23-04-2020;12.5;;
Poland;PLM00012375;52.166;20.967;110.3;24-04-2020;13.7;;3.5
Poland;PLM00012375;52.166;20.967;110.3;25-04-2020;10.2;16.9;
Poland;PLM00012375;52.166;20.967;110.3;26-04-2020;8.6;;-0.9
Poland;PLM00012375;52.166;20.967;110.3;27-04-2020;11.9;;0.6
Poland;PLM00012375;52.166;20.967;110.3;28-04-2020;16.2;24.0;
Poland;PLM00012375;52.166;20.967;110.3;29-04-2020;11.7;18.5;
Poland;PLM00012375;52.166;20.967;110.3;30-04-2020;10.9;17.0;5.9
Poland;PLM00012375;52.166;20.967;110.3;01-05-2020;11.2;;6.6
Poland;PLM00012375;52.166;20.967;110.3;02-05-2020;11.8;;5.2
Poland;PLM00012375;52.166;20.967;110.3;03-05-2020;10.4;14.2;6.0
Poland;PLM00012375;52.166;20.967;110.3;04-05-2020;11.1;;
Poland;PLM00012375;52.166;20.967;110.3;05-05-2020;7.9;13.8;
Poland;PLM00012375;52.166;20.967;110.3;06-05-2020;8.8;;
Poland;PLM00012375;52.166;20.967;110.3;07-05-2020;10.6;;
Poland;PLM00012375;52.166;20.967;110.3;08-05-2020;13.3;;
Poland;PLM00012375;52.166;20.967;110.3;09-05-2020;14.4;;
Poland;PLM00012375;52.166;20.967;110.3;10-05-2020;17.5;;
Poland;PLM00012375;52.166;20.967;110.3;11-05-2020;16.8;25.4;
Poland;PLM00012375;52.166;20.967;110.3;12-05-2020;6.0;11.6;1.0
Poland;PLM00012375;52.166;20.967;110.3;13-05-2020;9.2;;3.8
Poland;PLM00012375;52.166;20.967;110.3;14-05-2020;9.8;;
Poland;PLM00012375;52.166;20.967;110.3;15-05-2020;10.2;;2.4
Poland;PLM00012375;52.166;20.967;110.3;16-05-2020;10.3;14.0;
Poland;PLM00012375;52.166;20.967;110.3;17-05-2020;11.8;;4.6
Poland;PLM00012375;52.166;20.967;110.3;18-05-2020;13.2;;8.7
Poland;PLM00012375;52.166;20.967;110.3;19-05-2020;13.3;;
Poland;PLM00012375;52.166;20.967;110.3;20-05-2020;11.4;;5.8
Poland;PLM00012375;52.166;20.967;110.3;21-05-2020;9.8;;2.7
Poland;PLM00012375;52.166;20.967;110.3;22-05-2020;10.4;;
Poland;PLM00012375;52.166;20.967;110.3;23-05-2020;12.8;18.2;3.4
Poland;PLM00012375;52.166;20.967;110.3;24-05-2020;12.8;;
Poland;PLM00012375;52.166;20.967;110.3;25-05-2020;12.5;;
Poland;PLM00012375;52.166;20.967;110.3;26-05-2020;14.0;;
Poland;PLM00012375;52.166;20.967;110.3;27-05-2020;15.0;;7.9
Poland;PLM00012375;52.166;20.967;110.3;28-05-2020;15.7;;8.0
Poland;PLM00012375;52.166;20.967;110.3;29-05-2020;15.1;;10.6
Poland;PLM00012375;52.166;20.967;110.3;30-05-2020;12.3;17.4;9.8
Poland;PLM00012375;52.166;20.967;110.3;31-05-2020;16.6;;10.6
Poland;PLM00012375;52.166;20.967;110.3;01-06-2020;16.0;;
Poland;PLM00012375;52.166;20.967;110.3;02-06-2020;15.0;;8.8
Poland;PLM00012375;52.166;20.967;110.3;03-06-2020;13.0;17.2;
Poland;PLM00012375;52.166;20.967;110.3;04-06-2020;14.7;;
Poland;PLM00012375;52.166;20.967;110.3;05-06-2020;16.3;21.5;
Poland;PLM00012375;52.166;20.967;110.3;06-06-2020;18.3;24.1;
Poland;PLM00012375;52.166;20.967;110.3;07-06-2020;20.0;;
Poland;PLM00012375;52.166;20.967;110.3;08-06-2020;16.8;22.7;
Poland;PLM00012375;52.166;20.967;110.3;09-06-2020;15.5;18.1;12.6
Poland;PLM00012375;52.166;20.967;110.3;10-06-2020;18.1;;
Poland;PLM00012375;52.166;20.967;110.3;11-06-2020;21.3;;
Poland;PLM00012375;52.166;20.967;110.3;12-06-2020;24.9;;16.0
Poland;PLM00012375;52.166;20.967;110.3;13-06-2020;23.5;28.3;
Poland;PLM00012375;52.166;20.967;110.3;14-06-2020;18.4;22.6;
Poland;PLM00012375;52.166;20.967;110.3;15-06-2020;18.5;;11.7
Poland;PLM00012375;52.166;20.967;110.3;16-06-2020;19.9;;
Poland;PLM00012375;52.166;20.967;110.3;17-06-2020;20.7;28.0;
Poland;PLM00012375;52.166;20.967;110.3;18-06-2020;20.7;25.1;16.5
Poland;PLM00012375;52.166;20.967;110.3;19-06-2020;21.3;;16.5
Poland;PLM00012375;52.166;20.967;110.3;20-06-2020;20.2;;17.3
Poland;PLM00012375;52.166;20.967;110.3;21-06-2020;20.1;;17.0
Poland;PLM00012375;52.166;20.967;110.3;22-06-2020;19.6;23.0;
Poland;PLM00012375;52.166;20.967;110.3;23-06-2020;19.0;;
Poland;PLM00012375;52.166;20.967;110.3;24-06-2020;18.9;;15.6
Poland;PLM00012375;52.166;20.967;110.3;25-06-2020;23.3;;
Poland;PLM00012375;52.166;20.967;110.3;26-06-2020;22.6;;16.7
Poland;PLM00012375;52.166;20.967;110.3;27-06-2020;21.0;26.1;17.0
Poland;PLM00012375;52.166;20.967;110.3;28-06-2020;24.1;;
Poland;PLM00012375;52.166;20.967;110.3;29-06-2020;20.9;27.3;
Poland;PLM00012375;52.166;20.967;110.3;30-06-2020;19.2;24.2;
Poland;PLM00012375;52.166;20.967;110.3;01-07-2020;21.6;;
Poland;PLM00012375;52.166;20.967;110.3;02-07-2020;22.4;;
Poland;PLM00012375;52.166;20.967;110.3;03-07-2020;20.7;;
Poland;PLM00012375;52.166;20.967;110.3;04-07-2020;20.7;;
Poland;PLM00012375;52.166;20.967;110.3;05-07-2020;22.9;;
Poland;PLM00012375;52.166;20.967;110.3;06-07-2020;21.0;27.2;
Poland;PLM00012375;52.166;20.967;110.3;07-07-2020;15.6;20.0;
Poland;PLM00012375;52.166;20.967;110.3;08-07-2020;14.4;;8.6
Poland;PLM00012375;52.166;20.967;110.3;09-07-2020;16.8;21.5;
Poland;PLM00012375;52.166;20.967;110.3;10-07-2020;21.5;;
Poland;PLM00012375;52.166;20.967;110.3;11-07-2020;14.8;24.6;
Poland;PLM00012375;52.166;20.967;110.3;12-07-2020;15.4;;
Poland;PLM00012375;52.166;20.967;110.3;13-07-2020;15.1;;
Poland;PLM00012375;52.166;20.967;110.3;14-07-2020;17.9;;
Poland;PLM00012375;52.166;20.967;110.3;15-07-2020;20.0;;
Poland;PLM00012375;52.166;20.967;110.3;16-07-2020;16.7;22.6;
Poland;PLM00012375;52.166;20.967;110.3;17-07-2020;16.9;;
Poland;PLM00012375;52.166;20.967;110.3;18-07-2020;22.3;;
Poland;PLM00012375;52.166;20.967;110.3;19-07-2020;22.6;;15.3
Poland;PLM00012375;52.166;20.967;110.3;20-07-2020;21.4;;14.7
Poland;PLM00012375;52.166;20.967;110.3;21-07-2020;18.1;;
Poland;PLM00012375;52.166;20.967;110.3;22-07-2020;17.0;22.1;
Poland;PLM00012375;52.166;20.967;110.3;23-07-2020;15.5;;
Poland;PLM00012375;52.166;20.967;110.3;24-07-2020;18.9;;9.1
Poland;PLM00012375;52.166;20.967;110.3;25-07-2020;20.7;26.0;13.8
Poland;PLM00012375;52.166;20.967;110.3;26-07-2020;22.4;;
Poland;PLM00012375;52.166;20.967;110.3;27-07-2020;22.2;;
Poland;PLM00012375;52.166;20.967;110.3;28-07-2020;23.8;30.4;
Poland;PLM00012375;52.166;20.967;110.3;29-07-2020;21.0;27.2;
Poland;PLM00012375;52.166;20.967;110.3;30-07-2020;19.1;24.4;
Poland;PLM00012375;52.166;20.967;110.3;31-07-2020;18.4;23.0;
Poland;PLM00012375;52.166;20.967;110.3;01-08-2020;18.8;;13.3
Poland;PLM00012375;52.166;20.967;110.3;02-08-2020;20.6;;
Poland;PLM00012375;52.166;20.967;110.3;03-08-2020;20.0;;
Poland;PLM00012375;52.166;20.967;110.3;04-08-2020;17.4;18.4;
Poland;PLM00012375;52.166;20.967;110.3;05-08-2020;18.4;;
Poland;PLM00012375;52.166;20.967;110.3;06-08-2020;22.8;;15.7
Poland;PLM00012375;52.166;20.967;110.3;07-08-2020;25.8;;18.6
Poland;PLM00012375;52.166;20.967;110.3;08-08-2020;26.4;;19.9
Poland;PLM00012375;52.166;20.967;110.3;09-08-2020;24.6;;
