COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Portugal;PO000008535;387.167;-9.15;77.0;01-01-2020;9.7;;
Portugal;PO000008535;387.167;-9.15;77.0;02-01-2020;10.2;;8.0
Portugal;PO000008535;387.167;-9.15;77.0;03-01-2020;13.1;;10.8
Portugal;PO000008535;387.167;-9.15;77.0;04-01-2020;12.3;;
Portugal;PO000008535;387.167;-9.15;77.0;05-01-2020;10.2;;
Portugal;PO000008535;387.167;-9.15;77.0;06-01-2020;10.1;;
Portugal;PO000008535;387.167;-9.15;77.0;07-01-2020;9.9;;
Portugal;PO000008535;387.167;-9.15;77.0;08-01-2020;11.9;;7.1
Portugal;PO000008535;387.167;-9.15;77.0;09-01-2020;14.0;;
Portugal;PO000008535;387.167;-9.15;77.0;10-01-2020;11.6;;
Portugal;PO000008535;387.167;-9.15;77.0;11-01-2020;10.4;;
Portugal;PO000008535;387.167;-9.15;77.0;12-01-2020;9.6;;
Portugal;PO000008535;387.167;-9.15;77.0;13-01-2020;9.1;;
Portugal;PO000008535;387.167;-9.15;77.0;14-01-2020;12.9;;9.7
Portugal;PO000008535;387.167;-9.15;77.0;15-01-2020;15.9;;14.3
Portugal;PO000008535;387.167;-9.15;77.0;16-01-2020;14.9;;
Portugal;PO000008535;387.167;-9.15;77.0;17-01-2020;13.6;;12.2
Portugal;PO000008535;387.167;-9.15;77.0;18-01-2020;15.1;;
Portugal;PO000008535;387.167;-9.15;77.0;19-01-2020;13.4;;11.5
Portugal;PO000008535;387.167;-9.15;77.0;20-01-2020;8.9;;7.0
Portugal;PO000008535;387.167;-9.15;77.0;21-01-2020;9.9;;
Portugal;PO000008535;387.167;-9.15;77.0;22-01-2020;9.9;;
Portugal;PO000008535;387.167;-9.15;77.0;23-01-2020;9.6;;
Portugal;PO000008535;387.167;-9.15;77.0;24-01-2020;10.4;;8.6
Portugal;PO000008535;387.167;-9.15;77.0;25-01-2020;11.4;;
Portugal;PO000008535;387.167;-9.15;77.0;26-01-2020;12.0;;
Portugal;PO000008535;387.167;-9.15;77.0;27-01-2020;14.2;;11.9
Portugal;PO000008535;387.167;-9.15;77.0;28-01-2020;15.0;;
Portugal;PO000008535;387.167;-9.15;77.0;29-01-2020;14.7;;
Portugal;PO000008535;387.167;-9.15;77.0;30-01-2020;14.5;;13.3
Portugal;PO000008535;387.167;-9.15;77.0;31-01-2020;15.6;;13.5
Portugal;PO000008535;387.167;-9.15;77.0;01-02-2020;15.4;;
Portugal;PO000008535;387.167;-9.15;77.0;02-02-2020;15.9;;
Portugal;PO000008535;387.167;-9.15;77.0;03-02-2020;16.3;;
Portugal;PO000008535;387.167;-9.15;77.0;04-02-2020;13.4;;
Portugal;PO000008535;387.167;-9.15;77.0;05-02-2020;14.2;;10.9
Portugal;PO000008535;387.167;-9.15;77.0;06-02-2020;14.1;;
Portugal;PO000008535;387.167;-9.15;77.0;07-02-2020;14.2;;
Portugal;PO000008535;387.167;-9.15;77.0;08-02-2020;13.8;;
Portugal;PO000008535;387.167;-9.15;77.0;09-02-2020;13.1;;10.1
Portugal;PO000008535;387.167;-9.15;77.0;10-02-2020;13.8;;11.1
Portugal;PO000008535;387.167;-9.15;77.0;11-02-2020;13.8;;11.9
Portugal;PO000008535;387.167;-9.15;77.0;12-02-2020;13.4;;11.6
Portugal;PO000008535;387.167;-9.15;77.0;13-02-2020;13.6;;11.6
Portugal;PO000008535;387.167;-9.15;77.0;14-02-2020;13.2;;
Portugal;PO000008535;387.167;-9.15;77.0;15-02-2020;13.8;;10.2
Portugal;PO000008535;387.167;-9.15;77.0;16-02-2020;14.3;;11.6
Portugal;PO000008535;387.167;-9.15;77.0;17-02-2020;14.7;;
