COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Russia;RSM00027612;558.331;376.167;156.0;01-01-2020;-1.0;;
Russia;RSM00027612;558.331;376.167;156.0;02-01-2020;0.5;1.7;-1.9
Russia;RSM00027612;558.331;376.167;156.0;03-01-2020;0.9;2.0;
Russia;RSM00027612;558.331;376.167;156.0;04-01-2020;-0.7;;-1.3
Russia;RSM00027612;558.331;376.167;156.0;05-01-2020;0.4;1.3;-1.6
Russia;RSM00027612;558.331;376.167;156.0;06-01-2020;-0.9;-0.1;
Russia;RSM00027612;558.331;376.167;156.0;07-01-2020;-1.3;;-2.2
Russia;RSM00027612;558.331;376.167;156.0;08-01-2020;0.4;1.1;-0.8
Russia;RSM00027612;558.331;376.167;156.0;09-01-2020;0.7;2.2;-0.9
Russia;RSM00027612;558.331;376.167;156.0;10-01-2020;0.9;1.5;
Russia;RSM00027612;558.331;376.167;156.0;11-01-2020;-0.6;;
Russia;RSM00027612;558.331;376.167;156.0;12-01-2020;-2.0;0.2;-6.0
Russia;RSM00027612;558.331;376.167;156.0;13-01-2020;1.6;2.5;-0.6
Russia;RSM00027612;558.331;376.167;156.0;14-01-2020;0.4;1.5;
Russia;RSM00027612;558.331;376.167;156.0;15-01-2020;2.0;2.9;-1.3
Russia;RSM00027612;558.331;376.167;156.0;16-01-2020;2.9;3.1;2.3
Russia;RSM00027612;558.331;376.167;156.0;17-01-2020;3.3;4.5;2.3
Russia;RSM00027612;558.331;376.167;156.0;18-01-2020;0.9;;
Russia;RSM00027612;558.331;376.167;156.0;19-01-2020;-0.2;;-1.5
Russia;RSM00027612;558.331;376.167;156.0;20-01-2020;1.9;2.9;0.2
Russia;RSM00027612;558.331;376.167;156.0;21-01-2020;2.5;;0.8
Russia;RSM00027612;558.331;376.167;156.0;22-01-2020;0.3;;
Russia;RSM00027612;558.331;376.167;156.0;23-01-2020;-4.2;;
Russia;RSM00027612;558.331;376.167;156.0;24-01-2020;-1.5;;-6.8
Russia;RSM00027612;558.331;376.167;156.0;25-01-2020;1.1;2.3;
