COUNTRY;STATION;LATITUDE;LONGITUDE;ELEVATION;DATE;TAVG;TMAX;TMIN
Turkey;TUM00017130;39.95;32.883;891.0;01-01-2020;3.2;;
Turkey;TUM00017130;39.95;32.883;891.0;02-01-2020;1.8;;
Turkey;TUM00017130;39.95;32.883;891.0;03-01-2020;1.1;;
Turkey;TUM00017130;39.95;32.883;891.0;04-01-2020;0.4;;-1.9
Turkey;TUM00017130;39.95;32.883;891.0;05-01-2020;1.7;;
Turkey;TUM00017130;39.95;32.883;891.0;06-01-2020;1.1;;
Turkey;TUM00017130;39.95;32.883;891.0;07-01-2020;4.5;;0.8
Turkey;TUM00017130;39.95;32.883;891.0;08-01-2020;2.9;;
Turkey;TUM00017130;39.95;32.883;891.0;09-01-2020;0.3;;
Turkey;TUM00017130;39.95;32.883;891.0;10-01-2020;-0.8;;-5.3
Turkey;TUM00017130;39.95;32.883;891.0;11-01-2020;0.1;;
Turkey;TUM00017130;39.95;32.883;891.0;12-01-2020;2.4;;
Turkey;TUM00017130;39.95;32.883;891.0;13-01-2020;2.2;;
Turkey;TUM00017130;39.95;32.883;891.0;14-01-2020;1.7;;-3.0
Turkey;TUM00017130;39.95;32.883;891.0;15-01-2020;2.2;;
Turkey;TUM00017130;39.95;32.883;891.0;16-01-2020;1.2;;
Turkey;TUM00017130;39.95;32.883;891.0;17-01-2020;-1.0;;-4.7
Turkey;TUM00017130;39.95;32.883;891.0;18-01-2020;-0.2;;-4.6
Turkey;TUM00017130;39.95;32.883;891.0;19-01-2020;-0.4;;
Turkey;TUM00017130;39.95;32.883;891.0;20-01-2020;-0.7;;
Turkey;TUM00017130;39.95;32.883;891.0;21-01-2020;-0.1;;
Turkey;TUM00017130;39.95;32.883;891.0;22-01-2020;-0.8;;-4.8
Turkey;TUM00017130;39.95;32.883;891.0;23-01-2020;-0.8;;
Turkey;TUM00017130;39.95;32.883;891.0;24-01-2020;-0.8;;
Turkey;TUM00017130;39.95;32.883;891.0;25-01-2020;-0.5;;
Turkey;TUM00017130;39.95;32.883;891.0;26-01-2020;0.9;;-5.3
Turkey;TUM00017130;39.95;32.883;891.0;27-01-2020;3.2;10.0;-11.8
Turkey;TUM00017130;39.95;32.883;891.0;28-01-2020;4.1;6.7;1.2
Turkey;TUM00017130;39.95;32.883;891.0;29-01-2020;6.7;9.3;
Turkey;TUM00017130;39.95;32.883;891.0;30-01-2020;5.3;;
Turkey;TUM00017130;39.95;32.883;891.0;31-01-2020;1.3;;
Turkey;TUM00017130;39.95;32.883;891.0;01-02-2020;3.3;;-0.4
Turkey;TUM00017130;39.95;32.883;891.0;02-02-2020;7.4;;4.9
Turkey;TUM00017130;39.95;32.883;891.0;03-02-2020;8.3;11.9;4.2
Turkey;TUM00017130;39.95;32.883;891.0;04-02-2020;8.0;;
Turkey;TUM00017130;39.95;32.883;891.0;05-02-2020;10.6;14.1;8.2
Turkey;TUM00017130;39.95;32.883;891.0;06-02-2020;3.5;;
Turkey;TUM00017130;39.95;32.883;891.0;07-02-2020;1.4;;
Turkey;TUM00017130;39.95;32.883;891.0;08-02-2020;-3.9;;
Turkey;TUM00017130;39.95;32.883;891.0;09-02-2020;-4.7;;-7.3
Turkey;TUM00017130;39.95;32.883;891.0;10-02-2020;-2.4;;
Turkey;TUM00017130;39.95;32.883;891.0;11-02-2020;-1.5;;-4.4
Turkey;TUM00017130;39.95;32.883;891.0;12-02-2020;2.4;;
Turkey;TUM00017130;39.95;32.883;891.0;13-02-2020;2.8;;
Turkey;TUM00017130;39.95;32.883;891.0;14-02-2020;1.6;;
Turkey;TUM00017130;39.95;32.883;891.0;15-02-2020;4.4;;1.2
Turkey;TUM00017130;39.95;32.883;891.0;16-02-2020;4.9;;-10.5
Turkey;TUM00017130;39.95;32.883;891.0;17-02-2020;4.3;;
Turkey;TUM00017130;39.95;32.883;891.0;18-02-2020;3.9;;
Turkey;TUM00017130;39.95;32.883;891.0;19-02-2020;4.8;;-1.8
Turkey;TUM00017130;39.95;32.883;891.0;20-02-2020;6.7;;1.6
Turkey;TUM00017130;39.95;32.883;891.0;21-02-2020;4.4;;
Turkey;TUM00017130;39.95;32.883;891.0;22-02-2020;2.6;;
Turkey;TUM00017130;39.95;32.883;891.0;23-02-2020;4.4;;0.9
Turkey;TUM00017130;39.95;32.883;891.0;24-02-2020;7.4;;
Turkey;TUM00017130;39.95;32.883;891.0;25-02-2020;5.1;;
Turkey;TUM00017130;39.95;32.883;891.0;26-02-2020;8.3;;
