"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"TUM00017130","39.95","32.883","891.0","2020-01-01","3.2",,
"TUM00017130","39.95","32.883","891.0","2020-01-02","1.8",,
"TUM00017130","39.95","32.883","891.0","2020-01-03","1.1",,
"TUM00017130","39.95","32.883","891.0","2020-01-04","0.4",,"-1.9"
"TUM00017130","39.95","32.883","891.0","2020-01-05","1.7",,
"TUM00017130","39.95","32.883","891.0","2020-01-06","1.1",,
"TUM00017130","39.95","32.883","891.0","2020-01-07","4.5",,"0.8"
"TUM00017130","39.95","32.883","891.0","2020-01-08","2.9",,
"TUM00017130","39.95","32.883","891.0","2020-01-09","0.3",,
"TUM00017130","39.95","32.883","891.0","2020-01-10","-0.8",,"-5.3"
"TUM00017130","39.95","32.883","891.0","2020-01-11","0.1",,
"TUM00017130","39.95","32.883","891.0","2020-01-12","2.4",,
"TUM00017130","39.95","32.883","891.0","2020-01-13","2.2",,
"TUM00017130","39.95","32.883","891.0","2020-01-14","1.7",,"-3.0"
"TUM00017130","39.95","32.883","891.0","2020-01-15","2.2",,
"TUM00017130","39.95","32.883","891.0","2020-01-16","1.2",,
"TUM00017130","39.95","32.883","891.0","2020-01-17","-1.0",,"-4.7"
"TUM00017130","39.95","32.883","891.0","2020-01-18","-0.2",,"-4.6"
"TUM00017130","39.95","32.883","891.0","2020-01-19","-0.4",,
"TUM00017130","39.95","32.883","891.0","2020-01-20","-0.7",,
"TUM00017130","39.95","32.883","891.0","2020-01-21","-0.1",,
"TUM00017130","39.95","32.883","891.0","2020-01-22","-0.8",,"-4.8"
"TUM00017130","39.95","32.883","891.0","2020-01-23","-0.8",,
"TUM00017130","39.95","32.883","891.0","2020-01-24","-0.8",,
"TUM00017130","39.95","32.883","891.0","2020-01-25","-0.5",,
"TUM00017130","39.95","32.883","891.0","2020-01-26","0.9",,"-5.3"
"TUM00017130","39.95","32.883","891.0","2020-01-27","3.2","10.0","-11.8"
"TUM00017130","39.95","32.883","891.0","2020-01-28","4.1","6.7","1.2"
"TUM00017130","39.95","32.883","891.0","2020-01-29","6.7","9.3",
"TUM00017130","39.95","32.883","891.0","2020-01-30","5.3",,
"TUM00017130","39.95","32.883","891.0","2020-01-31","1.3",,
"TUM00017130","39.95","32.883","891.0","2020-02-01","3.3",,"-0.4"
"TUM00017130","39.95","32.883","891.0","2020-02-02","7.4",,"4.9"
"TUM00017130","39.95","32.883","891.0","2020-02-03","8.3","11.9","4.2"
"TUM00017130","39.95","32.883","891.0","2020-02-04","8.0",,
"TUM00017130","39.95","32.883","891.0","2020-02-05","10.6","14.1","8.2"
"TUM00017130","39.95","32.883","891.0","2020-02-06","3.5",,
"TUM00017130","39.95","32.883","891.0","2020-02-07","1.4",,
"TUM00017130","39.95","32.883","891.0","2020-02-08","-3.9",,
"TUM00017130","39.95","32.883","891.0","2020-02-09","-4.7",,"-7.3"
"TUM00017130","39.95","32.883","891.0","2020-02-10","-2.4",,
"TUM00017130","39.95","32.883","891.0","2020-02-11","-1.5",,"-4.4"
"TUM00017130","39.95","32.883","891.0","2020-02-12","2.4",,
"TUM00017130","39.95","32.883","891.0","2020-02-13","2.8",,
"TUM00017130","39.95","32.883","891.0","2020-02-14","1.6",,
"TUM00017130","39.95","32.883","891.0","2020-02-15","4.4",,"1.2"
"TUM00017130","39.95","32.883","891.0","2020-02-16","4.9",,"-10.5"
"TUM00017130","39.95","32.883","891.0","2020-02-17","4.3",,
"TUM00017130","39.95","32.883","891.0","2020-02-18","3.9",,
"TUM00017130","39.95","32.883","891.0","2020-02-19","4.8",,"-1.8"
"TUM00017130","39.95","32.883","891.0","2020-02-20","6.7",,"1.6"
"TUM00017130","39.95","32.883","891.0","2020-02-21","4.4",,
"TUM00017130","39.95","32.883","891.0","2020-02-22","2.6",,
"TUM00017130","39.95","32.883","891.0","2020-02-23","4.4",,"0.9"
"TUM00017130","39.95","32.883","891.0","2020-02-24","7.4",,
"TUM00017130","39.95","32.883","891.0","2020-02-25","5.1",,
"TUM00017130","39.95","32.883","891.0","2020-02-26","8.3",,
"TUM00017130","39.95","32.883","891.0","2020-02-27","9.8",,"5.8"
"TUM00017130","39.95","32.883","891.0","2020-02-28","6.7",,
"TUM00017130","39.95","32.883","891.0","2020-02-29","6.4",,
"TUM00017130","39.95","32.883","891.0","2020-03-01","5.4",,"-4.7"
"TUM00017130","39.95","32.883","891.0","2020-03-02","7.2",,"-0.3"
"TUM00017130","39.95","32.883","891.0","2020-03-03","10.1",,
"TUM00017130","39.95","32.883","891.0","2020-03-04","12.1",,"4.8"
"TUM00017130","39.95","32.883","891.0","2020-03-05","11.2",,"5.4"
"TUM00017130","39.95","32.883","891.0","2020-03-06","9.6",,
"TUM00017130","39.95","32.883","891.0","2020-03-07","10.0",,"1.5"
"TUM00017130","39.95","32.883","891.0","2020-03-08","13.3",,"4.6"
"TUM00017130","39.95","32.883","891.0","2020-03-09","15.7",,"9.0"
"TUM00017130","39.95","32.883","891.0","2020-03-10","11.5",,"8.2"
"TUM00017130","39.95","32.883","891.0","2020-03-11","11.2",,
"TUM00017130","39.95","32.883","891.0","2020-03-12","12.5",,"4.0"
"TUM00017130","39.95","32.883","891.0","2020-03-13","14.7",,"8.7"
"TUM00017130","39.95","32.883","891.0","2020-03-14","15.0",,
"TUM00017130","39.95","32.883","891.0","2020-03-15","11.3",,"5.9"
"TUM00017130","39.95","32.883","891.0","2020-03-16","2.6",,
"TUM00017130","39.95","32.883","891.0","2020-03-17","0.0",,"-4.5"
"TUM00017130","39.95","32.883","891.0","2020-03-18","0.2",,"-5.4"
"TUM00017130","39.95","32.883","891.0","2020-03-19","1.4",,"-1.1"
"TUM00017130","39.95","32.883","891.0","2020-03-20","3.8",,"-1.2"
"TUM00017130","39.95","32.883","891.0","2020-03-21","6.4",,"1.8"
"TUM00017130","39.95","32.883","891.0","2020-03-22","9.0",,"0.2"
"TUM00017130","39.95","32.883","891.0","2020-03-23","12.1",,"5.5"
"TUM00017130","39.95","32.883","891.0","2020-03-24","11.9",,"8.7"
"TUM00017130","39.95","32.883","891.0","2020-03-25","11.8",,"5.5"
"TUM00017130","39.95","32.883","891.0","2020-03-26","12.2",,"5.7"
"TUM00017130","39.95","32.883","891.0","2020-03-27","12.6",,"6.4"
"TUM00017130","39.95","32.883","891.0","2020-03-28","9.2",,
"TUM00017130","39.95","32.883","891.0","2020-03-29","6.2",,"5.1"
"TUM00017130","39.95","32.883","891.0","2020-03-30","7.5",,"4.1"
"TUM00017130","39.95","32.883","891.0","2020-03-31","10.6",,"5.7"
"TUM00017130","39.95","32.883","891.0","2020-04-01","9.9",,"6.8"
"TUM00017130","39.95","32.883","891.0","2020-04-02","9.6",,"5.2"
"TUM00017130","39.95","32.883","891.0","2020-04-03","6.0",,"2.9"
"TUM00017130","39.95","32.883","891.0","2020-04-04","9.0",,"1.8"
"TUM00017130","39.95","32.883","891.0","2020-04-05","11.8",,"9.2"
"TUM00017130","39.95","32.883","891.0","2020-04-06","9.8",,
"TUM00017130","39.95","32.883","891.0","2020-04-07","8.6",,"2.3"
"TUM00017130","39.95","32.883","891.0","2020-04-08","10.1",,"4.3"
"TUM00017130","39.95","32.883","891.0","2020-04-09","11.1",,"4.0"
"TUM00017130","39.95","32.883","891.0","2020-04-10","11.5",,"3.1"
"TUM00017130","39.95","32.883","891.0","2020-04-11","11.2",,"2.9"
"TUM00017130","39.95","32.883","891.0","2020-04-12","11.0",,"3.3"
"TUM00017130","39.95","32.883","891.0","2020-04-13","11.8",,"3.3"
"TUM00017130","39.95","32.883","891.0","2020-04-14","12.9",,"4.8"
"TUM00017130","39.95","32.883","891.0","2020-04-15","12.6",,"10.3"
"TUM00017130","39.95","32.883","891.0","2020-04-16","10.8",,"7.4"
"TUM00017130","39.95","32.883","891.0","2020-04-17","12.5",,"3.5"
"TUM00017130","39.95","32.883","891.0","2020-04-18","15.4",,"6.8"
"TUM00017130","39.95","32.883","891.0","2020-04-19","15.6",,"6.4"
"TUM00017130","39.95","32.883","891.0","2020-04-20","16.4",,"7.3"
"TUM00017130","39.95","32.883","891.0","2020-04-21","12.6",,
"TUM00017130","39.95","32.883","891.0","2020-04-22","8.9",,
"TUM00017130","39.95","32.883","891.0","2020-04-23","8.8",,"3.8"
"TUM00017130","39.95","32.883","891.0","2020-04-24","9.1",,"1.2"
"TUM00017130","39.95","32.883","891.0","2020-04-25","11.3",,"2.0"
"TUM00017130","39.95","32.883","891.0","2020-04-26","12.9",,"5.1"
"TUM00017130","39.95","32.883","891.0","2020-04-27","14.5",,"7.1"
"TUM00017130","39.95","32.883","891.0","2020-04-28","13.5",,"5.7"
"TUM00017130","39.95","32.883","891.0","2020-04-29","14.7",,"6.0"
"TUM00017130","39.95","32.883","891.0","2020-04-30","14.6",,"12.6"
"TUM00017130","39.95","32.883","891.0","2020-05-01","13.6",,"10.6"
"TUM00017130","39.95","32.883","891.0","2020-05-02","12.9",,
"TUM00017130","39.95","32.883","891.0","2020-05-03","10.8",,"7.0"
"TUM00017130","39.95","32.883","891.0","2020-05-04","12.3",,"10.2"
"TUM00017130","39.95","32.883","891.0","2020-05-05","13.0",,"9.5"
"TUM00017130","39.95","32.883","891.0","2020-05-06","14.4",,"8.1"
"TUM00017130","39.95","32.883","891.0","2020-05-07","12.4",,
"TUM00017130","39.95","32.883","891.0","2020-05-08","11.3",,"4.7"
"TUM00017130","39.95","32.883","891.0","2020-05-09","12.8",,"5.5"
"TUM00017130","39.95","32.883","891.0","2020-05-10","14.4",,"7.0"
"TUM00017130","39.95","32.883","891.0","2020-05-11","16.8",,"7.0"
"TUM00017130","39.95","32.883","891.0","2020-05-12","21.4",,"11.2"
"TUM00017130","39.95","32.883","891.0","2020-05-13","21.9",,"14.3"
"TUM00017130","39.95","32.883","891.0","2020-05-14","22.2",,"14.7"
"TUM00017130","39.95","32.883","891.0","2020-05-15","24.1",,"14.2"
"TUM00017130","39.95","32.883","891.0","2020-05-16","24.9",,"16.2"
"TUM00017130","39.95","32.883","891.0","2020-05-17","23.8",,"14.1"
"TUM00017130","39.95","32.883","891.0","2020-05-18","24.7",,"15.4"
"TUM00017130","39.95","32.883","891.0","2020-05-19","24.2",,
"TUM00017130","39.95","32.883","891.0","2020-05-20","25.4",,"16.1"
"TUM00017130","39.95","32.883","891.0","2020-05-21","26.0",,"19.4"
"TUM00017130","39.95","32.883","891.0","2020-05-22","14.2",,
"TUM00017130","39.95","32.883","891.0","2020-05-23","9.6",,"4.2"
"TUM00017130","39.95","32.883","891.0","2020-05-24","12.3",,"4.7"
"TUM00017130","39.95","32.883","891.0","2020-05-25","14.8",,"5.7"
"TUM00017130","39.95","32.883","891.0","2020-05-26","15.7",,"10.8"
"TUM00017130","39.95","32.883","891.0","2020-05-27","17.6",,"10.2"
