"STATION","DATE","TAVG","TMAX","TMIN"
"UKM00003772","2020-01-01","5.3",,"1.7"
"UKM00003772","2020-01-02","8.7",,"6.2"
"UKM00003772","2020-01-03","8.6",,
"UKM00003772","2020-01-04","6.4",,"2.2"
"UKM00003772","2020-01-05","7.8",,
"UKM00003772","2020-01-06","7.7",,
"UKM00003772","2020-01-07","9.3",,"4.1"
"UKM00003772","2020-01-08","11.4",,
"UKM00003772","2020-01-09","11.1",,
"UKM00003772","2020-01-10","6.3","8.5",
"UKM00003772","2020-01-11","9.3",,"4.9"
"UKM00003772","2020-01-12","9.4",,
"UKM00003772","2020-01-13","8.2",,"4.5"
"UKM00003772","2020-01-14","10.2","13.3",
"UKM00003772","2020-01-15","8.4",,
"UKM00003772","2020-01-16","9.2",,"5.2"
"UKM00003772","2020-01-17","7.6",,
"UKM00003772","2020-01-18","3.9",,
"UKM00003772","2020-01-19","3.2",,
"UKM00003772","2020-01-20","3.1",,"-0.3"
"UKM00003772","2020-01-21","2.3",,"-2.1"
"UKM00003772","2020-01-22","5.6",,"0.6"
"UKM00003772","2020-01-23","7.4",,
"UKM00003772","2020-01-24","6.4",,"5.9"
"UKM00003772","2020-01-25","6.1",,"5.6"
"UKM00003772","2020-01-26","8.3","10.5","5.7"
"UKM00003772","2020-01-27","7.4","9.6",
"UKM00003772","2020-01-28","4.7",,
"UKM00003772","2020-01-29","6.1",,"2.3"
"UKM00003772","2020-01-30","10.1","13.0","6.9"
"UKM00003772","2020-01-31","10.7",,"8.6"
"UKM00003772","2020-02-01","10.1","12.4",
"UKM00003772","2020-02-02","10.4",,
"UKM00003772","2020-02-03","9.2",,
"UKM00003772","2020-02-04","6.9",,"3.9"
"UKM00003772","2020-02-05","4.9",,
"UKM00003772","2020-02-06","3.6",,
"UKM00003772","2020-02-07","5.5",,"0.7"
"UKM00003772","2020-02-08","9.1",,
"UKM00003772","2020-02-09","10.5","13.2","7.5"
"UKM00003772","2020-02-10","7.0",,
"UKM00003772","2020-02-11","5.4","8.4","3.4"
"UKM00003772","2020-02-12","5.4",,"2.2"
"UKM00003772","2020-02-13","7.3",,
"UKM00003772","2020-02-14","7.4",,"1.8"
"UKM00003772","2020-02-15","11.6",,"9.8"
"UKM00003772","2020-02-16","10.0","13.1",
"UKM00003772","2020-02-17","7.9","11.4",
"UKM00003772","2020-02-18","6.9","11.4","4.3"
"UKM00003772","2020-02-19","6.4",,"2.6"
"UKM00003772","2020-02-20","7.8",,
"UKM00003772","2020-02-21","7.8",,"3.7"
"UKM00003772","2020-02-22","11.0","14.3",
"UKM00003772","2020-02-23","11.0",,
"UKM00003772","2020-02-24","9.5","12.2","5.7"
"UKM00003772","2020-02-25","5.9",,
"UKM00003772","2020-02-26","4.6",,"1.0"
"UKM00003772","2020-02-27","4.5",,
"UKM00003772","2020-02-28","6.4",,"0.0"
"UKM00003772","2020-02-29","7.5",,
"UKM00003772","2020-03-01","6.6",,
"UKM00003772","2020-03-02","5.7","10.1",
"UKM00003772","2020-03-03","5.1",,"1.4"
"UKM00003772","2020-03-04","4.7",,"-0.1"
"UKM00003772","2020-03-05","5.7",,
"UKM00003772","2020-03-06","5.7",,
"UKM00003772","2020-03-07","7.8",,
"UKM00003772","2020-03-08","9.9",,
"UKM00003772","2020-03-09","7.7",,"4.5"
"UKM00003772","2020-03-10","12.7",,"6.3"
"UKM00003772","2020-03-11","11.1","15.4","7.9"
"UKM00003772","2020-03-12","7.6","10.9","4.4"
"UKM00003772","2020-03-13","8.3",,"5.4"
"UKM00003772","2020-03-14","9.4",,"6.5"
"UKM00003772","2020-03-15","9.4",,
"UKM00003772","2020-03-16","7.6",,
"UKM00003772","2020-03-17","9.1",,"4.4"
"UKM00003772","2020-03-18","11.6",,
"UKM00003772","2020-03-19","7.2",,"6.0"
"UKM00003772","2020-03-20","7.2","10.1",
"UKM00003772","2020-03-21","6.4",,"3.8"
"UKM00003772","2020-03-22","6.8",,"3.3"
"UKM00003772","2020-03-23","6.6",,
"UKM00003772","2020-03-24","8.1",,"0.4"
"UKM00003772","2020-03-25","7.1",,"0.3"
"UKM00003772","2020-03-26","6.7",,
"UKM00003772","2020-03-27","7.3","13.9",
"UKM00003772","2020-03-28","7.1","11.8",
"UKM00003772","2020-03-29","4.9","8.1",
"UKM00003772","2020-03-30","5.7",,"2.0"
"UKM00003772","2020-03-31","5.9",,
"UKM00003772","2020-04-01","5.2",,"-0.9"
"UKM00003772","2020-04-02","9.0",,
"UKM00003772","2020-04-03","9.6",,
"UKM00003772","2020-04-04","9.4",,
"UKM00003772","2020-04-05","14.0",,
"UKM00003772","2020-04-06","12.9",,
"UKM00003772","2020-04-07","12.4",,"4.5"
"UKM00003772","2020-04-08","14.7",,"9.8"
"UKM00003772","2020-04-09","15.0",,"8.5"
"UKM00003772","2020-04-10","15.0",,
"UKM00003772","2020-04-11","16.4",,"9.0"
"UKM00003772","2020-04-12","16.8",,"9.5"
"UKM00003772","2020-04-13","9.0",,
"UKM00003772","2020-04-14","7.9",,
"UKM00003772","2020-04-15","10.3",,"2.5"
"UKM00003772","2020-04-16","12.3",,"4.6"
"UKM00003772","2020-04-17","10.7",,
"UKM00003772","2020-04-18","9.9",,"6.4"
"UKM00003772","2020-04-19","11.7",,
"UKM00003772","2020-04-20","12.0","18.5","5.6"
"UKM00003772","2020-04-21","13.3","18.8","8.2"
"UKM00003772","2020-04-22","14.1",,"7.1"
"UKM00003772","2020-04-23","14.8",,"6.6"
"UKM00003772","2020-04-24","14.2",,"7.8"
"UKM00003772","2020-04-25","10.9",,"6.8"
"UKM00003772","2020-04-26","12.8",,
"UKM00003772","2020-04-27","12.8","18.6","7.0"
"UKM00003772","2020-04-28","8.4",,
"UKM00003772","2020-04-29","10.3",,
"UKM00003772","2020-04-30","9.3",,
"UKM00003772","2020-05-01","10.6",,"7.4"
"UKM00003772","2020-05-02","11.8",,"5.7"
"UKM00003772","2020-05-03","11.9",,"8.6"
"UKM00003772","2020-05-04","12.7",,
"UKM00003772","2020-05-05","10.9",,
"UKM00003772","2020-05-06","11.6",,"5.0"
"UKM00003772","2020-05-07","14.9",,"5.9"
"UKM00003772","2020-05-08","17.6",,"10.0"
"UKM00003772","2020-05-09","17.8",,"10.5"
"UKM00003772","2020-05-10","12.3","18.0",
"UKM00003772","2020-05-11","8.3",,"4.7"
"UKM00003772","2020-05-12","9.4",,
"UKM00003772","2020-05-13","9.3",,
"UKM00003772","2020-05-14","8.7",,"3.0"
"UKM00003772","2020-05-15","11.6",,
"UKM00003772","2020-05-16","13.1",,"7.6"
"UKM00003772","2020-05-17","14.3",,"7.7"
"UKM00003772","2020-05-18","16.7",,"10.2"
"UKM00003772","2020-05-19","18.4",,"11.6"
"UKM00003772","2020-05-20","20.1",,
"UKM00003772","2020-05-21","20.1",,
"UKM00003772","2020-05-22","18.4","23.2",
"UKM00003772","2020-05-23","14.6","19.9",
"UKM00003772","2020-05-24","16.6",,
"UKM00003772","2020-05-25","18.3",,
"UKM00003772","2020-05-26","19.6",,
