"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN"
"BOM00026850","53.87","27.53","222.0","2020-01-01","0.7","1.8","-1.9"
"BOM00026850","53.87","27.53","222.0","2020-01-02","1.3","2.2",
"BOM00026850","53.87","27.53","222.0","2020-01-03","1.2","6.5","-1.0"
"BOM00026850","53.87","27.53","222.0","2020-01-04","1.5","3.0","-0.9"
"BOM00026850","53.87","27.53","222.0","2020-01-05","0.1","1.2","-1.3"
"BOM00026850","53.87","27.53","222.0","2020-01-06","-1.0","0.0","-2.0"
"BOM00026850","53.87","27.53","222.0","2020-01-07","0.4","0.9","-0.9"
"BOM00026850","53.87","27.53","222.0","2020-01-08","0.0",,
"BOM00026850","53.87","27.53","222.0","2020-01-09","2.1","3.8",
"BOM00026850","53.87","27.53","222.0","2020-01-10","2.1",,"-1.5"
"BOM00026850","53.87","27.53","222.0","2020-01-11","2.6",,
"BOM00026850","53.87","27.53","222.0","2020-01-12","1.6","3.1","-0.4"
"BOM00026850","53.87","27.53","222.0","2020-01-13","1.8","3.3","0.6"
"BOM00026850","53.87","27.53","222.0","2020-01-14","2.8",,"2.0"
"BOM00026850","53.87","27.53","222.0","2020-01-15","2.9",,"0.6"
"BOM00026850","53.87","27.53","222.0","2020-01-16","3.8","5.7",
"BOM00026850","53.87","27.53","222.0","2020-01-17","1.8","4.8",
"BOM00026850","53.87","27.53","222.0","2020-01-18","-2.1",,"-3.1"
"BOM00026850","53.87","27.53","222.0","2020-01-19","-0.6",,"-1.9"
"BOM00026850","53.87","27.53","222.0","2020-01-20","1.4","1.8","-0.1"
"BOM00026850","53.87","27.53","222.0","2020-01-21","2.4",,"1.1"
"BOM00026850","53.87","27.53","222.0","2020-01-22","1.8",,
"BOM00026850","53.87","27.53","222.0","2020-01-23","0.5","1.9","-1.4"
"BOM00026850","53.87","27.53","222.0","2020-01-24","1.7","3.1","-0.6"
"BOM00026850","53.87","27.53","222.0","2020-01-25","2.7","4.8","1.6"
"BOM00026850","53.87","27.53","222.0","2020-01-26","2.4","3.6","1.6"
"BOM00026850","53.87","27.53","222.0","2020-01-27","0.6","1.3",
"BOM00026850","53.87","27.53","222.0","2020-01-28","0.4",,"-0.7"
"BOM00026850","53.87","27.53","222.0","2020-01-29","0.4",,
"BOM00026850","53.87","27.53","222.0","2020-01-30","0.9",,"-0.5"
"BOM00026850","53.87","27.53","222.0","2020-01-31","0.8","1.2","0.2"
"BOM00026850","53.87","27.53","222.0","2020-02-01","3.7",,"0.4"
"BOM00026850","53.87","27.53","222.0","2020-02-02","5.7",,
"BOM00026850","53.87","27.53","222.0","2020-02-03","1.9","2.7",
"BOM00026850","53.87","27.53","222.0","2020-02-04","-0.3","2.0",
"BOM00026850","53.87","27.53","222.0","2020-02-05","-3.6","-0.3","-6.1"
"BOM00026850","53.87","27.53","222.0","2020-02-06","-1.4","3.0",
"BOM00026850","53.87","27.53","222.0","2020-02-07","-5.2","-2.2","-6.7"
"BOM00026850","53.87","27.53","222.0","2020-02-08","-1.6","0.4","-7.2"
"BOM00026850","53.87","27.53","222.0","2020-02-09","0.7","3.7","-2.5"
"BOM00026850","53.87","27.53","222.0","2020-02-10","1.1",,"-1.1"
"BOM00026850","53.87","27.53","222.0","2020-02-11","2.6","4.5",
"BOM00026850","53.87","27.53","222.0","2020-02-12","1.4","2.5","0.9"
"BOM00026850","53.87","27.53","222.0","2020-02-13","1.9","3.2",
"BOM00026850","53.87","27.53","222.0","2020-02-14","0.4","3.7",
"BOM00026850","53.87","27.53","222.0","2020-02-15","-0.6","5.1","-6.6"
"BOM00026850","53.87","27.53","222.0","2020-02-16","1.5","4.3","-1.1"
"BOM00026850","53.87","27.53","222.0","2020-02-17","7.1","10.1","3.6"
"BOM00026850","53.87","27.53","222.0","2020-02-18","5.4","9.2",
"BOM00026850","53.87","27.53","222.0","2020-02-19","4.1","6.6",
"BOM00026850","53.87","27.53","222.0","2020-02-20","2.0","7.4","-2.9"
"BOM00026850","53.87","27.53","222.0","2020-02-21","2.1","5.9","-2.6"
"BOM00026850","53.87","27.53","222.0","2020-02-22","3.6","6.6","0.0"
"BOM00026850","53.87","27.53","222.0","2020-02-23","3.9","5.7",
"BOM00026850","53.87","27.53","222.0","2020-02-24","0.6","5.3","-2.7"
"BOM00026850","53.87","27.53","222.0","2020-02-25","0.1","2.5","-5.7"
"BOM00026850","53.87","27.53","222.0","2020-02-26","4.6","8.6","1.0"
"BOM00026850","53.87","27.53","222.0","2020-02-27","1.4","2.8",
"BOM00026850","53.87","27.53","222.0","2020-02-28","0.5","3.5","-1.7"
"BOM00026850","53.87","27.53","222.0","2020-02-29","1.3","3.3","-1.3"
"BOM00026850","53.87","27.53","222.0","2020-03-01","3.2","4.8","0.4"
"BOM00026850","53.87","27.53","222.0","2020-03-02","4.9","9.3","1.1"
"BOM00026850","53.87","27.53","222.0","2020-03-03","6.1","9.8","3.6"
"BOM00026850","53.87","27.53","222.0","2020-03-04","7.1","9.1","4.6"
"BOM00026850","53.87","27.53","222.0","2020-03-05","2.9",,
"BOM00026850","53.87","27.53","222.0","2020-03-06","2.3","5.2","-2.0"
"BOM00026850","53.87","27.53","222.0","2020-03-07","4.1","7.2","2.4"
"BOM00026850","53.87","27.53","222.0","2020-03-08","4.9","8.8",
"BOM00026850","53.87","27.53","222.0","2020-03-09","5.6","9.4","2.0"
"BOM00026850","53.87","27.53","222.0","2020-03-10","4.8","7.1","2.7"
"BOM00026850","53.87","27.53","222.0","2020-03-11","4.2","8.3","1.9"
"BOM00026850","53.87","27.53","222.0","2020-03-12","5.8","10.1","2.5"
"BOM00026850","53.87","27.53","222.0","2020-03-13","5.4","9.3",
"BOM00026850","53.87","27.53","222.0","2020-03-15","-1.1","3.1","-4.6"
"BOM00026850","53.87","27.53","222.0","2020-03-16","2.9","9.1","-5.9"
"BOM00026850","53.87","27.53","222.0","2020-03-17","2.6","5.9",
"BOM00026850","53.87","27.53","222.0","2020-03-18","6.5","12.7","-3.7"
"BOM00026850","53.87","27.53","222.0","2020-03-19","6.9",,
"BOM00026850","53.87","27.53","222.0","2020-03-20","3.7","9.4","-3.3"
"BOM00026850","53.87","27.53","222.0","2020-03-21","0.7","4.2",
"BOM00026850","53.87","27.53","222.0","2020-03-22","-1.6","1.9","-4.8"
"BOM00026850","53.87","27.53","222.0","2020-03-23","-2.6","2.1",
"BOM00026850","53.87","27.53","222.0","2020-03-24","-2.2","4.9","-9.8"
"BOM00026850","53.87","27.53","222.0","2020-03-25","0.2","9.2","-7.7"
"BOM00026850","53.87","27.53","222.0","2020-03-26","0.9","11.9","-6.7"
"BOM00026850","53.87","27.53","222.0","2020-03-27","4.2","13.8","-4.5"
"BOM00026850","53.87","27.53","222.0","2020-03-28","6.2","16.4","-3.9"
"BOM00026850","53.87","27.53","222.0","2020-03-29","6.9","15.7","1.1"
"BOM00026850","53.87","27.53","222.0","2020-03-30","-1.2","1.6","-2.4"
"BOM00026850","53.87","27.53","222.0","2020-03-31","-0.7","4.0","-7.4"
"BOM00026850","53.87","27.53","222.0","2020-04-01","0.7","3.5","-2.0"
"BOM00026850","53.87","27.53","222.0","2020-04-02","4.5","7.3","2.1"
"BOM00026850","53.87","27.53","222.0","2020-04-03","4.8","9.4","1.4"
"BOM00026850","53.87","27.53","222.0","2020-04-04","2.6","7.4",
"BOM00026850","53.87","27.53","222.0","2020-04-05","3.3","11.0","-3.9"
"BOM00026850","53.87","27.53","222.0","2020-04-06","6.3","14.5","-4.1"
"BOM00026850","53.87","27.53","222.0","2020-04-07","9.8","18.8","-3.1"
"BOM00026850","53.87","27.53","222.0","2020-04-08","8.3","15.3",
"BOM00026850","53.87","27.53","222.0","2020-04-09","8.9","19.1","-2.3"
"BOM00026850","53.87","27.53","222.0","2020-04-10","4.8","10.6","1.1"
"BOM00026850","53.87","27.53","222.0","2020-04-11","3.7","9.4",
"BOM00026850","53.87","27.53","222.0","2020-04-12","5.9","11.8","-4.7"
"BOM00026850","53.87","27.53","222.0","2020-04-13","6.2","19.3","3.4"
"BOM00026850","53.87","27.53","222.0","2020-04-14","1.7","7.5","-1.2"
"BOM00026850","53.87","27.53","222.0","2020-04-16","6.6","10.6","5.2"
"BOM00026850","53.87","27.53","222.0","2020-04-20","4.1","8.7","-3.5"
"BOM00026850","53.87","27.53","222.0","2020-04-21","5.6","12.3","-2.3"
"BOM00026850","53.87","27.53","222.0","2020-04-22","9.7","15.7","5.6"
"BOM00026850","53.87","27.53","222.0","2020-04-23","8.8","17.0","-1.8"
"BOM00026850","53.87","27.53","222.0","2020-04-24","9.8","16.1","2.8"
"BOM00026850","53.87","27.53","222.0","2020-04-26","4.6","10.3","-1.9"
"BOM00026850","53.87","27.53","222.0","2020-04-28","12.8","19.6","-0.1"
"BOM00026850","53.87","27.53","222.0","2020-05-01","7.8","15.4","-2.3"
"BOM00026850","53.87","27.53","222.0","2020-05-03","14.9","19.8","9.4"
"BOM00026850","53.87","27.53","222.0","2020-05-04","13.2","18.8","6.7"
"BOM00026850","53.87","27.53","222.0","2020-05-08","8.3","14.5","1.4"
"BOM00026850","53.87","27.53","222.0","2020-05-09","12.6","18.9","2.9"
"BOM00026850","53.87","27.53","222.0","2020-05-10","12.4","20.0","4.4"
"BOM00026850","53.87","27.53","222.0","2020-05-11","17.0","25.6","4.5"
"BOM00026850","53.87","27.53","222.0","2020-05-14","5.3","10.3","0.2"
"BOM00026850","53.87","27.53","222.0","2020-05-15","8.9","14.7","-0.4"
"BOM00026850","53.87","27.53","222.0","2020-05-24","11.7","17.4","2.3"
"BOM00026850","53.87","27.53","222.0","2020-05-27","15.3","21.0","10.5"
"BOM00026850","53.87","27.53","222.0","2020-06-05","15.3","22.1","4.1"
"BOM00026850","53.87","27.53","222.0","2020-06-07","19.3","23.9","9.2"
"BOM00026850","53.87","27.53","222.0","2020-06-08","23.1","29.9","17.4"
"BOM00026850","53.87","27.53","222.0","2020-06-10","22.3","31.6","16.2"
"BOM00026850","53.87","27.53","222.0","2020-06-11","22.9","32.5","16.6"
"BOM00026850","53.87","27.53","222.0","2020-06-13","17.2",,
"BOM00026850","53.87","27.53","222.0","2020-06-14","13.4","14.5","12.2"
"BOM00026850","53.87","27.53","222.0","2020-06-17","23.3","29.7","16.9"
"BOM00026850","53.87","27.53","222.0","2020-06-20","22.8","28.5","17.9"
